"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-11-15 16:50:01";49.95;0
"2025-11-15 16:50:31";50;0
"2025-11-15 16:51:01";47.75;0
"2025-11-15 16:51:31";42.11;0
"2025-11-15 16:52:01";41.72;0
"2025-11-15 16:52:31";41.45;0
"2025-11-15 16:53:01";41.49;0
"2025-11-15 16:53:31";41.88;0
"2025-11-15 16:54:01";41.77;0
"2025-11-15 16:54:32";41.34;0
"2025-11-15 16:55:02";41.18;0
"2025-11-15 16:55:32";41;0
"2025-11-15 16:56:02";40.90;0
"2025-11-15 16:56:32";40.84;0
"2025-11-15 16:57:02";40.81;0
"2025-11-15 16:57:32";40.84;0
"2025-11-15 16:58:02";40.86;0
"2025-11-15 16:58:32";41;0
"2025-11-15 16:59:02";41;0
"2025-11-15 16:59:33";40.90;0
"2025-11-15 17:00:03";40.91;0
"2025-11-15 17:00:33";40.90;0
"2025-11-15 17:01:03";40.79;0
"2025-11-15 17:01:33";40.84;0
"2025-11-15 17:02:03";40.72;0
"2025-11-15 17:02:33";40.79;0
