Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,11/14/2023,03:40:40,1025,18.8,59.4
2,11/14/2023,03:40:45,1025,18.8,59.8
3,11/14/2023,03:40:50,1025,18.7,60.2
4,11/14/2023,03:40:55,1025,18.7,60.6
5,11/14/2023,03:41:00,1025,18.6,60.9
6,11/14/2023,03:41:05,1025,18.5,61.1
7,11/14/2023,03:41:10,1025,18.5,61.4
8,11/14/2023,03:41:15,1025,18.5,61.6
9,11/14/2023,03:41:20,1025,18.4,61.7
10,11/14/2023,03:41:25,1025,18.4,61.7
11,11/14/2023,03:41:30,1025,18.4,61.7
12,11/14/2023,03:41:35,1025,18.3,61.6
13,11/14/2023,03:41:40,1020,18.3,61.6
14,11/14/2023,03:41:45,1020,18.3,61.6
15,11/14/2023,03:41:50,973,18.2,61.6
16,11/14/2023,03:41:55,934,18.2,61.7
17,11/14/2023,03:42:00,924,18.1,61.7
18,11/14/2023,03:42:05,882,18.1,61.8
19,11/14/2023,03:42:10,866,18.0,61.8
20,11/14/2023,03:42:15,860,18.0,61.9
21,11/14/2023,03:42:20,858,17.9,61.9
22,11/14/2023,03:42:25,857,17.9,61.9
23,11/14/2023,03:42:30,855,17.9,62.0
24,11/14/2023,03:42:35,855,17.8,62.0
25,11/14/2023,03:42:40,856,17.7,62.1
26,11/14/2023,03:42:45,857,17.7,62.1
27,11/14/2023,03:42:50,859,17.7,62.3
28,11/14/2023,03:42:55,863,17.6,62.3
29,11/14/2023,03:43:00,868,17.6,62.4
30,11/14/2023,03:43:05,872,17.5,62.4
31,11/14/2023,03:43:10,877,17.5,62.5
32,11/14/2023,03:43:15,878,17.5,62.5
33,11/14/2023,03:43:20,878,17.4,62.6
34,11/14/2023,03:43:25,877,17.4,62.6
35,11/14/2023,03:43:30,876,17.4,62.6
36,11/14/2023,03:43:35,874,17.3,62.7
37,11/14/2023,03:43:40,873,17.3,62.7
38,11/14/2023,03:43:45,872,17.3,62.8
39,11/14/2023,03:43:50,872,17.2,62.8
40,11/14/2023,03:43:55,871,17.2,62.9
41,11/14/2023,03:44:00,871,17.1,62.9
42,11/14/2023,03:44:05,872,17.1,63.0
43,11/14/2023,03:44:10,871,17.1,63.1
44,11/14/2023,03:44:15,872,17.0,63.1
45,11/14/2023,03:44:20,871,17.0,63.2
46,11/14/2023,03:44:25,871,16.9,63.2
47,11/14/2023,03:44:30,872,16.9,63.3
48,11/14/2023,03:44:35,871,16.8,63.4
49,11/14/2023,03:44:40,872,16.8,63.5
50,11/14/2023,03:44:45,872,16.7,63.5
51,11/14/2023,03:44:50,870,16.7,63.6
52,11/14/2023,03:44:55,869,16.7,63.7
53,11/14/2023,03:45:00,868,16.6,63.8
54,11/14/2023,03:45:05,865,16.6,63.9
55,11/14/2023,03:45:10,864,16.5,64.0
56,11/14/2023,03:45:15,861,16.5,64.1
57,11/14/2023,03:45:20,860,16.4,64.2
58,11/14/2023,03:45:25,858,16.4,64.3
59,11/14/2023,03:45:30,856,16.4,64.4
60,11/14/2023,03:45:35,857,16.3,64.5
61,11/14/2023,03:45:40,858,16.3,64.6
62,11/14/2023,03:45:45,858,16.3,64.7
63,11/14/2023,03:45:50,859,16.2,64.7
64,11/14/2023,03:45:55,855,16.2,64.8
65,11/14/2023,03:46:00,852,16.2,64.9
66,11/14/2023,03:46:05,853,16.1,65.0
67,11/14/2023,03:46:10,852,16.1,65.1
68,11/14/2023,03:46:15,849,16.0,65.2
69,11/14/2023,03:46:20,848,16.0,65.3
70,11/14/2023,03:46:25,847,16.0,65.4
71,11/14/2023,03:46:30,848,16.0,65.4
72,11/14/2023,03:46:35,848,15.9,65.5
73,11/14/2023,03:46:40,847,15.9,65.6
74,11/14/2023,03:46:45,846,15.8,65.7
75,11/14/2023,03:46:50,845,15.8,65.8
76,11/14/2023,03:46:55,843,15.8,65.9
77,11/14/2023,03:47:00,831,15.7,66.0
78,11/14/2023,03:47:05,831,15.7,66.1
79,11/14/2023,03:47:10,823,15.7,66.1
80,11/14/2023,03:47:15,822,15.7,66.2
81,11/14/2023,03:47:20,822,15.6,66.3
82,11/14/2023,03:47:25,821,15.6,66.4
83,11/14/2023,03:47:30,820,15.6,66.4
84,11/14/2023,03:47:35,821,15.5,66.5
85,11/14/2023,03:47:40,820,15.5,66.6
86,11/14/2023,03:47:45,821,15.5,66.7
87,11/14/2023,03:47:50,822,15.4,66.7
88,11/14/2023,03:47:55,823,15.4,66.8
89,11/14/2023,03:48:00,826,15.4,66.9
90,11/14/2023,03:48:05,843,15.3,67.0
91,11/14/2023,03:48:10,837,15.3,67.0
92,11/14/2023,03:48:15,832,15.3,67.1
93,11/14/2023,03:48:20,827,15.3,67.2
94,11/14/2023,03:48:25,827,15.2,67.3
95,11/14/2023,03:48:30,827,15.2,67.3
96,11/14/2023,03:48:35,827,15.2,67.4
97,11/14/2023,03:48:40,827,15.2,67.5
98,11/14/2023,03:48:45,826,15.1,67.6
99,11/14/2023,03:48:50,826,15.1,67.7
100,11/14/2023,03:48:55,825,15.1,67.7
101,11/14/2023,03:49:00,825,15.0,67.8
102,11/14/2023,03:49:05,818,15.0,67.9
103,11/14/2023,03:49:10,817,15.0,68.0
104,11/14/2023,03:49:15,818,15.0,68.0
105,11/14/2023,03:49:20,820,14.9,68.1
106,11/14/2023,03:49:25,821,14.9,68.2
107,11/14/2023,03:49:30,822,14.9,68.3
108,11/14/2023,03:49:35,823,14.9,68.3
109,11/14/2023,03:49:40,825,14.8,68.4
110,11/14/2023,03:49:45,826,14.8,68.5
111,11/14/2023,03:49:50,826,14.8,68.5
112,11/14/2023,03:49:55,825,14.8,68.6
113,11/14/2023,03:50:00,825,14.8,68.7
114,11/14/2023,03:50:05,824,14.7,68.7
115,11/14/2023,03:50:10,823,14.7,68.8
116,11/14/2023,03:50:15,824,14.7,68.9
117,11/14/2023,03:50:20,823,14.7,68.9
118,11/14/2023,03:50:25,824,14.7,69.0
119,11/14/2023,03:50:30,824,14.6,69.1
120,11/14/2023,03:50:35,823,14.6,69.1
121,11/14/2023,03:50:40,821,14.6,69.2
122,11/14/2023,03:50:45,821,14.6,69.2
123,11/14/2023,03:50:50,821,14.6,69.3
124,11/14/2023,03:50:55,823,14.5,69.4
125,11/14/2023,03:51:00,823,14.5,69.4
126,11/14/2023,03:51:05,822,14.5,69.5
127,11/14/2023,03:51:10,823,14.5,69.5
128,11/14/2023,03:51:15,823,14.5,69.6
129,11/14/2023,03:51:20,823,14.5,69.6
130,11/14/2023,03:51:25,822,14.4,69.7
131,11/14/2023,03:51:30,821,14.4,69.7
132,11/14/2023,03:51:35,821,14.4,69.8
133,11/14/2023,03:51:40,821,14.4,69.8
134,11/14/2023,03:51:45,821,14.4,69.9
135,11/14/2023,03:51:50,820,14.4,69.9
136,11/14/2023,03:51:55,819,14.3,70.0
137,11/14/2023,03:52:00,819,14.3,70.0
138,11/14/2023,03:52:05,819,14.3,70.1
139,11/14/2023,03:52:10,818,14.3,70.1
140,11/14/2023,03:52:15,817,14.3,70.2
141,11/14/2023,03:52:20,817,14.3,70.2
142,11/14/2023,03:52:25,816,14.2,70.3
143,11/14/2023,03:52:30,815,14.2,70.3
144,11/14/2023,03:52:35,815,14.2,70.4
145,11/14/2023,03:52:40,814,14.2,70.4
146,11/14/2023,03:52:45,814,14.2,70.5
147,11/14/2023,03:52:50,815,14.2,70.6
148,11/14/2023,03:52:55,816,14.2,70.6
149,11/14/2023,03:53:00,816,14.1,70.7
150,11/14/2023,03:53:05,816,14.1,70.7
151,11/14/2023,03:53:10,815,14.1,70.8
152,11/14/2023,03:53:15,815,14.1,70.8
153,11/14/2023,03:53:20,816,14.1,70.9
154,11/14/2023,03:53:25,817,14.1,70.9
155,11/14/2023,03:53:30,817,14.0,70.9
156,11/14/2023,03:53:35,818,14.0,71.0
157,11/14/2023,03:53:40,819,14.0,71.0
158,11/14/2023,03:53:45,819,14.0,71.1
159,11/14/2023,03:53:50,819,14.0,71.1
160,11/14/2023,03:53:55,819,14.0,71.2
161,11/14/2023,03:54:00,816,14.0,71.2
162,11/14/2023,03:54:05,812,13.9,71.3
