"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-11-15 15:18:14";312;138.38
"2025-11-15 15:18:44";296.11;118.12
"2025-11-15 15:19:14";277.41;97.41
"2025-11-15 15:19:44";261.32;81.97
"2025-11-15 15:20:14";248.42;71.02
"2025-11-15 15:20:44";246.72;69.66
"2025-11-15 15:21:14";246.24;69.27
"2025-11-15 15:21:44";245.77;68.91
"2025-11-15 15:22:14";240.53;64.90
"2025-11-15 15:22:44";242.47;66.37
"2025-11-15 15:23:14";235.30;61.06
"2025-11-15 15:23:44";233.88;60.04
"2025-11-15 15:24:14";233.63;59.86
"2025-11-15 15:24:44";229.63;57.09
"2025-11-15 15:25:14";227.07;55.36
"2025-11-15 15:25:44";227.94;55.93
"2025-11-15 15:26:14";224.14;53.43
"2025-11-15 15:26:44";214.08;47.18
"2025-11-15 15:27:14";210.96;45.36
"2025-11-15 15:27:44";212.03;45.99
"2025-11-15 15:28:14";211.69;45.77
"2025-11-15 15:28:44";209.63;44.59
"2025-11-15 15:29:14";207.72;43.52
"2025-11-15 15:29:45";205.35;42.20
"2025-11-15 15:30:15";203.52;41.22
"2025-11-15 15:30:45";204.66;41.84
"2025-11-15 15:31:15";209.19;44.34
"2025-11-15 15:31:45";212.22;46.09
"2025-11-15 15:32:15";202.46;40.65
"2025-11-15 15:32:45";198.17;38.40
"2025-11-15 15:33:15";198.97;38.81
"2025-11-15 15:33:45";198.99;38.83
"2025-11-15 15:34:15";199.52;39.09
"2025-11-15 15:34:45";199.02;38.84
"2025-11-15 15:35:15";209.66;44.61
"2025-11-15 15:35:45";212.17;46.06
"2025-11-15 15:36:15";199.86;39.29
"2025-11-15 15:36:45";200.39;39.56
"2025-11-15 15:37:15";198.44;38.54
"2025-11-15 15:37:45";194.32;36.47
"2025-11-15 15:38:15";192.47;35.56
"2025-11-15 15:38:45";191.25;34.99
"2025-11-15 15:39:15";189.44;34.13
"2025-11-15 15:39:45";187.58;33.25
"2025-11-15 15:40:15";187.88;33.40
"2025-11-15 15:40:45";190.71;34.72
"2025-11-15 15:41:15";194.67;36.65
"2025-11-15 15:41:45";196.77;37.70
"2025-11-15 15:42:15";198.05;38.34
"2025-11-15 15:42:45";196.02;37.31
"2025-11-15 15:43:15";187.96;33.43
"2025-11-15 15:43:45";187.53;33.24
"2025-11-15 15:44:15";187.55;33.24
"2025-11-15 15:44:45";189.85;34.31
"2025-11-15 15:45:15";194.13;36.38
"2025-11-15 15:45:45";193.77;36.20
"2025-11-15 15:46:16";194.10;36.36
"2025-11-15 15:46:46";196.75;37.68
"2025-11-15 15:47:16";196;37.31
"2025-11-15 15:47:46";195.41;37.02
"2025-11-15 15:48:16";194.22;36.43
"2025-11-15 15:48:46";192.75;35.70
"2025-11-15 15:49:16";189.85;34.31
"2025-11-15 15:49:46";196.24;37.43
"2025-11-15 15:50:16";187.85;33.38
"2025-11-15 15:50:46";184.11;31.68
"2025-11-15 15:51:16";184.86;32.02
"2025-11-15 15:51:46";185.94;32.50
"2025-11-15 15:52:16";193.16;35.90
