"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-11-15 17:19:24";41.50;0
"2025-11-15 17:19:54";41.15;0
"2025-11-15 17:20:24";40.31;0
"2025-11-15 17:20:54";40;0
"2025-11-15 17:21:24";40.02;0
"2025-11-15 17:21:54";40.20;0
"2025-11-15 17:22:24";40.04;0
"2025-11-15 17:22:54";40;0
"2025-11-15 17:23:24";39.97;0
"2025-11-15 17:23:54";39.61;0
"2025-11-15 17:24:24";39.18;0
"2025-11-15 17:24:54";39.02;0
"2025-11-15 17:25:24";38.90;0
"2025-11-15 17:25:54";37.43;0
"2025-11-15 17:26:24";37;0
"2025-11-15 17:26:54";37.16;0
"2025-11-15 17:27:24";37.43;0
"2025-11-15 17:27:54";38;0
"2025-11-15 17:28:24";37.99;0
"2025-11-15 17:28:54";37.91;0
"2025-11-15 17:29:24";37.91;0
"2025-11-15 17:29:54";39.88;0
"2025-11-15 17:30:25";40;0
"2025-11-15 17:30:55";39.88;0
"2025-11-15 17:31:25";39.77;0
"2025-11-15 17:31:55";39.59;0
"2025-11-15 17:32:25";39.34;0
"2025-11-15 17:32:55";39.24;0
"2025-11-15 17:33:25";39.16;0
"2025-11-15 17:33:55";39.11;0
"2025-11-15 17:34:25";39.13;0
"2025-11-15 17:34:55";39.11;0
"2025-11-15 17:35:25";39.18;0
"2025-11-15 17:35:55";39.15;0
"2025-11-15 17:36:25";39.13;0
"2025-11-15 17:36:55";39.11;0
"2025-11-15 17:37:25";39.04;0
"2025-11-15 17:37:55";39.02;0
"2025-11-15 17:38:25";39;0
"2025-11-15 17:38:55";39;0
"2025-11-15 17:39:25";39;0
"2025-11-15 17:39:55";39;0
"2025-11-15 17:40:25";39;0
"2025-11-15 17:40:55";39;0
"2025-11-15 17:41:25";39;0
"2025-11-15 17:41:55";39;0
"2025-11-15 17:42:25";39;0
"2025-11-15 17:42:55";39;0
"2025-11-15 17:43:25";39.02;0
"2025-11-15 17:43:55";39.13;0
"2025-11-15 17:44:25";39.22;0
"2025-11-15 17:44:55";39.31;0
"2025-11-15 17:45:25";39.49;0
"2025-11-15 17:45:55";39.81;0
"2025-11-15 17:46:25";39.97;0
"2025-11-15 17:46:56";40;0
"2025-11-15 17:47:26";40;0
"2025-11-15 17:47:56";40.13;0
"2025-11-15 17:48:26";40.31;0
"2025-11-15 17:48:56";40.65;0
"2025-11-15 17:49:26";40.97;0
"2025-11-15 17:49:56";41;0
"2025-11-15 17:50:26";41;0
"2025-11-15 17:50:56";41.04;0
"2025-11-15 17:51:26";41.02;0
"2025-11-15 17:51:56";41.04;0
"2025-11-15 17:52:26";41.15;0
"2025-11-15 17:52:56";41.25;0
"2025-11-15 17:53:26";41.29;0
"2025-11-15 17:53:56";41.22;0
"2025-11-15 17:54:26";41.22;0
"2025-11-15 17:54:56";41.18;0
"2025-11-15 17:55:26";41.20;0
"2025-11-15 17:55:56";41.15;0
"2025-11-15 17:56:26";41.13;0
"2025-11-15 17:56:56";41.22;0
"2025-11-15 17:57:26";41.41;0
"2025-11-15 17:57:56";42.08;0
"2025-11-15 17:58:26";43.18;0
"2025-11-15 17:58:56";44.06;0
"2025-11-15 17:59:26";45.40;0
"2025-11-15 17:59:56";47.79;0
"2025-11-15 18:00:26";52.75;0
"2025-11-15 18:00:56";56.18;0
"2025-11-15 18:01:26";59.31;0
"2025-11-15 18:01:56";66.22;0
"2025-11-15 18:02:26";73.20;0
"2025-11-15 18:02:56";77.69;0
"2025-11-15 18:03:27";78.70;0
"2025-11-15 18:03:57";81.79;0
"2025-11-15 18:04:27";84.66;0
"2025-11-15 18:04:57";87.83;0
"2025-11-15 18:05:27";93.87;0
"2025-11-15 18:05:57";100.91;0
"2025-11-15 18:06:27";100.30;0
"2025-11-15 18:06:57";98.20;0
"2025-11-15 18:07:27";99.29;0
"2025-11-15 18:07:57";100.75;0
"2025-11-15 18:08:27";101.97;0
"2025-11-15 18:08:57";103.29;0
"2025-11-15 18:09:27";109.05;0
"2025-11-15 18:09:57";113.22;0
"2025-11-15 18:10:27";113.61;0
"2025-11-15 18:10:57";110.45;0
"2025-11-15 18:11:27";112.76;0
"2025-11-15 18:11:57";113.91;0
"2025-11-15 18:12:27";111.66;0
"2025-11-15 18:12:57";112.04;0
"2025-11-15 18:13:27";114.52;0
"2025-11-15 18:13:57";115.47;4.36
"2025-11-15 18:14:27";113.41;0
"2025-11-15 18:14:57";114.12;0
"2025-11-15 18:15:27";114.90;0
"2025-11-15 18:15:57";117.04;4.50
"2025-11-15 18:16:27";117.04;4.50
"2025-11-15 18:16:57";116.52;4.44
"2025-11-15 18:17:27";116.18;4.42
"2025-11-15 18:17:57";114.87;0
"2025-11-15 18:18:27";115.95;4.40
"2025-11-15 18:18:57";117.27;4.52
"2025-11-15 18:19:27";119.66;4.75
"2025-11-15 18:19:58";121.69;4.94
"2025-11-15 18:20:28";122.02;4.98
"2025-11-15 18:20:58";123.97;5.17
"2025-11-15 18:21:28";126.23;5.40
"2025-11-15 18:21:58";126.01;5.38
"2025-11-15 18:22:28";126.12;5.38
"2025-11-15 18:22:58";126.98;5.48
"2025-11-15 18:23:28";127.12;5.50
"2025-11-15 18:23:58";126.95;5.48
"2025-11-15 18:24:28";125.66;5.34
"2025-11-15 18:24:58";125.98;5.38
"2025-11-15 18:25:28";125.23;5.30
"2025-11-15 18:25:58";123.05;5.07
"2025-11-15 18:26:28";122.58;5.03
"2025-11-15 18:26:58";122.88;5.05
"2025-11-15 18:27:28";120.55;4.82
"2025-11-15 18:27:58";120.76;4.84
"2025-11-15 18:28:28";119.11;4.69
"2025-11-15 18:28:58";114.44;0
"2025-11-15 18:29:28";114.69;0
"2025-11-15 18:29:58";114.33;0
"2025-11-15 18:30:28";115.83;4.38
"2025-11-15 18:30:58";117.94;4.59
"2025-11-15 18:31:28";118.37;4.63
"2025-11-15 18:31:58";117.66;4.55
"2025-11-15 18:32:28";117.83;4.57
"2025-11-15 18:32:58";117.87;4.57
"2025-11-15 18:33:28";117.48;4.53
"2025-11-15 18:33:58";116.15;4.42
"2025-11-15 18:34:28";112.65;0
"2025-11-15 18:34:58";111.16;0
"2025-11-15 18:35:28";112.20;0
"2025-11-15 18:35:58";114.01;0
"2025-11-15 18:36:28";113.83;0
"2025-11-15 18:36:59";113.05;0
"2025-11-15 18:37:29";112.91;0
"2025-11-15 18:37:59";111.62;0
"2025-11-15 18:38:29";111.05;0
"2025-11-15 18:38:59";111.37;0
"2025-11-15 18:39:29";111.95;0
"2025-11-15 18:39:59";111.69;0
"2025-11-15 18:40:29";111.02;0
"2025-11-15 18:40:59";110.06;0
"2025-11-15 18:41:29";109.01;0
"2025-11-15 18:41:59";107.55;0
"2025-11-15 18:42:29";107.41;0
"2025-11-15 18:42:59";108;0
"2025-11-15 18:43:29";108;0
"2025-11-15 18:43:59";108;0
"2025-11-15 18:44:29";107.26;0
"2025-11-15 18:44:59";106.62;0
"2025-11-15 18:45:29";106.18;0
"2025-11-15 18:45:59";106;0
"2025-11-15 18:46:29";105.16;0
"2025-11-15 18:46:59";104.04;0
"2025-11-15 18:47:29";104.01;0
"2025-11-15 18:47:59";103.98;0
"2025-11-15 18:48:29";103.38;0
"2025-11-15 18:48:59";102.34;0
"2025-11-15 18:49:29";101.98;0
"2025-11-15 18:49:59";101.88;0
"2025-11-15 18:50:29";101.12;0
"2025-11-15 18:50:59";100.97;0
"2025-11-15 18:51:29";100.26;0
"2025-11-15 18:51:59";100;0
"2025-11-15 18:52:29";99.90;0
"2025-11-15 18:52:59";99.01;0
"2025-11-15 18:53:30";98.86;0
"2025-11-15 18:54:00";98.29;0
"2025-11-15 18:54:30";98.01;0
"2025-11-15 18:55:00";97.38;0
"2025-11-15 18:55:30";96.81;0
"2025-11-15 18:56:00";96.47;0
"2025-11-15 18:56:30";96.01;0
"2025-11-15 18:57:00";95.62;0
"2025-11-15 18:57:30";95.45;0
"2025-11-15 18:58:00";95.13;0
"2025-11-15 18:58:30";94.98;0
"2025-11-15 18:59:00";94.73;0
"2025-11-15 18:59:30";94.23;0
"2025-11-15 19:00:00";94.01;0
"2025-11-15 19:00:30";93.80;0
"2025-11-15 19:01:00";93.30;0
"2025-11-15 19:01:30";93;0
"2025-11-15 19:02:00";92.80;0
"2025-11-15 19:02:30";92.02;0
"2025-11-15 19:03:00";92;0
"2025-11-15 19:03:30";92;0
"2025-11-15 19:04:00";91.26;0
"2025-11-15 19:04:30";90.91;0
"2025-11-15 19:05:00";90.20;0
"2025-11-15 19:05:30";89.48;0
"2025-11-15 19:06:00";89.08;0
"2025-11-15 19:06:30";88.97;0
"2025-11-15 19:07:00";88.91;0
"2025-11-15 19:07:30";88.94;0
"2025-11-15 19:08:00";88.76;0
"2025-11-15 19:08:30";88.58;0
"2025-11-15 19:09:00";88.01;0
"2025-11-15 19:09:30";87.01;0
"2025-11-15 19:10:01";85.58;0
"2025-11-15 19:10:31";84.91;0
"2025-11-15 19:11:01";85.01;0
"2025-11-15 19:11:31";85.13;0
"2025-11-15 19:12:01";84.98;0
"2025-11-15 19:12:31";84.73;0
"2025-11-15 19:13:01";84.37;0
"2025-11-15 19:13:31";84.13;0
"2025-11-15 19:14:01";84.01;0
"2025-11-15 19:14:31";84.01;0
"2025-11-15 19:15:01";84;0
"2025-11-15 19:15:31";84;0
"2025-11-15 19:16:01";84.01;0
"2025-11-15 19:16:31";83.97;0
"2025-11-15 19:17:01";83.26;0
"2025-11-15 19:17:31";83;0
"2025-11-15 19:18:01";82.98;0
"2025-11-15 19:18:31";82.77;0
"2025-11-15 19:19:01";82.37;0
"2025-11-15 19:19:31";82.02;0
"2025-11-15 19:20:01";82.01;0
"2025-11-15 19:20:31";82.02;0
"2025-11-15 19:21:01";82.05;0
"2025-11-15 19:21:31";82.01;0
"2025-11-15 19:22:01";82.01;0
"2025-11-15 19:22:31";82.01;0
"2025-11-15 19:23:01";81.97;0
"2025-11-15 19:23:31";81.69;0
"2025-11-15 19:24:01";81.33;0
"2025-11-15 19:24:31";81.16;0
"2025-11-15 19:25:01";81;0
"2025-11-15 19:25:31";81;0
"2025-11-15 19:26:01";80.98;0
"2025-11-15 19:26:32";80.77;0
"2025-11-15 19:27:02";80.58;0
"2025-11-15 19:27:32";80.58;0
"2025-11-15 19:28:02";80.01;0
"2025-11-15 19:28:32";79.95;0
"2025-11-15 19:29:02";79.77;0
"2025-11-15 19:29:32";79.83;0
"2025-11-15 19:30:02";79.68;0
"2025-11-15 19:30:32";79.20;0
"2025-11-15 19:31:02";79.04;0
"2025-11-15 19:31:32";78.91;0
"2025-11-15 19:32:02";78.72;0
"2025-11-15 19:32:32";78.36;0
"2025-11-15 19:33:02";78.12;0
"2025-11-15 19:33:32";78;0
"2025-11-15 19:34:02";78;0
"2025-11-15 19:34:32";78;0
"2025-11-15 19:35:02";77.98;0
"2025-11-15 19:35:32";78;0
"2025-11-15 19:36:02";77.97;0
"2025-11-15 19:36:32";77.94;0
"2025-11-15 19:37:02";77.86;0
"2025-11-15 19:37:32";77.55;0
"2025-11-15 19:38:02";77.44;0
"2025-11-15 19:38:32";77.62;0
"2025-11-15 19:39:02";77.61;0
"2025-11-15 19:39:32";77.73;0
"2025-11-15 19:40:02";77.86;0
"2025-11-15 19:40:32";77.76;0
"2025-11-15 19:41:02";77.51;0
"2025-11-15 19:41:32";77.48;0
"2025-11-15 19:42:02";77.19;0
"2025-11-15 19:42:32";77.01;0
"2025-11-15 19:43:02";77;0
"2025-11-15 19:43:33";77;0
"2025-11-15 19:44:03";76.98;0
"2025-11-15 19:44:33";76.73;0
"2025-11-15 19:45:03";76.20;0
"2025-11-15 19:45:33";76.08;0
"2025-11-15 19:46:03";76;0
"2025-11-15 19:46:33";76.01;0
"2025-11-15 19:47:03";75.83;0
"2025-11-15 19:47:33";75.61;0
"2025-11-15 19:48:03";75;0
"2025-11-15 19:48:33";75;0
"2025-11-15 19:49:03";74.76;0
"2025-11-15 19:49:33";74.16;0
"2025-11-15 19:50:03";74.01;0
"2025-11-15 19:50:33";74;0
"2025-11-15 19:51:03";73.94;0
"2025-11-15 19:51:33";73.68;0
"2025-11-15 19:52:03";73.20;0
"2025-11-15 19:52:33";73.33;0
"2025-11-15 19:53:03";72.98;0
"2025-11-15 19:53:33";72.55;0
"2025-11-15 19:54:03";72.33;0
"2025-11-15 19:54:33";72.29;0
"2025-11-15 19:55:03";72.23;0
"2025-11-15 19:55:33";72.19;0
"2025-11-15 19:56:03";72.08;0
"2025-11-15 19:56:33";72;0
"2025-11-15 19:57:03";71.98;0
"2025-11-15 19:57:33";72;0
"2025-11-15 19:58:03";72;0
"2025-11-15 19:58:33";72;0
"2025-11-15 19:59:03";71.98;0
"2025-11-15 19:59:33";72.01;0
"2025-11-15 20:00:04";72;0
"2025-11-15 20:00:34";72;0
"2025-11-15 20:01:04";71.93;0
"2025-11-15 20:01:34";71.56;0
"2025-11-15 20:02:04";71.09;0
"2025-11-15 20:02:34";71.12;0
"2025-11-15 20:03:04";71.30;0
"2025-11-15 20:03:34";72.22;0
"2025-11-15 20:04:04";72.12;0
"2025-11-15 20:04:34";72.11;0
"2025-11-15 20:05:04";71.91;0
"2025-11-15 20:05:34";71.41;0
"2025-11-15 20:06:04";70.95;0
"2025-11-15 20:06:34";70.81;0
"2025-11-15 20:07:04";70.55;0
"2025-11-15 20:07:34";71.19;0
"2025-11-15 20:08:04";72;0
"2025-11-15 20:08:34";71.98;0
"2025-11-15 20:09:04";71.12;0
"2025-11-15 20:09:34";71.08;0
"2025-11-15 20:10:04";70.98;0
"2025-11-15 20:10:34";70.73;0
"2025-11-15 20:11:04";70.58;0
"2025-11-15 20:11:34";70.48;0
"2025-11-15 20:12:04";70.73;0
"2025-11-15 20:12:34";71.19;0
"2025-11-15 20:13:04";71.98;0
"2025-11-15 20:13:34";72;0
"2025-11-15 20:14:04";71.18;0
"2025-11-15 20:14:34";70.31;0
"2025-11-15 20:15:04";70;0
"2025-11-15 20:15:34";70.01;0
"2025-11-15 20:16:04";69.41;0
"2025-11-15 20:16:35";69.01;0
"2025-11-15 20:17:05";68.88;0
"2025-11-15 20:17:35";68.51;0
"2025-11-15 20:18:05";68.37;0
"2025-11-15 20:18:35";68.11;0
"2025-11-15 20:19:05";68.02;0
"2025-11-15 20:19:35";68;0
"2025-11-15 20:20:05";68;0
"2025-11-15 20:20:35";67.63;0
"2025-11-15 20:21:05";67.30;0
"2025-11-15 20:21:35";67.22;0
"2025-11-15 20:22:05";67.23;0
"2025-11-15 20:22:35";67.44;0
"2025-11-15 20:23:05";67.84;0
"2025-11-15 20:23:35";68;0
"2025-11-15 20:24:05";67.98;0
"2025-11-15 20:24:35";68;0
"2025-11-15 20:25:05";67.95;0
"2025-11-15 20:25:35";67.47;0
"2025-11-15 20:26:05";67.16;0
"2025-11-15 20:26:35";67;0
"2025-11-15 20:27:05";67;0
"2025-11-15 20:27:35";67;0
"2025-11-15 20:28:05";66.79;0
"2025-11-15 20:28:35";66.41;0
"2025-11-15 20:29:05";66.22;0
"2025-11-15 20:29:35";66.05;0
"2025-11-15 20:30:05";66.01;0
"2025-11-15 20:30:35";65.98;0
"2025-11-15 20:31:05";65.87;0
"2025-11-15 20:31:35";65.76;0
"2025-11-15 20:32:05";65.58;0
"2025-11-15 20:32:35";65.44;0
"2025-11-15 20:33:06";65.33;0
"2025-11-15 20:33:36";65.12;0
"2025-11-15 20:34:06";65.01;0
"2025-11-15 20:34:36";65.05;0
"2025-11-15 20:35:06";65.05;0
"2025-11-15 20:35:36";65.05;0
"2025-11-15 20:36:06";65.06;0
"2025-11-15 20:36:36";65.02;0
"2025-11-15 20:37:06";65.02;0
"2025-11-15 20:37:36";65;0
"2025-11-15 20:38:06";65;0
"2025-11-15 20:38:36";64.94;0
"2025-11-15 20:39:06";64.87;0
"2025-11-15 20:39:36";64.69;0
"2025-11-15 20:40:06";64.48;0
"2025-11-15 20:40:36";64.44;0
"2025-11-15 20:41:06";64.12;0
"2025-11-15 20:41:36";64.01;0
"2025-11-15 20:42:06";64.01;0
"2025-11-15 20:42:36";64;0
"2025-11-15 20:43:06";64;0
"2025-11-15 20:43:36";64;0
"2025-11-15 20:44:06";64.01;0
"2025-11-15 20:44:36";64.02;0
"2025-11-15 20:45:06";64.02;0
"2025-11-15 20:45:36";64.01;0
"2025-11-15 20:46:06";64.01;0
"2025-11-15 20:46:36";64;0
"2025-11-15 20:47:06";64;0
"2025-11-15 20:47:36";64;0
"2025-11-15 20:48:06";64;0
"2025-11-15 20:48:36";64;0
"2025-11-15 20:49:06";64;0
"2025-11-15 20:49:36";64;0
"2025-11-15 20:50:07";64;0
"2025-11-15 20:50:37";64;0
"2025-11-15 20:51:07";64;0
"2025-11-15 20:51:37";64;0
"2025-11-15 20:52:07";64;0
"2025-11-15 20:52:37";64;0
"2025-11-15 20:53:07";64;0
"2025-11-15 20:53:37";64;0
"2025-11-15 20:54:07";64;0
"2025-11-15 20:54:37";64;0
"2025-11-15 20:55:07";64;0
"2025-11-15 20:55:37";64;0
"2025-11-15 20:56:07";64;0
"2025-11-15 20:56:37";64;0
"2025-11-15 20:57:07";64;0
"2025-11-15 20:57:37";64.01;0
"2025-11-15 20:58:07";64.04;0
"2025-11-15 20:58:37";64.08;0
"2025-11-15 20:59:07";64.25;0
"2025-11-15 20:59:37";64.54;0
"2025-11-15 21:00:07";64.55;0
"2025-11-15 21:00:37";64.44;0
"2025-11-15 21:01:07";64.33;0
"2025-11-15 21:01:37";64.23;0
"2025-11-15 21:02:07";64.11;0
"2025-11-15 21:02:37";64.01;0
"2025-11-15 21:03:07";64;0
"2025-11-15 21:03:37";64;0
"2025-11-15 21:04:07";63.91;0
"2025-11-15 21:04:37";63.74;0
"2025-11-15 21:05:07";63.52;0
"2025-11-15 21:05:37";63.56;0
"2025-11-15 21:06:07";63.72;0
"2025-11-15 21:06:38";64;0
"2025-11-15 21:07:08";63.88;0
"2025-11-15 21:07:38";63.16;0
"2025-11-15 21:08:08";62.81;0
"2025-11-15 21:08:38";62.84;0
"2025-11-15 21:09:08";62.99;0
"2025-11-15 21:09:38";63;0
"2025-11-15 21:10:08";63.63;0
"2025-11-15 21:10:38";64;0
"2025-11-15 21:11:08";64;0
"2025-11-15 21:11:38";64;0
"2025-11-15 21:12:08";64;0
"2025-11-15 21:12:38";64;0
"2025-11-15 21:13:08";64;0
"2025-11-15 21:13:38";64;0
"2025-11-15 21:14:08";64;0
"2025-11-15 21:14:38";64;0
"2025-11-15 21:15:08";64;0
"2025-11-15 21:15:38";64;0
"2025-11-15 21:16:08";64;0
"2025-11-15 21:16:38";64;0
"2025-11-15 21:17:08";64;0
"2025-11-15 21:17:38";64;0
"2025-11-15 21:18:08";64;0
"2025-11-15 21:18:38";64;0
"2025-11-15 21:19:08";64;0
"2025-11-15 21:19:38";64;0
"2025-11-15 21:20:08";63.45;0
"2025-11-15 21:20:38";62.88;0
"2025-11-15 21:21:08";62.49;0
"2025-11-15 21:21:38";62.22;0
"2025-11-15 21:22:08";62.02;0
"2025-11-15 21:22:38";62;0
"2025-11-15 21:23:09";61.86;0
"2025-11-15 21:23:39";61.56;0
"2025-11-15 21:24:09";61.29;0
"2025-11-15 21:24:39";61.16;0
"2025-11-15 21:25:09";61.02;0
"2025-11-15 21:25:39";61.02;0
"2025-11-15 21:26:09";60.97;0
"2025-11-15 21:26:39";60.81;0
"2025-11-15 21:27:09";60.52;0
"2025-11-15 21:27:39";60.38;0
"2025-11-15 21:28:09";60.04;0
"2025-11-15 21:28:39";60;0
"2025-11-15 21:29:09";60;0
"2025-11-15 21:29:39";60;0
"2025-11-15 21:30:09";60;0
"2025-11-15 21:30:39";60;0
"2025-11-15 21:31:09";60;0
"2025-11-15 21:31:39";60;0
"2025-11-15 21:32:09";60;0
"2025-11-15 21:32:39";60;0
"2025-11-15 21:33:09";60;0
"2025-11-15 21:33:39";60;0
"2025-11-15 21:34:09";60;0
"2025-11-15 21:34:39";60;0
"2025-11-15 21:35:09";59.97;0
"2025-11-15 21:35:39";59.88;0
"2025-11-15 21:36:09";59.97;0
"2025-11-15 21:36:39";60;0
"2025-11-15 21:37:09";60;0
"2025-11-15 21:37:39";60;0
"2025-11-15 21:38:09";60;0
"2025-11-15 21:38:39";60;0
"2025-11-15 21:39:09";60;0
"2025-11-15 21:39:39";60;0
"2025-11-15 21:40:10";60.02;0
"2025-11-15 21:40:40";60.09;0
"2025-11-15 21:41:10";60.20;0
"2025-11-15 21:41:40";60.25;0
"2025-11-15 21:42:10";60.22;0
"2025-11-15 21:42:40";60.15;0
"2025-11-15 21:43:10";60.04;0
"2025-11-15 21:43:40";60;0
"2025-11-15 21:44:10";59.97;0
"2025-11-15 21:44:40";59.06;0
"2025-11-15 21:45:10";59;0
"2025-11-15 21:45:40";59;0
"2025-11-15 21:46:10";58.97;0
"2025-11-15 21:46:40";58.88;0
"2025-11-15 21:47:10";58.61;0
"2025-11-15 21:47:40";58.33;0
"2025-11-15 21:48:10";58.15;0
"2025-11-15 21:48:40";58.02;0
"2025-11-15 21:49:10";58.04;0
"2025-11-15 21:49:40";58.02;0
"2025-11-15 21:50:10";58;0
"2025-11-15 21:50:40";58;0
"2025-11-15 21:51:10";58;0
"2025-11-15 21:51:40";58;0
"2025-11-15 21:52:10";58;0
"2025-11-15 21:52:40";57.95;0
"2025-11-15 21:53:10";57.84;0
"2025-11-15 21:53:40";57.63;0
"2025-11-15 21:54:10";57.52;0
"2025-11-15 21:54:40";57.33;0
"2025-11-15 21:55:10";57.33;0
"2025-11-15 21:55:40";57.56;0
"2025-11-15 21:56:10";57.75;0
"2025-11-15 21:56:41";57.83;0
"2025-11-15 21:57:11";57.79;0
"2025-11-15 21:57:41";57.74;0
"2025-11-15 21:58:11";57.61;0
"2025-11-15 21:58:41";57.63;0
"2025-11-15 21:59:11";57.31;0
"2025-11-15 21:59:41";57.02;0
"2025-11-15 22:00:11";56.99;0
"2025-11-15 22:00:41";56.97;0
"2025-11-15 22:01:11";56.97;0
"2025-11-15 22:01:41";56.93;0
"2025-11-15 22:02:11";56.93;0
"2025-11-15 22:02:41";56.86;0
"2025-11-15 22:03:11";56.90;0
"2025-11-15 22:03:41";56.95;0
"2025-11-15 22:04:11";56.93;0
"2025-11-15 22:04:41";56.90;0
"2025-11-15 22:05:11";56.93;0
"2025-11-15 22:05:41";56.95;0
"2025-11-15 22:06:11";56.93;0
"2025-11-15 22:06:41";56.97;0
"2025-11-15 22:07:11";56.95;0
"2025-11-15 22:07:41";56.99;0
