"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-09-06 10:44:30";280.17;89.66
"2025-09-06 10:45:00";224.80;48.18
"2025-09-06 10:45:30";173.89;24.45
"2025-09-06 10:46:00";153.22;17.75
"2025-09-06 10:46:30";139.99;14.18
"2025-09-06 10:47:00";131.78;12.22
"2025-09-06 10:47:30";138.75;13.88
"2025-09-06 10:48:00";139.71;14.10
"2025-09-06 10:48:30";135.69;13.14
"2025-09-06 10:49:00";131.52;12.17
"2025-09-06 10:49:30";105.23;7.11
"2025-09-06 10:50:00";87.43;4.61
"2025-09-06 10:50:30";81.75;0
"2025-09-06 10:51:00";78.02;0
"2025-09-06 10:51:30";75.16;0
"2025-09-06 10:52:00";72.81;0
"2025-09-06 10:52:31";70.87;0
"2025-09-06 10:53:01";69.86;0
"2025-09-06 10:53:31";68.91;0
"2025-09-06 10:54:01";68;0
"2025-09-06 10:54:31";67.23;0
"2025-09-06 10:55:01";66.91;0
"2025-09-06 10:55:31";66.08;0
"2025-09-06 10:56:01";66;0
"2025-09-06 10:56:31";66.01;0
"2025-09-06 10:57:01";67.11;0
"2025-09-06 10:57:31";67.43;0
"2025-09-06 10:58:01";67.22;0
"2025-09-06 10:58:31";67;0
"2025-09-06 10:59:01";66.97;0
"2025-09-06 10:59:31";66.98;0
"2025-09-06 11:00:01";66.98;0
"2025-09-06 11:00:31";66.91;0
"2025-09-06 11:01:02";66.38;0
"2025-09-06 11:01:32";66.01;0
"2025-09-06 11:02:02";65.95;0
"2025-09-06 11:02:32";65.20;0
"2025-09-06 11:03:02";65;0
"2025-09-06 11:03:32";65;0
"2025-09-06 11:04:02";65;0
"2025-09-06 11:04:32";65.09;0
"2025-09-06 11:05:02";65.04;0
"2025-09-06 11:05:32";64.05;0
"2025-09-06 11:06:02";63.36;0
"2025-09-06 11:06:32";62.97;0
"2025-09-06 11:07:02";61.24;0
"2025-09-06 11:07:32";60.63;0
