"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2025-11-15 09:32:15";42;0
"2025-11-15 09:32:45";41;0
"2025-11-15 09:33:15";41;0
"2025-11-15 09:33:45";41;0
"2025-11-15 09:34:15";41;0
"2025-11-15 09:34:45";40.75;0
"2025-11-15 09:35:15";40.25;0
"2025-11-15 09:35:45";40.13;0
"2025-11-15 09:36:15";40;0
"2025-11-15 09:36:45";40;0
"2025-11-15 09:37:15";39.88;0
"2025-11-15 09:37:45";40;0
"2025-11-15 09:38:15";39.88;0
"2025-11-15 09:38:45";39.75;0
"2025-11-15 09:39:15";39.63;0
"2025-11-15 09:39:45";39;0
"2025-11-15 09:40:15";39;0
"2025-11-15 09:40:45";39;0
"2025-11-15 09:41:15";38.88;0
"2025-11-15 09:41:45";39;0
"2025-11-15 09:42:15";38.88;0
"2025-11-15 09:42:45";38.63;0
"2025-11-15 09:43:15";38.75;0
"2025-11-15 09:43:45";38.88;0
"2025-11-15 09:44:15";38.38;0
"2025-11-15 09:44:45";38.25;0
"2025-11-15 09:45:15";38.13;0
"2025-11-15 09:45:45";38;0
"2025-11-15 09:46:15";38;0
"2025-11-15 09:46:45";38;0
"2025-11-15 09:47:15";38;0
"2025-11-15 09:47:45";38;0
"2025-11-15 09:48:15";38;0
"2025-11-15 09:48:45";38;0
"2025-11-15 09:49:15";37.88;0
"2025-11-15 09:49:45";37.75;0
"2025-11-15 09:50:15";37.63;0
"2025-11-15 09:50:45";37.88;0
"2025-11-15 09:51:15";37.63;0
"2025-11-15 09:51:45";37;0
"2025-11-15 09:52:15";37.38;0
"2025-11-15 09:52:45";37;0
"2025-11-15 09:53:15";37.13;0
"2025-11-15 09:53:45";37.13;0
"2025-11-15 09:54:15";37;0
"2025-11-15 09:54:45";37;0
"2025-11-15 09:55:15";37;0
"2025-11-15 09:55:45";37;0
"2025-11-15 09:56:15";37.25;0
"2025-11-15 09:56:45";37;0
"2025-11-15 09:57:15";37;0
"2025-11-15 09:57:45";37;0
"2025-11-15 09:58:15";37;0
"2025-11-15 09:58:45";37;0
"2025-11-15 09:59:15";37;0
"2025-11-15 09:59:45";37;0
"2025-11-15 10:00:15";37;0
"2025-11-15 10:00:45";37;0
"2025-11-15 10:01:15";37;0
"2025-11-15 10:01:45";37;0
"2025-11-15 10:02:15";36.88;0
"2025-11-15 10:02:45";37;0
"2025-11-15 10:03:15";37;0
"2025-11-15 10:03:45";37;0
"2025-11-15 10:04:15";36.75;0
"2025-11-15 10:04:45";37;0
"2025-11-15 10:05:15";37;0
"2025-11-15 10:05:45";37;0
"2025-11-15 10:06:15";36.88;0
"2025-11-15 10:06:45";36.88;0
"2025-11-15 10:07:15";36.63;0
"2025-11-15 10:07:45";36.63;0
"2025-11-15 10:08:15";37;0
"2025-11-15 10:08:45";36.88;0
"2025-11-15 10:09:15";37;0
"2025-11-15 10:09:45";36.13;0
"2025-11-15 10:10:15";36.50;0
"2025-11-15 10:10:45";36.63;0
"2025-11-15 10:11:15";36.38;0
"2025-11-15 10:11:45";36.13;0
"2025-11-15 10:12:15";36;0
"2025-11-15 10:12:45";36.13;0
"2025-11-15 10:13:15";36.13;0
"2025-11-15 10:13:45";36;0
"2025-11-15 10:14:15";36.25;0
"2025-11-15 10:14:45";36;0
"2025-11-15 10:15:15";37.13;0
"2025-11-15 10:15:45";38.88;0
"2025-11-15 10:16:15";38;0
"2025-11-15 10:16:45";38;0
"2025-11-15 10:17:15";39;0
"2025-11-15 10:17:45";38;0
"2025-11-15 10:18:15";38;0
"2025-11-15 10:18:45";38;0
"2025-11-15 10:19:15";38;0
"2025-11-15 10:19:45";38;0
"2025-11-15 10:20:15";37.75;0
"2025-11-15 10:20:45";37.13;0
"2025-11-15 10:21:15";37.25;0
"2025-11-15 10:21:45";37.63;0
"2025-11-15 10:22:15";37.50;0
"2025-11-15 10:22:45";38;0
"2025-11-15 10:23:15";38;0
"2025-11-15 10:23:45";38;0
"2025-11-15 10:24:15";38;0
"2025-11-15 10:24:45";39.13;0
"2025-11-15 10:25:15";38.38;0
"2025-11-15 10:25:45";38.75;0
"2025-11-15 10:26:15";38;0
"2025-11-15 10:26:45";38;0
"2025-11-15 10:27:15";38.13;0
"2025-11-15 10:27:45";38.13;0
"2025-11-15 10:28:15";38.13;0
"2025-11-15 10:28:45";38;0
"2025-11-15 10:29:15";38;0
"2025-11-15 10:29:45";38;0
"2025-11-15 10:30:15";38;0
"2025-11-15 10:30:45";38;0
"2025-11-15 10:31:15";37.88;0
"2025-11-15 10:31:45";38;0
"2025-11-15 10:32:15";38;0
"2025-11-15 10:32:45";37.63;0
"2025-11-15 10:33:15";37.50;0
"2025-11-15 10:33:45";37.75;0
"2025-11-15 10:34:15";37.63;0
"2025-11-15 10:34:45";37.38;0
"2025-11-15 10:35:15";37.25;0
"2025-11-15 10:35:45";37;0
"2025-11-15 10:36:15";37;0
"2025-11-15 10:36:45";37;0
"2025-11-15 10:37:15";37;0
"2025-11-15 10:37:45";37;0
"2025-11-15 10:38:15";37;0
"2025-11-15 10:38:45";37;0
"2025-11-15 10:39:15";37;0
"2025-11-15 10:39:45";37;0
"2025-11-15 10:40:15";37;0
"2025-11-15 10:40:45";37;0
"2025-11-15 10:41:15";36.88;0
"2025-11-15 10:41:45";37;0
"2025-11-15 10:42:15";36.75;0
"2025-11-15 10:42:45";36;0
"2025-11-15 10:43:15";36.38;0
"2025-11-15 10:43:45";36;0
"2025-11-15 10:44:15";36;0
"2025-11-15 10:44:45";36;0
"2025-11-15 10:45:15";36;0
"2025-11-15 10:45:45";36;0
"2025-11-15 10:46:15";36;0
"2025-11-15 10:46:45";36;0
"2025-11-15 10:47:15";36;0
"2025-11-15 10:47:45";36;0
"2025-11-15 10:48:16";36;0
"2025-11-15 10:48:46";36;0
"2025-11-15 10:49:16";36;0
"2025-11-15 10:49:46";36;0
"2025-11-15 10:50:16";36;0
"2025-11-15 10:50:46";35.63;0
"2025-11-15 10:51:16";36;0
"2025-11-15 10:51:46";36;0
"2025-11-15 10:52:16";36;0
"2025-11-15 10:52:46";36;0
"2025-11-15 10:53:16";36;0
"2025-11-15 10:53:46";36;0
"2025-11-15 10:54:16";35.88;0
"2025-11-15 10:54:46";35.63;0
"2025-11-15 10:55:16";35.75;0
"2025-11-15 10:55:46";35.38;0
"2025-11-15 10:56:16";35.38;0
"2025-11-15 10:56:46";35.50;0
"2025-11-15 10:57:16";35.38;0
"2025-11-15 10:57:46";35.25;0
"2025-11-15 10:58:16";35.63;0
"2025-11-15 10:58:46";36;0
"2025-11-15 10:59:16";35.88;0
"2025-11-15 10:59:46";36;0
"2025-11-15 11:00:16";36;0
"2025-11-15 11:00:46";35.63;0
"2025-11-15 11:01:16";36;0
"2025-11-15 11:01:46";35.75;0
"2025-11-15 11:02:16";35.38;0
"2025-11-15 11:02:46";35.63;0
"2025-11-15 11:03:16";35.25;0
"2025-11-15 11:03:46";35.50;0
"2025-11-15 11:04:16";35.38;0
"2025-11-15 11:04:46";35.13;0
"2025-11-15 11:05:16";35.13;0
"2025-11-15 11:05:46";35.38;0
"2025-11-15 11:06:16";35.13;0
"2025-11-15 11:06:46";35.25;0
"2025-11-15 11:07:16";35;0
"2025-11-15 11:07:46";35;0
"2025-11-15 11:08:16";35;0
"2025-11-15 11:08:46";35;0
"2025-11-15 11:09:16";35;0
"2025-11-15 11:09:46";35;0
"2025-11-15 11:10:16";35;0
"2025-11-15 11:10:46";35;0
"2025-11-15 11:11:16";35;0
"2025-11-15 11:11:46";35;0
"2025-11-15 11:12:16";35;0
"2025-11-15 11:12:46";35;0
"2025-11-15 11:13:16";34;0
"2025-11-15 11:13:46";34.13;0
"2025-11-15 11:14:16";34;0
"2025-11-15 11:14:46";34.63;0
"2025-11-15 11:15:16";34.88;0
"2025-11-15 11:15:46";34.63;0
"2025-11-15 11:16:16";34.63;0
"2025-11-15 11:16:46";34.50;0
"2025-11-15 11:17:16";34.38;0
"2025-11-15 11:17:46";34.50;0
"2025-11-15 11:18:16";34.25;0
"2025-11-15 11:18:46";34.38;0
"2025-11-15 11:19:16";34.50;0
"2025-11-15 11:19:46";34.25;0
"2025-11-15 11:20:16";34.13;0
"2025-11-15 11:20:46";34.25;0
"2025-11-15 11:21:16";34.38;0
"2025-11-15 11:21:46";34;0
"2025-11-15 11:22:16";34.25;0
"2025-11-15 11:22:46";34.25;0
"2025-11-15 11:23:16";34.25;0
"2025-11-15 11:23:46";34;0
"2025-11-15 11:24:16";34;0
"2025-11-15 11:24:46";34;0
"2025-11-15 11:25:16";34;0
"2025-11-15 11:25:46";34.13;0
"2025-11-15 11:26:16";34.13;0
"2025-11-15 11:26:46";34;0
"2025-11-15 11:27:16";34;0
"2025-11-15 11:27:46";34;0
"2025-11-15 11:28:16";34;0
"2025-11-15 11:28:46";34;0
"2025-11-15 11:29:16";34;0
"2025-11-15 11:29:46";34;0
"2025-11-15 11:30:16";34;0
"2025-11-15 11:30:46";34;0
"2025-11-15 11:31:16";34;0
"2025-11-15 11:31:46";34.13;0
"2025-11-15 11:32:16";34;0
"2025-11-15 11:32:46";34;0
"2025-11-15 11:33:16";34;0
"2025-11-15 11:33:46";34.25;0
"2025-11-15 11:34:16";34.25;0
"2025-11-15 11:34:46";34;0
"2025-11-15 11:35:16";34;0
"2025-11-15 11:35:46";34.13;0
"2025-11-15 11:36:16";34;0
"2025-11-15 11:36:46";34;0
"2025-11-15 11:37:16";34.13;0
"2025-11-15 11:37:46";34.25;0
"2025-11-15 11:38:16";34.25;0
"2025-11-15 11:38:46";34.13;0
"2025-11-15 11:39:16";34;0
"2025-11-15 11:39:46";34.13;0
"2025-11-15 11:40:16";34;0
"2025-11-15 11:40:46";34;0
"2025-11-15 11:41:16";34;0
"2025-11-15 11:41:46";34;0
"2025-11-15 11:42:16";34.38;0
"2025-11-15 11:42:46";34.13;0
"2025-11-15 11:43:16";34;0
