"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
1	"2022-03-12 01:51:44"	36	8.8
2	"2022-03-12 01:51:54"	72	316.2
3	"2022-03-12 01:52:04"	50	47.4
4	"2022-03-12 01:52:14"	36	8.8
5	"2022-03-12 01:52:24"	31	0
6	"2022-03-12 01:52:34"	28	0
7	"2022-03-12 01:52:44"	27	0
8	"2022-03-12 01:52:54"	26	0
9	"2022-03-12 01:53:04"	25	0
10	"2022-03-12 01:53:14"	24	0
11	"2022-03-12 01:53:24"	24	0
12	"2022-03-12 01:53:34"	23	0
13	"2022-03-12 01:53:44"	20	0
14	"2022-03-12 01:53:54"	23	0
15	"2022-03-12 01:54:04"	24	0
16	"2022-03-12 01:54:14"	25	0
17	"2022-03-12 01:54:24"	27	0
18	"2022-03-12 01:54:34"	26	0
19	"2022-03-12 01:54:44"	25	0
20	"2022-03-12 01:54:54"	27	0
21	"2022-03-12 01:55:04"	27	0
22	"2022-03-12 01:55:14"	26	0
23	"2022-03-12 01:55:24"	26	0
24	"2022-03-12 01:55:34"	26	0
25	"2022-03-12 01:55:44"	26	0
26	"2022-03-12 01:55:54"	26	0
27	"2022-03-12 01:56:04"	26	0
28	"2022-03-12 01:56:14"	26	0
29	"2022-03-12 01:56:24"	26	0
30	"2022-03-12 01:56:34"	25	0
31	"2022-03-12 01:56:44"	26	0
32	"2022-03-12 01:56:54"	25	0
33	"2022-03-12 01:57:04"	25	0
34	"2022-03-12 01:57:14"	26	0
35	"2022-03-12 01:57:24"	26	0
36	"2022-03-12 01:57:34"	25	0
37	"2022-03-12 01:57:44"	25	0
38	"2022-03-12 01:57:54"	25	0
39	"2022-03-12 01:58:04"	25	0
40	"2022-03-12 01:58:14"	25	0
41	"2022-03-12 01:58:24"	25	0
42	"2022-03-12 01:58:34"	25	0
43	"2022-03-12 01:58:44"	25	0
44	"2022-03-12 01:58:54"	25	0
45	"2022-03-12 01:59:04"	24	0
46	"2022-03-12 01:59:14"	24	0
47	"2022-03-12 01:59:24"	24	0
48	"2022-03-12 01:59:34"	24	0
49	"2022-03-12 01:59:44"	25	0
50	"2022-03-12 01:59:54"	24	0
51	"2022-03-12 02:00:04"	25	0
52	"2022-03-12 02:00:14"	24	0
53	"2022-03-12 02:00:24"	24	0
54	"2022-03-12 02:00:34"	24	0
55	"2022-03-12 02:00:44"	24	0
56	"2022-03-12 02:00:54"	24	0
57	"2022-03-12 02:01:04"	24	0
58	"2022-03-12 02:01:14"	24	0
59	"2022-03-12 02:01:24"	24	0
60	"2022-03-12 02:01:34"	24	0
61	"2022-03-12 02:01:44"	24	0
62	"2022-03-12 02:01:54"	24	0
63	"2022-03-12 02:02:04"	24	0
64	"2022-03-12 02:02:14"	24	0
65	"2022-03-12 02:02:24"	24	0
66	"2022-03-12 02:02:34"	24	0
67	"2022-03-12 02:02:44"	24	0
68	"2022-03-12 02:02:54"	25	0
69	"2022-03-12 02:03:04"	25	0
70	"2022-03-12 02:03:14"	24	0
71	"2022-03-12 02:03:24"	23	0
72	"2022-03-12 02:03:34"	23	0
73	"2022-03-12 02:03:44"	23	0
74	"2022-03-12 02:03:54"	23	0
75	"2022-03-12 02:04:04"	23	0
76	"2022-03-12 02:04:14"	23	0
77	"2022-03-12 02:04:24"	23	0
78	"2022-03-12 02:04:34"	24	0
79	"2022-03-12 02:04:44"	23	0
80	"2022-03-12 02:04:54"	23	0
81	"2022-03-12 02:05:04"	23	0
82	"2022-03-12 02:05:14"	23	0
83	"2022-03-12 02:05:24"	23	0
84	"2022-03-12 02:05:34"	23	0
85	"2022-03-12 02:05:44"	24	0
86	"2022-03-12 02:05:54"	23	0
87	"2022-03-12 02:06:04"	23	0
88	"2022-03-12 02:06:14"	23	0
89	"2022-03-12 02:06:24"	23	0
90	"2022-03-12 02:06:34"	23	0
91	"2022-03-12 02:06:44"	23	0
92	"2022-03-12 02:06:54"	23	0
93	"2022-03-12 02:07:04"	23	0
94	"2022-03-12 02:07:14"	23	0
95	"2022-03-12 02:07:24"	23	0
96	"2022-03-12 02:07:34"	23	0
97	"2022-03-12 02:07:44"	23	0
