"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
1	"2022-03-12 02:11:57"	47	0
2	"2022-03-12 02:12:06"	99	109
3	"2022-03-12 02:12:16"	103	135.1
4	"2022-03-12 02:12:26"	94	82.4
5	"2022-03-12 02:12:36"	88	57.7
6	"2022-03-12 02:12:46"	80	34.7
7	"2022-03-12 02:12:56"	77	28.3
8	"2022-03-12 02:13:06"	74	23
9	"2022-03-12 02:13:16"	70	17.2
10	"2022-03-12 02:13:26"	70	17.2
11	"2022-03-12 02:13:36"	68	14.6
12	"2022-03-12 02:13:46"	67	13.6
13	"2022-03-12 02:13:56"	65	11.6
14	"2022-03-12 02:14:06"	64	10.6
15	"2022-03-12 02:14:16"	63	9.8
16	"2022-03-12 02:14:26"	61	8.3
17	"2022-03-12 02:14:36"	61	8.3
18	"2022-03-12 02:14:46"	64	10.6
19	"2022-03-12 02:14:56"	60	0
20	"2022-03-12 02:15:06"	60	0
21	"2022-03-12 02:15:16"	60	0
22	"2022-03-12 02:15:26"	58	0
23	"2022-03-12 02:15:36"	58	0
24	"2022-03-12 02:15:46"	56	0
25	"2022-03-12 02:15:56"	56	0
26	"2022-03-12 02:16:06"	55	0
27	"2022-03-12 02:16:16"	55	0
28	"2022-03-12 02:16:26"	55	0
29	"2022-03-12 02:16:36"	54	0
30	"2022-03-12 02:16:46"	54	0
31	"2022-03-12 02:16:56"	55	0
32	"2022-03-12 02:17:06"	54	0
33	"2022-03-12 02:17:16"	54	0
34	"2022-03-12 02:17:26"	53	0
35	"2022-03-12 02:17:36"	53	0
36	"2022-03-12 02:17:46"	52	0
37	"2022-03-12 02:17:56"	52	0
38	"2022-03-12 02:18:06"	52	0
39	"2022-03-12 02:18:16"	52	0
40	"2022-03-12 02:18:26"	52	0
41	"2022-03-12 02:18:36"	52	0
42	"2022-03-12 02:18:46"	52	0
43	"2022-03-12 02:18:56"	52	0
44	"2022-03-12 02:19:06"	52	0
45	"2022-03-12 02:19:16"	52	0
46	"2022-03-12 02:19:26"	52	0
47	"2022-03-12 02:19:36"	51	0
48	"2022-03-12 02:19:46"	51	0
49	"2022-03-12 02:19:56"	51	0
50	"2022-03-12 02:20:06"	51	0
51	"2022-03-12 02:20:16"	50	0
52	"2022-03-12 02:20:26"	50	0
53	"2022-03-12 02:20:36"	50	0
54	"2022-03-12 02:20:46"	50	0
55	"2022-03-12 02:20:56"	50	0
56	"2022-03-12 02:21:06"	50	0
57	"2022-03-12 02:21:16"	50	0
58	"2022-03-12 02:21:26"	50	0
59	"2022-03-12 02:21:36"	50	0
60	"2022-03-12 02:21:46"	50	0
61	"2022-03-12 02:21:56"	50	0
62	"2022-03-12 02:22:06"	50	0
63	"2022-03-12 02:22:16"	50	0
64	"2022-03-12 02:22:26"	50	0
65	"2022-03-12 02:22:36"	49	0
66	"2022-03-12 02:22:46"	49	0
67	"2022-03-12 02:22:56"	49	0
68	"2022-03-12 02:23:06"	49	0
69	"2022-03-12 02:23:16"	49	0
70	"2022-03-12 02:23:26"	49	0
71	"2022-03-12 02:23:36"	48	0
72	"2022-03-12 02:23:46"	48	0
73	"2022-03-12 02:23:56"	48	0
74	"2022-03-12 02:24:06"	48	0
75	"2022-03-12 02:24:16"	48	0
76	"2022-03-12 02:24:26"	47	0
77	"2022-03-12 02:24:36"	47	0
78	"2022-03-12 02:24:46"	47	0
79	"2022-03-12 02:24:56"	47	0
80	"2022-03-12 02:25:06"	47	0
81	"2022-03-12 02:25:16"	46	0
82	"2022-03-12 02:25:26"	46	0
83	"2022-03-12 02:25:36"	46	0
84	"2022-03-12 02:25:46"	46	0
85	"2022-03-12 02:25:56"	46	0
86	"2022-03-12 02:26:06"	46	0
87	"2022-03-12 02:26:16"	45	0
88	"2022-03-12 02:26:26"	46	0
89	"2022-03-12 02:26:36"	46	0
90	"2022-03-12 02:26:46"	45	0
91	"2022-03-12 02:26:56"	45	0
92	"2022-03-12 02:27:06"	45	0
93	"2022-03-12 02:27:16"	45	0
94	"2022-03-12 02:27:26"	45	0
95	"2022-03-12 02:27:36"	45	0
96	"2022-03-12 02:27:46"	45	0
97	"2022-03-12 02:27:56"	45	0
98	"2022-03-12 02:28:06"	45	0
99	"2022-03-12 02:28:16"	45	0
100	"2022-03-12 02:28:26"	44	0
101	"2022-03-12 02:28:36"	44	0
102	"2022-03-12 02:28:46"	44	0
103	"2022-03-12 02:28:56"	44	0
104	"2022-03-12 02:29:06"	44	0
105	"2022-03-12 02:29:16"	44	0
106	"2022-03-12 02:29:26"	44	0
107	"2022-03-12 02:29:36"	44	0
108	"2022-03-12 02:29:46"	44	0
109	"2022-03-12 02:29:56"	44	0
110	"2022-03-12 02:30:06"	43	0
111	"2022-03-12 02:30:16"	43	0
112	"2022-03-12 02:30:26"	43	0
113	"2022-03-12 02:30:36"	43	0
114	"2022-03-12 02:30:46"	43	0
115	"2022-03-12 02:30:56"	43	0
116	"2022-03-12 02:31:06"	43	0
117	"2022-03-12 02:31:16"	42	0
118	"2022-03-12 02:31:26"	42	0
119	"2022-03-12 02:31:36"	42	0
120	"2022-03-12 02:31:46"	42	0
121	"2022-03-12 02:31:56"	42	0
122	"2022-03-12 02:32:06"	42	0
123	"2022-03-12 02:32:16"	42	0
124	"2022-03-12 02:32:26"	42	0
125	"2022-03-12 02:32:36"	42	0
126	"2022-03-12 02:32:46"	42	0
127	"2022-03-12 02:32:56"	42	0
128	"2022-03-12 02:33:06"	42	0
129	"2022-03-12 02:33:16"	42	0
130	"2022-03-12 02:33:26"	42	0
131	"2022-03-12 02:33:36"	42	0
132	"2022-03-12 02:33:46"	42	0
133	"2022-03-12 02:33:56"	42	0
134	"2022-03-12 02:34:06"	42	0
135	"2022-03-12 02:34:16"	42	0
136	"2022-03-12 02:34:26"	42	0
137	"2022-03-12 02:34:36"	42	0
138	"2022-03-12 02:34:46"	42	0
139	"2022-03-12 02:34:56"	42	0
140	"2022-03-12 02:35:06"	42	0
141	"2022-03-12 02:35:16"	42	0
142	"2022-03-12 02:35:26"	42	0
143	"2022-03-12 02:35:36"	41	0
144	"2022-03-12 02:35:46"	41	0
145	"2022-03-12 02:35:56"	41	0
146	"2022-03-12 02:36:06"	41	0
147	"2022-03-12 02:36:16"	41	0
148	"2022-03-12 02:36:26"	41	0
149	"2022-03-12 02:36:36"	41	0
150	"2022-03-12 02:36:46"	41	0
151	"2022-03-12 02:36:56"	41	0
152	"2022-03-12 02:37:06"	41	0
153	"2022-03-12 02:37:16"	41	0
154	"2022-03-12 02:37:26"	41	0
155	"2022-03-12 02:37:36"	41	0
156	"2022-03-12 02:37:46"	41	0
157	"2022-03-12 02:37:56"	41	0
158	"2022-03-12 02:38:06"	41	0
159	"2022-03-12 02:38:16"	41	0
160	"2022-03-12 02:38:26"	41	0
161	"2022-03-12 02:38:36"	41	0
162	"2022-03-12 02:38:46"	41	0
163	"2022-03-12 02:38:56"	41	0
164	"2022-03-12 02:39:06"	41	0
165	"2022-03-12 02:39:16"	41	0
166	"2022-03-12 02:39:26"	41	0
167	"2022-03-12 02:39:36"	40	0
168	"2022-03-12 02:39:46"	40	0
169	"2022-03-12 02:39:56"	40	0
170	"2022-03-12 02:40:06"	40	0
171	"2022-03-12 02:40:16"	40	0
172	"2022-03-12 02:40:26"	40	0
173	"2022-03-12 02:40:36"	40	0
174	"2022-03-12 02:40:46"	40	0
175	"2022-03-12 02:40:56"	40	0
176	"2022-03-12 02:41:06"	40	0
177	"2022-03-12 02:41:16"	40	0
178	"2022-03-12 02:41:26"	40	0
179	"2022-03-12 02:41:36"	40	0
180	"2022-03-12 02:41:46"	40	0
