"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM"	"temp"	"pressure"	"humidity"	"wind"	"WindTemp" 
1	"2022-03-12 02:12:59"	240	0	20.51	1005	66.06	1.64380	3
2	"2022-03-12 02:13:09"	262	0	20.51	1005	63.67	0.29730	3
3	"2022-03-12 02:13:19"	280	0	20.51	1005	67.43	0.00359	5
4	"2022-03-12 02:13:29"	293	0	20.51	1005	72.23	0.01009	6
5	"2022-03-12 02:13:39"	300	0	20.51	1005	76.59	0.12746	6
6	"2022-03-12 02:13:49"	305	8.6	20.51	1005	80.76	0.03438	6
7	"2022-03-12 02:13:59"	308	9.1	20.51	1004	82.99	0.08011	6
8	"2022-03-12 02:14:09"	309	9.3	20.51	1004	85.61	0.10769	8
9	"2022-03-12 02:14:19"	310	9.6	20.51	1004	85.82	0.04508	8
10	"2022-03-12 02:14:29"	311	9.8	20.51	1004	85.89	0.09061	7
11	"2022-03-12 02:14:39"	312	10.1	20.51	1004	85.89	0.17179	7
12	"2022-03-12 02:14:49"	312	10.1	20.51	1004	85.95	0.11003	7
13	"2022-03-12 02:14:59"	312	10.1	20.51	1005	86.07	0.03583	8
14	"2022-03-12 02:15:09"	313	10.3	20.51	1004	86.22	0.16480	8
15	"2022-03-12 02:15:19"	313	10.3	20.51	1005	86.39	0.18834	8
16	"2022-03-12 02:15:29"	313	10.3	20.51	1004	86.54	0.04508	8
17	"2022-03-12 02:15:39"	313	10.3	20.51	1005	86.71	0.22121	8
18	"2022-03-12 02:15:49"	313	10.3	20.51	1005	86.83	0.13982	8
19	"2022-03-12 02:15:59"	313	10.3	20.51	1004	86.87	0.12673	8
20	"2022-03-12 02:16:09"	313	10.3	20.51	1004	86.93	0.05085	9
21	"2022-03-12 02:16:19"	313	10.3	20.51	1004	87.06	0.12164	9
22	"2022-03-12 02:16:29"	313	10.3	20.51	1004	87.10	0.13872	8
23	"2022-03-12 02:16:39"	313	10.3	20.51	1004	87.10	0.13872	8
24	"2022-03-12 02:16:49"	313	10.3	20.51	1004	87.10	0.13099	8
25	"2022-03-12 02:16:59"	313	10.3	20.51	1004	87.18	0.20816	8
26	"2022-03-12 02:17:09"	313	10.3	20.51	1004	87.28	0.18834	8
27	"2022-03-12 02:17:19"	313	10.3	20.51	1004	87.36	0.17112	8
28	"2022-03-12 02:17:29"	313	10.3	20.51	1004	87.43	0.10855	8
29	"2022-03-12 02:17:39"	313	10.3	20.51	1005	87.51	0.16982	8
30	"2022-03-12 02:17:49"	313	10.3	20.51	1005	87.59	0.16234	8
31	"2022-03-12 02:17:59"	313	10.3	20.51	1004	87.60	0.11346	8
32	"2022-03-12 02:18:09"	313	10.3	20.51	1004	87.65	0.08377	8
33	"2022-03-12 02:18:19"	313	10.3	20.51	1004	87.74	0.19666	9
34	"2022-03-12 02:18:29"	313	10.3	20.51	1004	87.74	0.17257	9
35	"2022-03-12 02:18:39"	312	10.1	20.51	1004	87.75	0.17786	9
36	"2022-03-12 02:18:49"	312	10.1	20.51	1004	87.76	0.06914	8
37	"2022-03-12 02:18:59"	312	10.1	20.51	1004	87.83	0.21083	8
38	"2022-03-12 02:19:09"	312	10.1	20.51	1004	87.80	0.06305	9
39	"2022-03-12 02:19:19"	312	10.1	20.51	1004	87.80	0.12164	9
40	"2022-03-12 02:19:29"	312	10.1	20.51	1004	87.78	0.21844	9
41	"2022-03-12 02:19:39"	312	10.1	20.51	1004	87.82	0.21525	8
42	"2022-03-12 02:19:49"	312	10.1	20.51	1004	87.90	0.20418	9
43	"2022-03-12 02:19:59"	312	10.1	20.51	1004	87.95	0.10402	9
44	"2022-03-12 02:20:08"	312	10.1	20.51	1004	87.94	0.23941	9
45	"2022-03-12 02:20:18"	312	10.1	20.51	1004	87.97	0.15739	8
46	"2022-03-12 02:20:28"	312	10.1	20.51	1004	87.97	0.17496	8
47	"2022-03-12 02:20:38"	311	9.8	20.51	1004	87.91	0.15256	8
48	"2022-03-12 02:20:48"	311	9.8	20.51	1004	87.87	0.11184	9
49	"2022-03-12 02:20:58"	311	9.8	20.51	1004	87.88	0.23292	9
50	"2022-03-12 02:21:08"	311	9.8	20.51	1004	87.86	0.24828	9
51	"2022-03-12 02:21:18"	311	9.8	20.51	1005	87.89	0.17597	9
52	"2022-03-12 02:21:28"	311	9.8	20.51	1004	87.88	0.13982	8
53	"2022-03-12 02:21:38"	311	9.8	20.51	1004	87.85	0.19666	9
54	"2022-03-12 02:21:48"	311	9.8	20.51	1004	87.88	0.06994	9
55	"2022-03-12 02:21:58"	311	9.8	20.51	1004	87.88	0.09520	9
56	"2022-03-12 02:22:08"	311	9.8	20.51	1004	87.78	0.14715	9
57	"2022-03-12 02:22:18"	311	9.8	20.51	1004	87.79	0.21422	9
58	"2022-03-12 02:22:28"	311	9.8	20.51	1004	87.79	0.09406	9
59	"2022-03-12 02:22:38"	310	9.6	20.51	1004	87.84	0.09406	9
60	"2022-03-12 02:22:48"	310	9.6	20.51	1004	87.74	0.15387	9
61	"2022-03-12 02:22:58"	310	9.6	20.51	1004	87.76	0.16740	9
