"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
20	"2022-07-31 00:02:43"	35	0
21	"2022-07-31 00:02:53"	35	0
22	"2022-07-31 00:03:03"	35	0
23	"2022-07-31 00:03:13"	34	0
24	"2022-07-31 00:03:23"	34	0
25	"2022-07-31 00:03:33"	34	0
26	"2022-07-31 00:03:43"	34	0
27	"2022-07-31 00:03:53"	33	0
28	"2022-07-31 00:04:03"	33	0
29	"2022-07-31 00:04:13"	33	0
30	"2022-07-31 00:04:23"	33	0
31	"2022-07-31 00:04:33"	33	0
32	"2022-07-31 00:04:43"	33	0
33	"2022-07-31 00:04:53"	33	0
34	"2022-07-31 00:05:03"	32	0
35	"2022-07-31 00:05:13"	32	0
36	"2022-07-31 00:05:23"	32	0
37	"2022-07-31 00:05:33"	32	0
38	"2022-07-31 00:05:43"	31	0
39	"2022-07-31 00:05:53"	32	0
40	"2022-07-31 00:06:03"	31	0
41	"2022-07-31 00:06:13"	31	0
42	"2022-07-31 00:06:23"	31	0
43	"2022-07-31 00:06:33"	31	0
44	"2022-07-31 00:06:43"	31	0
45	"2022-07-31 00:06:53"	31	0
46	"2022-07-31 00:07:03"	31	0
47	"2022-07-31 00:07:13"	31	0
48	"2022-07-31 00:07:23"	31	0
49	"2022-07-31 00:07:33"	31	0
50	"2022-07-31 00:07:43"	30	0
51	"2022-07-31 00:07:53"	30	0
52	"2022-07-31 00:08:03"	30	0
53	"2022-07-31 00:08:13"	30	0
54	"2022-07-31 00:08:23"	30	0
55	"2022-07-31 00:08:33"	30	0
56	"2022-07-31 00:08:43"	30	0
57	"2022-07-31 00:08:53"	30	0
58	"2022-07-31 00:09:03"	30	0
59	"2022-07-31 00:09:13"	29	0
60	"2022-07-31 00:09:23"	30	0
61	"2022-07-31 00:09:33"	29	0
62	"2022-07-31 00:09:43"	29	0
63	"2022-07-31 00:09:53"	29	0
64	"2022-07-31 00:10:03"	29	0
65	"2022-07-31 00:10:13"	29	0
66	"2022-07-31 00:10:23"	29	0
67	"2022-07-31 00:10:33"	30	0
68	"2022-07-31 00:10:43"	29	0
69	"2022-07-31 00:10:53"	29	0
70	"2022-07-31 00:11:03"	29	0
71	"2022-07-31 00:11:13"	29	0
72	"2022-07-31 00:11:23"	29	0
73	"2022-07-31 00:11:33"	29	0
74	"2022-07-31 00:11:43"	29	0
75	"2022-07-31 00:11:53"	29	0
76	"2022-07-31 00:12:03"	29	0
77	"2022-07-31 00:12:13"	29	0
78	"2022-07-31 00:12:23"	29	0
79	"2022-07-31 00:12:33"	29	0
80	"2022-07-31 00:12:43"	29	0
81	"2022-07-31 00:12:53"	28	0
82	"2022-07-31 00:13:03"	29	0
83	"2022-07-31 00:13:13"	28	0
84	"2022-07-31 00:13:23"	29	0
85	"2022-07-31 00:13:33"	29	0
86	"2022-07-31 00:13:43"	28	0
87	"2022-07-31 00:13:53"	28	0
88	"2022-07-31 00:14:03"	28	0
89	"2022-07-31 00:14:13"	28	0
90	"2022-07-31 00:14:23"	28	0
91	"2022-07-31 00:14:33"	28	0
92	"2022-07-31 00:14:43"	28	0
93	"2022-07-31 00:14:53"	28	0
94	"2022-07-31 00:15:03"	28	0
95	"2022-07-31 00:15:13"	28	0
96	"2022-07-31 00:15:23"	28	0
97	"2022-07-31 00:15:33"	28	0
98	"2022-07-31 00:15:43"	28	0
99	"2022-07-31 00:15:53"	28	0
100	"2022-07-31 00:16:03"	28	0
101	"2022-07-31 00:16:13"	28	0
102	"2022-07-31 00:16:23"	28	0
103	"2022-07-31 00:16:33"	28	0
104	"2022-07-31 00:16:43"	28	0
105	"2022-07-31 00:16:53"	27	0
106	"2022-07-31 00:17:03"	28	0
107	"2022-07-31 00:17:13"	28	0
108	"2022-07-31 00:17:23"	27	0
109	"2022-07-31 00:17:33"	28	0
110	"2022-07-31 00:17:43"	28	0
111	"2022-07-31 00:17:53"	27	0
112	"2022-07-31 00:18:03"	28	0
113	"2022-07-31 00:18:13"	27	0
114	"2022-07-31 00:18:23"	27	0
115	"2022-07-31 00:18:33"	27	0
116	"2022-07-31 00:18:43"	27	0
117	"2022-07-31 00:18:53"	28	0
118	"2022-07-31 00:19:03"	27	0
119	"2022-07-31 00:19:13"	27	0
120	"2022-07-31 00:19:23"	27	0
121	"2022-07-31 00:19:33"	27	0
122	"2022-07-31 00:19:43"	27	0
123	"2022-07-31 00:19:53"	27	0
124	"2022-07-31 00:20:03"	27	0
125	"2022-07-31 00:20:13"	27	0
126	"2022-07-31 00:20:23"	27	0
127	"2022-07-31 00:20:33"	27	0
128	"2022-07-31 00:20:43"	27	0
129	"2022-07-31 00:20:53"	27	0
130	"2022-07-31 00:21:03"	27	0
131	"2022-07-31 00:21:13"	26	0
132	"2022-07-31 00:21:23"	27	0
133	"2022-07-31 00:21:33"	27	0
134	"2022-07-31 00:21:43"	28	0
135	"2022-07-31 00:21:53"	27	0
136	"2022-07-31 00:22:03"	27	0
137	"2022-07-31 00:22:13"	27	0
138	"2022-07-31 00:22:23"	27	0
139	"2022-07-31 00:22:33"	27	0
140	"2022-07-31 00:22:43"	27	0
141	"2022-07-31 00:22:53"	26	0
142	"2022-07-31 00:23:03"	27	0
143	"2022-07-31 00:23:13"	26	0
144	"2022-07-31 00:23:23"	27	0
145	"2022-07-31 00:23:33"	27	0
146	"2022-07-31 00:23:43"	26	0
147	"2022-07-31 00:23:53"	26	0
148	"2022-07-31 00:24:03"	26	0
149	"2022-07-31 00:24:13"	26	0
150	"2022-07-31 00:24:23"	27	0
151	"2022-07-31 00:24:33"	27	0
152	"2022-07-31 00:24:43"	26	0
153	"2022-07-31 00:24:53"	26	0
154	"2022-07-31 00:25:03"	26	0
155	"2022-07-31 00:25:13"	26	0
156	"2022-07-31 00:25:23"	26	0
157	"2022-07-31 00:25:33"	27	0
158	"2022-07-31 00:25:43"	26	0
159	"2022-07-31 00:25:53"	26	0
160	"2022-07-31 00:26:03"	27	0
161	"2022-07-31 00:26:13"	26	0
162	"2022-07-31 00:26:23"	26	0
163	"2022-07-31 00:26:33"	26	0
164	"2022-07-31 00:26:43"	26	0
165	"2022-07-31 00:26:53"	26	0
166	"2022-07-31 00:27:03"	26	0
167	"2022-07-31 00:27:13"	27	0
168	"2022-07-31 00:27:23"	26	0
169	"2022-07-31 00:27:33"	26	0
170	"2022-07-31 00:27:43"	26	0
171	"2022-07-31 00:27:53"	26	0
172	"2022-07-31 00:28:03"	27	0
173	"2022-07-31 00:28:13"	26	0
174	"2022-07-31 00:28:23"	26	0
175	"2022-07-31 00:28:33"	26	0
176	"2022-07-31 00:28:43"	26	0
177	"2022-07-31 00:28:53"	26	0
178	"2022-07-31 00:29:03"	26	0
179	"2022-07-31 00:29:13"	26	0
180	"2022-07-31 00:29:23"	26	0
181	"2022-07-31 00:29:33"	26	0
182	"2022-07-31 00:29:43"	26	0
183	"2022-07-31 00:29:53"	27	0
184	"2022-07-31 00:30:03"	26	0
185	"2022-07-31 00:30:13"	26	0
186	"2022-07-31 00:30:23"	26	0
187	"2022-07-31 00:30:33"	26	0
188	"2022-07-31 00:30:43"	26	0
189	"2022-07-31 00:30:53"	26	0
190	"2022-07-31 00:31:03"	26	0
191	"2022-07-31 00:31:13"	26	0
192	"2022-07-31 00:31:23"	26	0
193	"2022-07-31 00:31:33"	26	0
194	"2022-07-31 00:31:43"	26	0
195	"2022-07-31 00:31:53"	26	0
196	"2022-07-31 00:32:03"	26	0
197	"2022-07-31 00:32:13"	26	0
198	"2022-07-31 00:32:23"	26	0
199	"2022-07-31 00:32:33"	26	0
200	"2022-07-31 00:32:43"	27	0
201	"2022-07-31 00:32:53"	27	0
202	"2022-07-31 00:33:03"	26	0
203	"2022-07-31 00:33:13"	26	0
204	"2022-07-31 00:33:23"	26	0
205	"2022-07-31 00:33:33"	26	0
206	"2022-07-31 00:33:43"	26	0
207	"2022-07-31 00:33:53"	26	0
208	"2022-07-31 00:34:03"	26	0
209	"2022-07-31 00:34:13"	26	0
210	"2022-07-31 00:34:23"	26	0
211	"2022-07-31 00:34:33"	26	0
212	"2022-07-31 00:34:43"	26	0
213	"2022-07-31 00:34:53"	26	0
214	"2022-07-31 00:35:03"	26	0
215	"2022-07-31 00:35:13"	26	0
216	"2022-07-31 00:35:23"	27	0
217	"2022-07-31 00:35:33"	26	0
218	"2022-07-31 00:35:43"	26	0
219	"2022-07-31 00:35:53"	26	0
220	"2022-07-31 00:36:03"	26	0
221	"2022-07-31 00:36:13"	26	0
222	"2022-07-31 00:36:23"	26	0
223	"2022-07-31 00:36:33"	26	0
224	"2022-07-31 00:36:43"	26	0
225	"2022-07-31 00:36:53"	26	0
226	"2022-07-31 00:37:03"	26	0
227	"2022-07-31 00:37:13"	26	0
