"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM"	"temp"	"pressure"	"humidity"	"wind"	"WindTemp" 
1	"2022-08-09 19:41:04"	139	0	20.51	985	41.83	1.78756	17
2	"2022-08-09 19:41:14"	177	0	20.51	986	43.48	0.78292	17
3	"2022-08-09 19:41:24"	235	0	20.51	987	49.89	0.42290	20
4	"2022-08-09 19:41:34"	275	0	20.51	987	44.70	0.59026	18
5	"2022-08-09 19:41:44"	297	0	20.51	988	45.61	0.12546	18
6	"2022-08-09 19:41:54"	310	9.6	20.51	989	45.91	0.20872	18
7	"2022-08-09 19:42:04"	318	11.5	20.51	989	47.01	0.13255	18
8	"2022-08-09 19:42:14"	324	13.1	20.51	990	47.49	0.13343	17
9	"2022-08-09 19:42:24"	327	14.1	20.51	990	48.31	0.12623	18
10	"2022-08-09 19:42:34"	330	15	20.51	991	48.87	0.19662	17
11	"2022-08-09 19:42:44"	331	15.3	20.51	991	50.88	1.80269	15
12	"2022-08-09 19:42:54"	332	15.6	20.51	992	53.59	2.45655	16
13	"2022-08-09 19:43:04"	334	16.3	20.51	993	53.40	3.07729	16
14	"2022-08-09 19:43:14"	334	16.3	20.51	994	53.86	2.41476	12
15	"2022-08-09 19:43:24"	334	16.3	20.51	995	56.07	2.97893	12
16	"2022-08-09 19:43:34"	335	16.7	20.51	996	58.21	2.79290	12
17	"2022-08-09 19:43:44"	335	16.7	20.51	997	60.16	2.53686	12
18	"2022-08-09 19:43:54"	336	17.1	20.51	998	61.94	2.33973	11
19	"2022-08-09 19:44:04"	336	17.1	20.51	999	63.51	2.63177	11
20	"2022-08-09 19:44:14"	336	17.1	20.51	999	64.89	2.68023	11
21	"2022-08-09 19:44:24"	337	17.5	20.51	1000	66.17	2.56967	11
22	"2022-08-09 19:44:34"	337	17.5	20.51	1000	67.29	2.37413	10
23	"2022-08-09 19:44:44"	337	17.5	20.51	1001	68.41	2.44936	10
24	"2022-08-09 19:44:54"	337	17.5	20.51	1001	69.45	2.69759	11
25	"2022-08-09 19:45:04"	338	17.8	20.51	1001	70.40	2.44936	10
26	"2022-08-09 19:45:14"	338	17.8	20.51	1002	71.32	2.52608	10
27	"2022-08-09 19:45:24"	338	17.8	20.51	1002	72.17	2.42007	10
28	"2022-08-09 19:45:34"	338	17.8	20.51	1002	72.95	2.75245	10
29	"2022-08-09 19:45:44"	339	18.2	20.51	1002	73.65	2.26113	10
30	"2022-08-09 19:45:54"	339	18.2	20.51	1003	74.33	2.46667	10
31	"2022-08-09 19:46:04"	339	18.2	20.51	1003	75	2.37990	10
32	"2022-08-09 19:46:14"	339	18.2	20.51	1003	75.65	2.44468	9
33	"2022-08-09 19:46:24"	339	18.2	20.51	1003	76.28	2.65969	10
34	"2022-08-09 19:46:34"	340	18.7	20.51	1003	76.89	2.67909	9
35	"2022-08-09 19:46:44"	340	18.7	20.51	1003	77.45	2.59944	9
36	"2022-08-09 19:46:54"	340	18.7	20.51	1004	78.01	3.07923	10
37	"2022-08-09 19:47:04"	340	18.7	20.51	1004	78.57	2.62941	9
38	"2022-08-09 19:47:14"	340	18.7	20.51	1004	79.11	2.69897	9
39	"2022-08-09 19:47:24"	340	18.7	20.51	1004	79.64	3.03451	9
40	"2022-08-09 19:47:34"	341	19.1	20.51	1004	80.13	2.04941	9
41	"2022-08-09 19:47:44"	341	19.1	20.51	1004	80.58	2.23267	9
42	"2022-08-09 19:47:54"	341	19.1	20.51	1005	81.02	2.51140	9
43	"2022-08-09 19:48:04"	341	19.1	20.51	1005	81.42	3.05643	9
44	"2022-08-09 19:48:14"	341	19.1	20.51	1005	81.82	2.18800	9
45	"2022-08-09 19:48:24"	341	19.1	20.51	1005	82.23	2.34158	9
46	"2022-08-09 19:48:34"	341	19.1	20.51	1005	82.63	2.55114	9
47	"2022-08-09 19:48:44"	341	19.1	20.51	1005	83	2.83229	9
48	"2022-08-09 19:48:54"	342	19.5	20.51	1005	83.34	2.62985	9
49	"2022-08-09 19:49:04"	341	19.1	20.51	1005	83.68	2.85348	9
50	"2022-08-09 19:49:14"	342	19.5	20.51	1005	83.99	2.33238	9
51	"2022-08-09 19:49:24"	342	19.5	20.51	1005	84.30	2.60936	9
52	"2022-08-09 19:49:34"	342	19.5	20.51	1005	84.62	2.50234	9
53	"2022-08-09 19:49:44"	342	19.5	20.51	1006	84.90	2.96004	9
54	"2022-08-09 19:49:54"	342	19.5	20.51	1006	85.20	2.44583	9
55	"2022-08-09 19:50:04"	342	19.5	20.51	1006	85.47	2.71009	9
56	"2022-08-09 19:50:14"	342	19.5	20.51	1006	85.74	1.99220	8
