"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
1	"2023-09-18 20:22:28"	79.64	0
2	"2023-09-18 20:22:48"	127	0
3	"2023-09-18 20:23:08"	122	0
4	"2023-09-18 20:23:28"	118	0
5	"2023-09-18 20:23:48"	116	0
6	"2023-09-18 20:24:08"	114	0
7	"2023-09-18 20:24:28"	114	0
8	"2023-09-18 20:24:48"	113	0
9	"2023-09-18 20:25:08"	113	0
10	"2023-09-18 20:25:28"	112	0
11	"2023-09-18 20:25:48"	112	0
12	"2023-09-18 20:26:08"	112	0
13	"2023-09-18 20:26:28"	112	0
14	"2023-09-18 20:26:48"	110	0
15	"2023-09-18 20:27:08"	109.86	0
16	"2023-09-18 20:27:28"	110.43	0
17	"2023-09-18 20:27:48"	110.36	0
18	"2023-09-18 20:28:08"	110	0
19	"2023-09-18 20:28:28"	111	0
20	"2023-09-18 20:28:48"	110	0
21	"2023-09-18 20:29:08"	241.93	0
22	"2023-09-18 20:29:28"	240.71	0
23	"2023-09-18 20:29:48"	220	0
24	"2023-09-18 20:30:08"	193	0
25	"2023-09-18 20:30:28"	185	0
26	"2023-09-18 20:30:48"	175	0
27	"2023-09-18 20:31:08"	171.71	0
28	"2023-09-18 20:31:28"	166	0
29	"2023-09-18 20:31:48"	147	0
30	"2023-09-18 20:32:08"	152	0
31	"2023-09-18 20:32:28"	144	0
32	"2023-09-18 20:32:48"	144	0
33	"2023-09-18 20:33:08"	146.36	0
34	"2023-09-18 20:33:28"	146	0
35	"2023-09-18 20:33:48"	144	0
36	"2023-09-18 20:34:08"	133	0
37	"2023-09-18 20:34:28"	135	0
38	"2023-09-18 20:34:48"	141	0
39	"2023-09-18 20:35:08"	140.57	0
40	"2023-09-18 20:35:28"	139.57	0
41	"2023-09-18 20:35:48"	135.14	0
42	"2023-09-18 20:36:08"	137	0
43	"2023-09-18 20:36:28"	137	0
44	"2023-09-18 20:36:48"	137	0
45	"2023-09-18 20:37:08"	135	0
46	"2023-09-18 20:37:28"	135	0
47	"2023-09-18 20:37:48"	134	0
48	"2023-09-18 20:38:08"	132	0
49	"2023-09-18 20:38:28"	132	0
50	"2023-09-18 20:38:48"	131	0
51	"2023-09-18 20:39:08"	131	0
52	"2023-09-18 20:39:28"	131	0
53	"2023-09-18 20:39:48"	130	0
54	"2023-09-18 20:40:08"	129	0
55	"2023-09-18 20:40:28"	129	0
56	"2023-09-18 20:40:48"	129.93	0
57	"2023-09-18 20:41:08"	130	0
58	"2023-09-18 20:41:28"	129.14	0
59	"2023-09-18 20:41:48"	129	0
60	"2023-09-18 20:42:08"	129.64	0
61	"2023-09-18 20:42:28"	129.36	0
62	"2023-09-18 20:42:48"	128.93	0
63	"2023-09-18 20:43:08"	128	0
64	"2023-09-18 20:43:28"	127	0
65	"2023-09-18 20:43:48"	127	0
66	"2023-09-18 20:44:08"	127.07	0
67	"2023-09-18 20:44:28"	127	0
68	"2023-09-18 20:44:48"	126.21	0
69	"2023-09-18 20:45:08"	126	0
70	"2023-09-18 20:45:28"	126	0
71	"2023-09-18 20:45:48"	125.93	0
72	"2023-09-18 20:46:08"	126	0
73	"2023-09-18 20:46:28"	125	0
74	"2023-09-18 20:46:48"	124.86	0
75	"2023-09-18 20:47:08"	124	0
76	"2023-09-18 20:47:28"	124	0
77	"2023-09-18 20:47:48"	124.79	0
78	"2023-09-18 20:48:08"	123	0
79	"2023-09-18 20:48:28"	123	0
80	"2023-09-18 20:48:48"	122.43	0
81	"2023-09-18 20:49:08"	122.93	0
82	"2023-09-18 20:49:28"	123	0
83	"2023-09-18 20:49:48"	121	0
84	"2023-09-18 20:50:08"	122	0
85	"2023-09-18 20:50:28"	123	0
86	"2023-09-18 20:50:48"	122	0
87	"2023-09-18 20:51:08"	122	0
88	"2023-09-18 20:51:28"	122	0
89	"2023-09-18 20:51:48"	122	0
90	"2023-09-18 20:52:08"	122	0
91	"2023-09-18 20:52:28"	121	0
92	"2023-09-18 20:52:48"	121	0
93	"2023-09-18 20:53:08"	120.79	0
94	"2023-09-18 20:53:28"	117.21	0
95	"2023-09-18 20:53:48"	116.43	0
96	"2023-09-18 20:54:08"	117	0
97	"2023-09-18 20:54:28"	118	0
98	"2023-09-18 20:54:48"	119	0
99	"2023-09-18 20:55:08"	119	0
100	"2023-09-18 20:55:28"	119	0
101	"2023-09-18 20:55:48"	119	0
