Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,4/28/2022,12:30:45,792,21.1,66.8
2,4/28/2022,12:30:50,792,21.1,67.6
3,4/28/2022,12:30:55,792,21.2,68.1
4,4/28/2022,12:31:00,791,21.2,68.2
5,4/28/2022,12:31:05,791,21.2,68.2
6,4/28/2022,12:31:10,790,21.3,68.1
7,4/28/2022,12:31:15,787,21.3,68.0
8,4/28/2022,12:31:20,760,21.3,67.8
9,4/28/2022,12:31:25,757,21.3,67.6
10,4/28/2022,12:31:30,747,21.3,67.5
11,4/28/2022,12:31:35,744,21.4,67.3
12,4/28/2022,12:31:40,711,21.4,67.1
13,4/28/2022,12:31:45,711,21.4,67.0
14,4/28/2022,12:31:50,714,21.4,66.8
15,4/28/2022,12:31:55,713,21.4,66.7
16,4/28/2022,12:32:00,716,21.5,66.5
17,4/28/2022,12:32:05,718,21.5,66.4
18,4/28/2022,12:32:10,719,21.5,66.3
19,4/28/2022,12:32:15,720,21.5,66.2
20,4/28/2022,12:32:20,720,21.5,66.1
21,4/28/2022,12:32:25,721,21.6,66.0
22,4/28/2022,12:32:30,722,21.6,65.9
23,4/28/2022,12:32:35,722,21.6,65.8
24,4/28/2022,12:32:40,722,21.6,65.7
25,4/28/2022,12:32:45,721,21.6,65.6
26,4/28/2022,12:32:50,720,21.6,65.5
27,4/28/2022,12:32:55,720,21.6,65.5
28,4/28/2022,12:33:00,719,21.6,65.4
29,4/28/2022,12:33:05,720,21.6,65.3
30,4/28/2022,12:33:10,720,21.6,65.3
