Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,8/19/2022,23:55:05,1250,21.9,72.2
2,8/19/2022,23:55:10,1250,21.9,72.2
3,8/19/2022,23:55:15,1250,21.9,72.2
4,8/19/2022,23:55:20,1245,21.9,72.2
5,8/19/2022,23:55:25,1240,21.9,72.2
6,8/19/2022,23:55:30,1240,21.9,72.2
7,8/19/2022,23:55:35,1240,21.9,72.2
8,8/19/2022,23:55:40,1235,21.9,72.2
9,8/19/2022,23:55:45,1235,21.9,72.2
10,8/19/2022,23:55:50,1235,21.8,72.2
11,8/19/2022,23:55:55,1235,21.8,72.2
12,8/19/2022,23:56:00,1235,21.9,72.2
13,8/19/2022,23:56:05,1235,21.8,72.2
14,8/19/2022,23:56:10,1235,21.8,72.2
15,8/19/2022,23:56:15,1240,21.8,72.2
16,8/19/2022,23:56:20,1235,21.8,72.2
17,8/19/2022,23:56:25,1235,21.8,72.2
18,8/19/2022,23:56:30,1235,21.8,72.2
19,8/19/2022,23:56:35,1235,21.8,72.2
20,8/19/2022,23:56:40,1245,21.8,72.2
21,8/19/2022,23:56:45,1245,21.8,72.2
22,8/19/2022,23:56:50,1250,21.8,72.2
23,8/19/2022,23:56:55,1250,21.8,72.2
24,8/19/2022,23:57:00,1250,21.8,72.2
25,8/19/2022,23:57:05,1250,21.8,72.2
26,8/19/2022,23:57:10,1250,21.8,72.2
27,8/19/2022,23:57:15,1250,21.8,72.2
28,8/19/2022,23:57:20,1250,21.8,72.2
29,8/19/2022,23:57:25,1250,21.8,72.2
30,8/19/2022,23:57:30,1245,21.8,72.2
31,8/19/2022,23:57:35,1245,21.8,72.2
32,8/19/2022,23:57:40,1245,21.8,72.2
33,8/19/2022,23:57:45,1245,21.8,72.2
34,8/19/2022,23:57:50,1245,21.8,72.2
35,8/19/2022,23:57:55,1245,21.8,72.2
36,8/19/2022,23:58:00,1245,21.8,72.2
37,8/19/2022,23:58:05,1245,21.8,72.2
38,8/19/2022,23:58:10,1245,21.8,72.2
39,8/19/2022,23:58:15,1245,21.8,72.2
40,8/19/2022,23:58:20,1240,21.8,72.2
41,8/19/2022,23:58:25,1240,21.8,72.2
42,8/19/2022,23:58:30,1240,21.7,72.2
