Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,1/18/2023,07:35:50,697,13.2,76.8
2,1/18/2023,07:35:55,696,13.2,76.8
3,1/18/2023,07:36:00,696,13.2,76.8
4,1/18/2023,07:36:05,696,13.2,76.7
5,1/18/2023,07:36:10,689,13.3,76.6
6,1/18/2023,07:36:15,682,13.3,76.5
7,1/18/2023,07:36:20,677,13.3,76.4
8,1/18/2023,07:36:25,672,13.3,76.3
9,1/18/2023,07:36:30,662,13.3,76.3
10,1/18/2023,07:36:35,647,13.3,76.3
11,1/18/2023,07:36:40,630,13.3,76.2
12,1/18/2023,07:36:45,616,13.3,76.1
13,1/18/2023,07:36:50,458,13.3,75.9
14,1/18/2023,07:36:55,448,13.3,75.8
15,1/18/2023,07:37:00,446,13.3,75.7
16,1/18/2023,07:37:05,445,13.3,75.6
17,1/18/2023,07:37:10,443,13.3,75.5
18,1/18/2023,07:37:15,442,13.3,75.4
19,1/18/2023,07:37:20,442,13.3,75.3
20,1/18/2023,07:37:25,441,13.3,75.2
21,1/18/2023,07:37:30,440,13.3,75.2
22,1/18/2023,07:37:35,438,13.3,75.1
23,1/18/2023,07:37:40,437,13.3,75.1
24,1/18/2023,07:37:45,394,13.3,75.1
25,1/18/2023,07:37:50,386,13.3,75.1
26,1/18/2023,07:37:55,386,13.3,75.1
27,1/18/2023,07:38:00,387,13.3,75.1
28,1/18/2023,07:38:05,387,13.3,75.1
29,1/18/2023,07:38:10,388,13.3,75.1
30,1/18/2023,07:38:15,388,13.2,75.1
31,1/18/2023,07:38:20,387,13.2,75.1
32,1/18/2023,07:38:25,384,13.2,75.1
33,1/18/2023,07:38:30,366,13.2,75.1
34,1/18/2023,07:38:35,365,13.2,75.2
35,1/18/2023,07:38:40,365,13.2,75.1
36,1/18/2023,07:38:45,365,13.2,75.1
37,1/18/2023,07:38:50,364,13.2,75.1
38,1/18/2023,07:38:55,363,13.2,75.1
39,1/18/2023,07:39:00,362,13.2,75.1
40,1/18/2023,07:39:05,362,13.2,75.0
41,1/18/2023,07:39:10,361,13.2,74.9
42,1/18/2023,07:39:15,360,13.1,74.8
43,1/18/2023,07:39:20,360,13.1,74.7
44,1/18/2023,07:39:25,359,13.1,74.6
45,1/18/2023,07:39:30,360,13.1,74.5
46,1/18/2023,07:39:35,360,13.1,74.5
47,1/18/2023,07:39:40,359,13.1,74.4
48,1/18/2023,07:39:45,358,13.1,74.3
49,1/18/2023,07:39:50,357,13.1,74.2
50,1/18/2023,07:39:55,356,13.1,74.2
51,1/18/2023,07:40:00,346,13.0,74.1
52,1/18/2023,07:40:05,342,13.0,74.1
53,1/18/2023,07:40:10,342,13.0,74.0
54,1/18/2023,07:40:15,343,13.0,73.9
55,1/18/2023,07:40:20,344,13.0,73.9
56,1/18/2023,07:40:25,346,13.0,73.8
57,1/18/2023,07:40:30,347,13.0,73.8
58,1/18/2023,07:40:35,349,13.0,73.7
59,1/18/2023,07:40:40,350,13.0,73.7
60,1/18/2023,07:40:45,350,13.0,73.6
61,1/18/2023,07:40:50,350,13.0,73.6
62,1/18/2023,07:40:55,350,12.9,73.5
63,1/18/2023,07:41:00,350,12.9,73.4
64,1/18/2023,07:41:05,351,12.9,73.4
65,1/18/2023,07:41:10,351,12.9,73.3
66,1/18/2023,07:41:15,352,12.9,73.2
67,1/18/2023,07:41:20,354,12.9,73.2
68,1/18/2023,07:41:25,355,12.9,73.1
69,1/18/2023,07:41:30,357,12.9,73.1
70,1/18/2023,07:41:35,359,12.8,73.0
71,1/18/2023,07:41:40,359,12.8,73.0
72,1/18/2023,07:41:45,360,12.8,73.0
73,1/18/2023,07:41:50,360,12.8,72.9
74,1/18/2023,07:41:55,359,12.8,72.9
75,1/18/2023,07:42:00,360,12.8,72.9
76,1/18/2023,07:42:05,363,12.8,72.9
77,1/18/2023,07:42:10,363,12.8,72.9
78,1/18/2023,07:42:15,364,12.8,72.9
79,1/18/2023,07:42:20,364,12.8,72.9
80,1/18/2023,07:42:25,365,12.7,72.9
81,1/18/2023,07:42:30,365,12.7,72.9
82,1/18/2023,07:42:35,366,12.7,72.9
83,1/18/2023,07:42:40,366,12.7,72.9
84,1/18/2023,07:42:45,365,12.7,73.0
85,1/18/2023,07:42:50,365,12.7,73.0
86,1/18/2023,07:42:55,366,12.7,73.0
87,1/18/2023,07:43:00,365,12.7,73.1
88,1/18/2023,07:43:05,366,12.7,73.1
89,1/18/2023,07:43:10,366,12.7,73.1
90,1/18/2023,07:43:15,365,12.7,73.1
91,1/18/2023,07:43:20,365,12.7,73.2
92,1/18/2023,07:43:25,364,12.6,73.2
93,1/18/2023,07:43:30,364,12.6,73.2
94,1/18/2023,07:43:35,364,12.6,73.3
95,1/18/2023,07:43:40,363,12.6,73.3
96,1/18/2023,07:43:45,364,12.6,73.3
97,1/18/2023,07:43:50,366,12.6,73.3
98,1/18/2023,07:43:55,366,12.6,73.2
99,1/18/2023,07:44:00,367,12.6,73.2
100,1/18/2023,07:44:05,367,12.6,73.2
101,1/18/2023,07:44:10,368,12.6,73.2
102,1/18/2023,07:44:15,368,12.6,73.1
103,1/18/2023,07:44:20,369,12.6,73.1
104,1/18/2023,07:44:25,369,12.6,73.1
105,1/18/2023,07:44:30,370,12.6,73.1
106,1/18/2023,07:44:35,370,12.5,73.1
