Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,7/30/2022,03:55:05,504,20.1,52.3
2,7/30/2022,03:55:10,498,20.1,52.3
3,7/30/2022,03:55:15,500,20.1,52.3
4,7/30/2022,03:55:20,500,20.1,52.3
5,7/30/2022,03:55:25,500,20.1,52.3
6,7/30/2022,03:55:30,500,20.1,52.3
7,7/30/2022,03:55:35,498,20.1,52.3
8,7/30/2022,03:55:40,496,20.0,52.3
9,7/30/2022,03:55:45,496,20.0,52.4
10,7/30/2022,03:55:50,495,20.0,52.4
11,7/30/2022,03:55:55,493,20.0,52.4
12,7/30/2022,03:56:00,492,20.0,52.4
13,7/30/2022,03:56:05,492,20.0,52.4
14,7/30/2022,03:56:10,492,20.0,52.4
15,7/30/2022,03:56:15,491,20.0,52.4
16,7/30/2022,03:56:20,491,20.0,52.4
17,7/30/2022,03:56:25,489,20.0,52.4
18,7/30/2022,03:56:30,488,20.0,52.4
19,7/30/2022,03:56:35,488,20.0,52.4
20,7/30/2022,03:56:40,486,20.0,52.4
21,7/30/2022,03:56:45,485,20.0,52.4
22,7/30/2022,03:56:50,471,20.0,52.4
23,7/30/2022,03:56:55,471,20.0,52.4
24,7/30/2022,03:57:00,473,20.0,52.4
25,7/30/2022,03:57:05,474,20.0,52.4
26,7/30/2022,03:57:10,476,20.0,52.4
27,7/30/2022,03:57:15,477,19.9,52.4
28,7/30/2022,03:57:20,480,20.0,52.4
29,7/30/2022,03:57:25,479,19.9,52.4
30,7/30/2022,03:57:30,480,19.9,52.4
31,7/30/2022,03:57:35,480,19.9,52.5
32,7/30/2022,03:57:40,481,19.9,52.5
33,7/30/2022,03:57:45,483,19.9,52.5
34,7/30/2022,03:57:50,482,19.9,52.5
35,7/30/2022,03:57:55,482,19.9,52.5
36,7/30/2022,03:58:00,482,19.9,52.5
37,7/30/2022,03:58:05,482,19.9,52.5
38,7/30/2022,03:58:10,482,19.9,52.5
39,7/30/2022,03:58:15,481,19.9,52.5
40,7/30/2022,03:58:20,481,19.9,52.5
41,7/30/2022,03:58:25,481,19.9,52.5
42,7/30/2022,03:58:30,481,19.9,52.5
43,7/30/2022,03:58:35,481,19.9,52.5
44,7/30/2022,03:58:40,481,19.9,52.5
45,7/30/2022,03:58:45,481,19.8,52.5
46,7/30/2022,03:58:50,481,19.9,52.5
47,7/30/2022,03:58:55,481,19.8,52.5
48,7/30/2022,03:59:00,481,19.8,52.6
49,7/30/2022,03:59:05,481,19.8,52.6
50,7/30/2022,03:59:10,483,19.8,52.6
51,7/30/2022,03:59:15,485,19.8,52.6
52,7/30/2022,03:59:20,486,19.8,52.6
53,7/30/2022,03:59:25,489,19.8,52.6
54,7/30/2022,03:59:30,513,19.8,52.6
55,7/30/2022,03:59:35,513,19.8,52.6
56,7/30/2022,03:59:40,512,19.8,52.6
57,7/30/2022,03:59:45,510,19.8,52.6
58,7/30/2022,03:59:50,508,19.8,52.6
59,7/30/2022,03:59:55,507,19.8,52.6
60,7/30/2022,04:00:00,484,19.8,52.6
61,7/30/2022,04:00:05,484,19.8,52.6
62,7/30/2022,04:00:10,485,19.8,52.6
63,7/30/2022,04:00:15,485,19.7,52.7
64,7/30/2022,04:00:20,486,19.7,52.7
65,7/30/2022,04:00:25,486,19.7,52.7
66,7/30/2022,04:00:30,487,19.7,52.7
67,7/30/2022,04:00:35,487,19.7,52.7
68,7/30/2022,04:00:40,487,19.7,52.7
69,7/30/2022,04:00:45,487,19.7,52.7
70,7/30/2022,04:00:50,487,19.7,52.7
71,7/30/2022,04:00:55,487,19.7,52.7
72,7/30/2022,04:01:00,487,19.7,52.7
73,7/30/2022,04:01:05,489,19.7,52.7
74,7/30/2022,04:01:10,491,19.7,52.7
75,7/30/2022,04:01:15,491,19.7,52.7
76,7/30/2022,04:01:20,492,19.7,52.8
77,7/30/2022,04:01:25,492,19.7,52.8
78,7/30/2022,04:01:30,492,19.7,52.8
79,7/30/2022,04:01:35,493,19.7,52.8
80,7/30/2022,04:01:40,493,19.7,52.8
81,7/30/2022,04:01:45,493,19.7,52.8
82,7/30/2022,04:01:50,494,19.6,52.8
83,7/30/2022,04:01:55,494,19.7,52.8
84,7/30/2022,04:02:00,493,19.6,52.8
85,7/30/2022,04:02:05,492,19.6,52.8
86,7/30/2022,04:02:10,490,19.6,52.8
87,7/30/2022,04:02:15,490,19.6,52.8
88,7/30/2022,04:02:20,492,19.6,52.8
89,7/30/2022,04:02:25,492,19.6,52.8
90,7/30/2022,04:02:30,491,19.6,52.8
91,7/30/2022,04:02:35,491,19.6,52.9
92,7/30/2022,04:02:40,491,19.6,52.9
93,7/30/2022,04:02:45,490,19.6,52.9
94,7/30/2022,04:02:50,489,19.6,52.9
95,7/30/2022,04:02:55,488,19.6,52.9
96,7/30/2022,04:03:00,488,19.6,52.9
97,7/30/2022,04:03:05,488,19.6,52.9
98,7/30/2022,04:03:10,488,19.5,52.9
99,7/30/2022,04:03:15,488,19.5,52.9
100,7/30/2022,04:03:20,489,19.5,52.9
101,7/30/2022,04:03:25,489,19.5,52.9
102,7/30/2022,04:03:30,489,19.5,52.9
103,7/30/2022,04:03:35,490,19.5,52.9
104,7/30/2022,04:03:40,491,19.5,52.9
105,7/30/2022,04:03:45,493,19.5,53.0
106,7/30/2022,04:03:50,494,19.5,53.0
107,7/30/2022,04:03:55,508,19.5,53.0
108,7/30/2022,04:04:00,508,19.5,53.0
109,7/30/2022,04:04:05,508,19.5,53.0
110,7/30/2022,04:04:10,507,19.5,53.0
111,7/30/2022,04:04:15,507,19.5,53.0
112,7/30/2022,04:04:20,506,19.5,53.0
113,7/30/2022,04:04:25,489,19.5,53.0
114,7/30/2022,04:04:30,489,19.5,53.0
115,7/30/2022,04:04:35,489,19.5,53.0
116,7/30/2022,04:04:40,489,19.5,53.0
117,7/30/2022,04:04:45,491,19.5,53.0
118,7/30/2022,04:04:50,492,19.5,53.0
119,7/30/2022,04:04:55,493,19.5,53.0
120,7/30/2022,04:05:00,494,19.4,53.0
121,7/30/2022,04:05:05,496,19.4,53.0
122,7/30/2022,04:05:10,497,19.4,53.1
123,7/30/2022,04:05:15,499,19.4,53.1
124,7/30/2022,04:05:20,500,19.4,53.1
125,7/30/2022,04:05:25,501,19.4,53.1
126,7/30/2022,04:05:30,502,19.4,53.1
127,7/30/2022,04:05:35,503,19.4,53.1
128,7/30/2022,04:05:40,504,19.4,53.1
129,7/30/2022,04:05:45,504,19.4,53.1
130,7/30/2022,04:05:50,503,19.4,53.1
131,7/30/2022,04:05:55,503,19.4,53.1
132,7/30/2022,04:06:00,503,19.4,53.1
133,7/30/2022,04:06:05,503,19.4,53.1
134,7/30/2022,04:06:10,501,19.4,53.1
135,7/30/2022,04:06:15,500,19.4,53.1
136,7/30/2022,04:06:20,499,19.4,53.1
137,7/30/2022,04:06:25,499,19.4,53.1
138,7/30/2022,04:06:30,499,19.4,53.1
139,7/30/2022,04:06:35,499,19.4,53.1
140,7/30/2022,04:06:40,501,19.4,53.2
141,7/30/2022,04:06:45,503,19.4,53.2
142,7/30/2022,04:06:50,504,19.4,53.2
143,7/30/2022,04:06:55,505,19.4,53.2
144,7/30/2022,04:07:00,506,19.4,53.2
145,7/30/2022,04:07:05,507,19.4,53.2
146,7/30/2022,04:07:10,508,19.4,53.2
147,7/30/2022,04:07:15,510,19.4,53.2
148,7/30/2022,04:07:20,507,19.4,53.2
149,7/30/2022,04:07:25,505,19.4,53.2
150,7/30/2022,04:07:30,506,19.4,53.2
151,7/30/2022,04:07:35,504,19.4,53.2
152,7/30/2022,04:07:40,504,19.4,53.2
153,7/30/2022,04:07:45,503,19.4,53.2
154,7/30/2022,04:07:50,503,19.4,53.2
155,7/30/2022,04:07:55,502,19.4,53.2
156,7/30/2022,04:08:00,502,19.4,53.3
157,7/30/2022,04:08:05,501,19.4,53.3
158,7/30/2022,04:08:10,500,19.4,53.3
159,7/30/2022,04:08:15,500,19.4,53.3
160,7/30/2022,04:08:20,499,19.4,53.3
161,7/30/2022,04:08:25,500,19.4,53.3
162,7/30/2022,04:08:30,500,19.4,53.3
163,7/30/2022,04:08:35,501,19.4,53.3
164,7/30/2022,04:08:40,501,19.5,53.3
165,7/30/2022,04:08:45,502,19.5,53.3
166,7/30/2022,04:08:50,502,19.5,53.3
167,7/30/2022,04:08:55,503,19.4,53.3
168,7/30/2022,04:09:00,503,19.5,53.4
169,7/30/2022,04:09:05,504,19.5,53.4
170,7/30/2022,04:09:10,504,19.5,53.4
171,7/30/2022,04:09:15,505,19.5,53.4
172,7/30/2022,04:09:20,504,19.5,53.4
173,7/30/2022,04:09:25,504,19.5,53.4
174,7/30/2022,04:09:30,504,19.5,53.4
175,7/30/2022,04:09:35,504,19.5,53.4
176,7/30/2022,04:09:40,504,19.5,53.4
177,7/30/2022,04:09:45,504,19.5,53.4
178,7/30/2022,04:09:50,504,19.6,53.4
179,7/30/2022,04:09:55,504,19.6,53.4
180,7/30/2022,04:10:00,504,19.6,53.4
181,7/30/2022,04:10:05,504,19.6,53.5
182,7/30/2022,04:10:10,505,19.6,53.5
183,7/30/2022,04:10:15,505,19.6,53.5
184,7/30/2022,04:10:20,505,19.6,53.5
185,7/30/2022,04:10:25,505,19.6,53.5
186,7/30/2022,04:10:30,505,19.6,53.5
187,7/30/2022,04:10:35,505,19.7,53.5
188,7/30/2022,04:10:40,507,19.7,53.5
189,7/30/2022,04:10:45,506,19.7,53.5
190,7/30/2022,04:10:50,505,19.7,53.5
191,7/30/2022,04:10:55,506,19.7,53.5
192,7/30/2022,04:11:00,506,19.7,53.5
193,7/30/2022,04:11:05,505,19.7,53.5
194,7/30/2022,04:11:10,505,19.7,53.5
195,7/30/2022,04:11:15,503,19.7,53.5
196,7/30/2022,04:11:20,502,19.8,53.5
197,7/30/2022,04:11:25,479,19.8,53.5
198,7/30/2022,04:11:30,479,19.8,53.5
199,7/30/2022,04:11:35,473,19.8,53.5
200,7/30/2022,04:11:40,473,19.8,53.5
201,7/30/2022,04:11:45,476,19.8,53.5
202,7/30/2022,04:11:50,479,19.8,53.5
203,7/30/2022,04:11:55,482,19.9,53.5
204,7/30/2022,04:12:00,485,19.9,53.4
205,7/30/2022,04:12:05,510,19.9,53.4
206,7/30/2022,04:12:10,506,19.9,53.4
207,7/30/2022,04:12:15,504,19.9,53.4
208,7/30/2022,04:12:20,502,19.9,53.4
209,7/30/2022,04:12:25,500,19.9,53.4
210,7/30/2022,04:12:30,498,19.9,53.4
211,7/30/2022,04:12:35,496,20.0,53.4
212,7/30/2022,04:12:40,495,20.0,53.3
213,7/30/2022,04:12:45,493,20.0,53.3
214,7/30/2022,04:12:50,492,20.0,53.3
215,7/30/2022,04:12:55,492,20.0,53.3
216,7/30/2022,04:13:00,492,20.0,53.3
217,7/30/2022,04:13:05,494,20.0,53.3
218,7/30/2022,04:13:10,495,20.0,53.2
219,7/30/2022,04:13:15,497,20.0,53.2
220,7/30/2022,04:13:20,498,20.0,53.2
221,7/30/2022,04:13:25,499,20.1,53.2
222,7/30/2022,04:13:30,498,20.1,53.2
223,7/30/2022,04:13:35,497,20.1,53.2
224,7/30/2022,04:13:40,497,20.1,53.1
225,7/30/2022,04:13:45,497,20.1,53.1
226,7/30/2022,04:13:50,495,20.1,53.1
227,7/30/2022,04:13:55,495,20.1,53.1
228,7/30/2022,04:14:00,494,20.1,53.1
229,7/30/2022,04:14:05,494,20.1,53.1
230,7/30/2022,04:14:10,493,20.1,53.0
231,7/30/2022,04:14:15,491,20.1,53.0
232,7/30/2022,04:14:20,489,20.1,53.0
233,7/30/2022,04:14:25,488,20.2,53.0
234,7/30/2022,04:14:30,486,20.2,53.0
235,7/30/2022,04:14:35,485,20.2,52.9
236,7/30/2022,04:14:40,485,20.2,52.9
237,7/30/2022,04:14:45,485,20.2,52.9
238,7/30/2022,04:14:50,485,20.2,52.9
239,7/30/2022,04:14:55,485,20.2,52.9
240,7/30/2022,04:15:00,485,20.2,52.9
241,7/30/2022,04:15:05,485,20.2,52.8
242,7/30/2022,04:15:10,485,20.2,52.8
243,7/30/2022,04:15:15,485,20.2,52.8
244,7/30/2022,04:15:20,485,20.2,52.8
245,7/30/2022,04:15:25,485,20.2,52.8
246,7/30/2022,04:15:30,486,20.2,52.8
247,7/30/2022,04:15:35,488,20.2,52.7
248,7/30/2022,04:15:40,488,20.2,52.7
249,7/30/2022,04:15:45,488,20.2,52.7
250,7/30/2022,04:15:50,490,20.2,52.7
251,7/30/2022,04:15:55,491,20.3,52.7
252,7/30/2022,04:16:00,493,20.3,52.7
253,7/30/2022,04:16:05,495,20.2,52.6
254,7/30/2022,04:16:10,495,20.3,52.6
255,7/30/2022,04:16:15,495,20.3,52.6
256,7/30/2022,04:16:20,496,20.3,52.6
257,7/30/2022,04:16:25,496,20.3,52.6
258,7/30/2022,04:16:30,495,20.3,52.6
259,7/30/2022,04:16:35,494,20.3,52.6
260,7/30/2022,04:16:40,492,20.3,52.6
261,7/30/2022,04:16:45,490,20.3,52.5
262,7/30/2022,04:16:50,471,20.3,52.5
263,7/30/2022,04:16:55,471,20.3,52.5
264,7/30/2022,04:17:00,475,20.3,52.5
265,7/30/2022,04:17:05,475,20.3,52.5
266,7/30/2022,04:17:10,475,20.3,52.5
267,7/30/2022,04:17:15,476,20.3,52.5
268,7/30/2022,04:17:20,476,20.3,52.5
269,7/30/2022,04:17:25,476,20.3,52.5
270,7/30/2022,04:17:30,477,20.3,52.4
271,7/30/2022,04:17:35,477,20.3,52.4
272,7/30/2022,04:17:40,478,20.3,52.4
273,7/30/2022,04:17:45,480,20.3,52.4
274,7/30/2022,04:17:50,481,20.3,52.4
275,7/30/2022,04:17:55,482,20.3,52.4
276,7/30/2022,04:18:00,482,20.3,52.4
277,7/30/2022,04:18:05,482,20.3,52.4
278,7/30/2022,04:18:10,482,20.3,52.4
279,7/30/2022,04:18:15,482,20.3,52.4
280,7/30/2022,04:18:20,482,20.3,52.4
281,7/30/2022,04:18:25,482,20.3,52.4
282,7/30/2022,04:18:30,482,20.3,52.4
283,7/30/2022,04:18:35,483,20.3,52.4
284,7/30/2022,04:18:40,485,20.3,52.3
285,7/30/2022,04:18:45,485,20.3,52.3
286,7/30/2022,04:18:50,487,20.3,52.3
287,7/30/2022,04:18:55,488,20.3,52.3
