Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,6/27/2022,05:18:05,524,20.9,46.3
2,6/27/2022,05:18:10,525,20.9,46.3
3,6/27/2022,05:18:15,525,20.9,46.3
4,6/27/2022,05:18:20,526,20.9,46.3
5,6/27/2022,05:18:25,525,20.9,46.3
6,6/27/2022,05:18:30,525,20.9,46.3
7,6/27/2022,05:18:35,525,20.9,46.3
8,6/27/2022,05:18:40,524,20.9,46.3
9,6/27/2022,05:18:45,524,20.9,46.3
10,6/27/2022,05:18:50,524,20.9,46.3
11,6/27/2022,05:18:55,525,20.9,46.4
12,6/27/2022,05:19:00,526,20.9,46.4
13,6/27/2022,05:19:05,527,20.9,46.4
14,6/27/2022,05:19:10,529,20.9,46.4
15,6/27/2022,05:19:15,530,20.9,46.4
16,6/27/2022,05:19:20,532,20.9,46.4
17,6/27/2022,05:19:25,532,20.9,46.4
18,6/27/2022,05:19:30,534,20.9,46.4
19,6/27/2022,05:19:35,533,20.9,46.4
20,6/27/2022,05:19:40,532,20.9,46.4
21,6/27/2022,05:19:45,532,20.9,46.5
22,6/27/2022,05:19:50,531,20.9,46.5
23,6/27/2022,05:19:55,531,20.9,46.5
24,6/27/2022,05:20:00,532,20.9,46.5
25,6/27/2022,05:20:05,533,20.8,46.5
26,6/27/2022,05:20:10,533,20.8,46.5
27,6/27/2022,05:20:15,534,20.9,46.5
28,6/27/2022,05:20:20,534,20.9,46.5
29,6/27/2022,05:20:25,534,20.9,46.5
30,6/27/2022,05:20:30,535,20.9,46.5
31,6/27/2022,05:20:35,534,20.9,46.6
32,6/27/2022,05:20:40,533,20.8,46.6
33,6/27/2022,05:20:45,533,20.8,46.6
34,6/27/2022,05:20:50,532,20.9,46.6
35,6/27/2022,05:20:55,532,20.9,46.6
36,6/27/2022,05:21:00,532,20.9,46.6
37,6/27/2022,05:21:05,532,20.9,46.6
38,6/27/2022,05:21:10,533,20.9,46.6
39,6/27/2022,05:21:15,533,20.9,46.6
40,6/27/2022,05:21:20,532,20.9,46.7
41,6/27/2022,05:21:25,533,20.9,46.7
42,6/27/2022,05:21:30,532,20.9,46.7
43,6/27/2022,05:21:35,530,20.9,46.7
44,6/27/2022,05:21:40,528,20.9,46.7
45,6/27/2022,05:21:45,525,20.9,46.7
46,6/27/2022,05:21:50,524,20.9,46.7
47,6/27/2022,05:21:55,519,20.9,46.7
48,6/27/2022,05:22:00,510,20.9,46.7
49,6/27/2022,05:22:05,510,21.0,46.7
50,6/27/2022,05:22:10,510,21.0,46.7
51,6/27/2022,05:22:15,510,21.0,46.8
52,6/27/2022,05:22:20,511,21.0,46.8
53,6/27/2022,05:22:25,512,21.0,46.8
54,6/27/2022,05:22:30,512,21.0,46.8
