Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,3/17/2022,04:17:00,371,21.3,37.9
2,3/17/2022,04:17:05,371,21.4,37.9
3,3/17/2022,04:17:10,370,21.4,37.9
4,3/17/2022,04:17:15,369,21.4,37.8
5,3/17/2022,04:17:20,368,21.5,37.8
6,3/17/2022,04:17:25,367,21.5,37.8
7,3/17/2022,04:17:30,366,21.5,37.7
8,3/17/2022,04:17:35,366,21.5,37.7
9,3/17/2022,04:17:40,365,21.6,37.7
10,3/17/2022,04:17:45,365,21.6,37.6
11,3/17/2022,04:17:50,366,21.6,37.6
12,3/17/2022,04:17:55,366,21.7,37.6
13,3/17/2022,04:18:00,366,21.7,37.5
14,3/17/2022,04:18:05,366,21.7,37.5
15,3/17/2022,04:18:10,367,21.8,37.4
16,3/17/2022,04:18:15,391,21.8,37.4
17,3/17/2022,04:18:20,388,21.8,37.3
18,3/17/2022,04:18:25,387,21.9,37.3
19,3/17/2022,04:18:30,386,21.9,37.3
20,3/17/2022,04:18:35,384,21.9,37.2
21,3/17/2022,04:18:40,384,21.9,37.2
22,3/17/2022,04:18:45,371,22.0,37.1
23,3/17/2022,04:18:50,371,22.0,37.1
24,3/17/2022,04:18:55,373,22.1,37.0
25,3/17/2022,04:19:00,372,22.1,37.0
26,3/17/2022,04:19:05,373,22.1,36.9
27,3/17/2022,04:19:10,374,22.1,36.8
28,3/17/2022,04:19:15,374,22.2,36.8
29,3/17/2022,04:19:20,374,22.2,36.7
30,3/17/2022,04:19:25,372,22.2,36.7
31,3/17/2022,04:19:30,371,22.2,36.6
32,3/17/2022,04:19:35,370,22.3,36.6
33,3/17/2022,04:19:40,369,22.3,36.5
34,3/17/2022,04:19:45,368,22.3,36.5
35,3/17/2022,04:19:50,367,22.3,36.4
36,3/17/2022,04:19:55,365,22.4,36.4
37,3/17/2022,04:20:00,364,22.4,36.3
38,3/17/2022,04:20:05,363,22.4,36.3
39,3/17/2022,04:20:10,363,22.4,36.2
40,3/17/2022,04:20:15,362,22.4,36.2
41,3/17/2022,04:20:20,362,22.5,36.2
42,3/17/2022,04:20:25,362,22.5,36.1
43,3/17/2022,04:20:30,362,22.5,36.1
44,3/17/2022,04:20:35,362,22.5,36.0
45,3/17/2022,04:20:40,362,22.5,36.0
46,3/17/2022,04:20:45,362,22.5,36.0
47,3/17/2022,04:20:50,362,22.5,35.9
48,3/17/2022,04:20:55,364,22.5,35.9
49,3/17/2022,04:21:00,364,22.5,35.9
50,3/17/2022,04:21:05,364,22.5,35.8
51,3/17/2022,04:21:10,364,22.6,35.8
52,3/17/2022,04:21:15,364,22.6,35.8
53,3/17/2022,04:21:20,364,22.6,35.7
54,3/17/2022,04:21:25,364,22.6,35.7
55,3/17/2022,04:21:30,364,22.6,35.7
56,3/17/2022,04:21:35,364,22.6,35.7
57,3/17/2022,04:21:40,365,22.6,35.6
58,3/17/2022,04:21:45,367,22.6,35.6
59,3/17/2022,04:21:50,368,22.6,35.6
60,3/17/2022,04:21:55,368,22.6,35.6
61,3/17/2022,04:22:00,369,22.6,35.6
62,3/17/2022,04:22:05,368,22.6,35.6
63,3/17/2022,04:22:10,367,22.6,35.5
64,3/17/2022,04:22:15,367,22.6,35.5
65,3/17/2022,04:22:20,366,22.6,35.5
66,3/17/2022,04:22:25,366,22.6,35.5
67,3/17/2022,04:22:30,365,22.6,35.5
68,3/17/2022,04:22:35,366,22.6,35.5
69,3/17/2022,04:22:40,367,22.6,35.5
70,3/17/2022,04:22:45,368,22.6,35.5
71,3/17/2022,04:22:50,365,22.6,35.5
72,3/17/2022,04:22:55,364,22.6,35.5
73,3/17/2022,04:23:00,362,22.6,35.5
74,3/17/2022,04:23:05,362,22.5,35.5
75,3/17/2022,04:23:10,362,22.5,35.5
76,3/17/2022,04:23:15,363,22.5,35.5
77,3/17/2022,04:23:20,364,22.5,35.5
78,3/17/2022,04:23:25,364,22.5,35.5
79,3/17/2022,04:23:30,364,22.5,35.5
80,3/17/2022,04:23:35,365,22.5,35.5
81,3/17/2022,04:23:40,366,22.5,35.5
82,3/17/2022,04:23:45,366,22.5,35.5
83,3/17/2022,04:23:50,367,22.5,35.5
84,3/17/2022,04:23:55,368,22.4,35.5
85,3/17/2022,04:24:00,368,22.4,35.5
86,3/17/2022,04:24:05,369,22.4,35.5
87,3/17/2022,04:24:10,369,22.4,35.5
88,3/17/2022,04:24:15,369,22.4,35.5
89,3/17/2022,04:24:20,370,22.4,35.5
90,3/17/2022,04:24:25,369,22.4,35.5
91,3/17/2022,04:24:30,369,22.3,35.5
92,3/17/2022,04:24:35,371,22.3,35.5
93,3/17/2022,04:24:40,372,22.3,35.6
94,3/17/2022,04:24:45,373,22.3,35.6
95,3/17/2022,04:24:50,373,22.3,35.6
96,3/17/2022,04:24:55,373,22.3,35.6
97,3/17/2022,04:25:00,372,22.3,35.6
98,3/17/2022,04:25:05,372,22.2,35.6
99,3/17/2022,04:25:10,371,22.2,35.6
100,3/17/2022,04:25:15,369,22.2,35.7
101,3/17/2022,04:25:20,367,22.2,35.7
102,3/17/2022,04:25:25,364,22.2,35.7
103,3/17/2022,04:25:30,362,22.2,35.7
104,3/17/2022,04:25:35,360,22.2,35.7
105,3/17/2022,04:25:40,358,22.1,35.8
106,3/17/2022,04:25:45,357,22.1,35.8
107,3/17/2022,04:25:50,356,22.1,35.8
108,3/17/2022,04:25:55,360,22.1,35.8
109,3/17/2022,04:26:00,360,22.1,35.8
110,3/17/2022,04:26:05,360,22.0,35.9
111,3/17/2022,04:26:10,363,22.0,35.9
112,3/17/2022,04:26:15,364,22.0,35.9
113,3/17/2022,04:26:20,365,22.0,35.9
114,3/17/2022,04:26:25,365,22.0,35.9
115,3/17/2022,04:26:30,365,21.9,35.9
116,3/17/2022,04:26:35,366,21.9,36.0
117,3/17/2022,04:26:40,367,21.9,36.0
118,3/17/2022,04:26:45,369,21.9,36.0
119,3/17/2022,04:26:50,371,21.9,36.1
120,3/17/2022,04:26:55,372,21.9,36.1
121,3/17/2022,04:27:00,373,21.8,36.1
122,3/17/2022,04:27:05,372,21.8,36.1
123,3/17/2022,04:27:10,371,21.8,36.1
124,3/17/2022,04:27:15,370,21.8,36.2
125,3/17/2022,04:27:20,370,21.8,36.2
126,3/17/2022,04:27:25,369,21.8,36.2
127,3/17/2022,04:27:30,369,21.7,36.2
128,3/17/2022,04:27:35,368,21.7,36.3
129,3/17/2022,04:27:40,369,21.7,36.3
130,3/17/2022,04:27:45,369,21.7,36.3
131,3/17/2022,04:27:50,369,21.6,36.3
132,3/17/2022,04:27:55,369,21.6,36.4
133,3/17/2022,04:28:00,369,21.6,36.4
134,3/17/2022,04:28:05,369,21.6,36.4
135,3/17/2022,04:28:10,369,21.6,36.4
136,3/17/2022,04:28:15,369,21.6,36.4
137,3/17/2022,04:28:20,369,21.5,36.5
138,3/17/2022,04:28:25,367,21.5,36.5
139,3/17/2022,04:28:30,366,21.5,36.5
140,3/17/2022,04:28:35,365,21.5,36.6
141,3/17/2022,04:28:40,366,21.5,36.6
142,3/17/2022,04:28:45,367,21.4,36.6
143,3/17/2022,04:28:50,368,21.4,36.6
144,3/17/2022,04:28:55,368,21.4,36.7
145,3/17/2022,04:29:00,369,21.4,36.7
146,3/17/2022,04:29:05,370,21.4,36.7
147,3/17/2022,04:29:10,370,21.3,36.7
148,3/17/2022,04:29:15,370,21.3,36.8
149,3/17/2022,04:29:20,370,21.3,36.8
150,3/17/2022,04:29:25,370,21.3,36.8
151,3/17/2022,04:29:30,371,21.3,36.8
152,3/17/2022,04:29:35,372,21.3,36.9
153,3/17/2022,04:29:40,372,21.2,36.9
154,3/17/2022,04:29:45,373,21.2,36.9
155,3/17/2022,04:29:50,373,21.2,36.9
156,3/17/2022,04:29:55,375,21.2,37.0
157,3/17/2022,04:30:00,377,21.2,37.0
158,3/17/2022,04:30:05,378,21.1,37.0
159,3/17/2022,04:30:10,378,21.1,37.1
160,3/17/2022,04:30:15,378,21.1,37.1
161,3/17/2022,04:30:20,379,21.1,37.1
162,3/17/2022,04:30:25,379,21.1,37.1
163,3/17/2022,04:30:30,380,21.0,37.2
164,3/17/2022,04:30:35,379,21.0,37.2
165,3/17/2022,04:30:40,379,21.0,37.2
166,3/17/2022,04:30:45,379,21.0,37.2
167,3/17/2022,04:30:50,378,21.0,37.3
168,3/17/2022,04:30:55,378,21.0,37.3
169,3/17/2022,04:31:00,379,20.9,37.3
170,3/17/2022,04:31:05,378,20.9,37.3
171,3/17/2022,04:31:10,378,20.9,37.4
172,3/17/2022,04:31:15,377,20.9,37.4
173,3/17/2022,04:31:20,375,20.9,37.4
174,3/17/2022,04:31:25,374,20.9,37.5
175,3/17/2022,04:31:30,372,20.9,37.5
176,3/17/2022,04:31:35,371,20.8,37.5
177,3/17/2022,04:31:40,369,20.8,37.6
178,3/17/2022,04:31:45,368,20.8,37.6
179,3/17/2022,04:31:50,368,20.8,37.6
180,3/17/2022,04:31:55,370,20.8,37.6
181,3/17/2022,04:32:00,372,20.8,37.7
182,3/17/2022,04:32:05,395,20.7,37.7
183,3/17/2022,04:32:10,390,20.7,37.7
184,3/17/2022,04:32:15,388,20.7,37.8
