Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,5/27/2022,09:03:20,642,21.4,34.1
2,5/27/2022,09:03:25,643,21.4,34.1
3,5/27/2022,09:03:30,644,21.4,34.1
4,5/27/2022,09:03:35,645,21.4,34.1
5,5/27/2022,09:03:40,646,21.4,34.1
6,5/27/2022,09:03:45,647,21.4,34.1
7,5/27/2022,09:03:50,647,21.4,34.1
8,5/27/2022,09:03:55,648,21.4,34.1
9,5/27/2022,09:04:00,649,21.4,34.2
10,5/27/2022,09:04:05,655,21.4,34.2
11,5/27/2022,09:04:10,651,21.4,34.2
12,5/27/2022,09:04:15,651,21.4,34.2
13,5/27/2022,09:04:20,651,21.4,34.2
14,5/27/2022,09:04:25,651,21.4,34.2
15,5/27/2022,09:04:30,651,21.4,34.2
16,5/27/2022,09:04:35,651,21.4,34.2
17,5/27/2022,09:04:40,651,21.4,34.2
18,5/27/2022,09:04:45,651,21.3,34.2
19,5/27/2022,09:04:50,650,21.3,34.2
20,5/27/2022,09:04:55,650,21.3,34.2
21,5/27/2022,09:05:00,650,21.3,34.2
22,5/27/2022,09:05:05,651,21.3,34.2
23,5/27/2022,09:05:10,651,21.3,34.2
24,5/27/2022,09:05:15,650,21.3,34.2
25,5/27/2022,09:05:20,650,21.3,34.2
26,5/27/2022,09:05:25,650,21.3,34.2
27,5/27/2022,09:05:30,649,21.3,34.2
28,5/27/2022,09:05:35,648,21.3,34.2
29,5/27/2022,09:05:40,647,21.3,34.2
30,5/27/2022,09:05:45,646,21.3,34.2
31,5/27/2022,09:05:50,646,21.3,34.3
32,5/27/2022,09:05:55,649,21.3,34.3
33,5/27/2022,09:06:00,651,21.3,34.3
34,5/27/2022,09:06:05,653,21.3,34.3
35,5/27/2022,09:06:10,655,21.3,34.3
36,5/27/2022,09:06:15,656,21.3,34.3
37,5/27/2022,09:06:20,658,21.3,34.3
38,5/27/2022,09:06:25,659,21.3,34.3
39,5/27/2022,09:06:30,661,21.3,34.3
40,5/27/2022,09:06:35,661,21.3,34.3
41,5/27/2022,09:06:40,661,21.3,34.3
42,5/27/2022,09:06:45,661,21.3,34.3
43,5/27/2022,09:06:50,661,21.3,34.3
44,5/27/2022,09:06:55,660,21.3,34.3
45,5/27/2022,09:07:00,659,21.3,34.3
46,5/27/2022,09:07:05,658,21.3,34.3
47,5/27/2022,09:07:10,657,21.2,34.3
48,5/27/2022,09:07:15,656,21.2,34.3
49,5/27/2022,09:07:20,657,21.2,34.3
50,5/27/2022,09:07:25,660,21.2,34.3
51,5/27/2022,09:07:30,664,21.2,34.3
52,5/27/2022,09:07:35,666,21.2,34.3
53,5/27/2022,09:07:40,668,21.2,34.3
54,5/27/2022,09:07:45,670,21.2,34.3
55,5/27/2022,09:07:50,671,21.2,34.4
56,5/27/2022,09:07:55,671,21.2,34.3
57,5/27/2022,09:08:00,671,21.2,34.4
58,5/27/2022,09:08:05,670,21.2,34.4
59,5/27/2022,09:08:10,670,21.2,34.4
60,5/27/2022,09:08:15,671,21.2,34.4
61,5/27/2022,09:08:20,670,21.2,34.4
62,5/27/2022,09:08:25,669,21.2,34.4
63,5/27/2022,09:08:30,669,21.2,34.4
64,5/27/2022,09:08:35,670,21.2,34.4
65,5/27/2022,09:08:40,670,21.2,34.4
66,5/27/2022,09:08:45,669,21.2,34.4
67,5/27/2022,09:08:50,668,21.2,34.4
68,5/27/2022,09:08:55,666,21.2,34.4
69,5/27/2022,09:09:00,666,21.2,34.4
70,5/27/2022,09:09:05,664,21.2,34.4
71,5/27/2022,09:09:10,663,21.2,34.4
72,5/27/2022,09:09:15,662,21.2,34.4
73,5/27/2022,09:09:20,661,21.2,34.4
74,5/27/2022,09:09:25,661,21.2,34.4
75,5/27/2022,09:09:30,660,21.2,34.4
76,5/27/2022,09:09:35,660,21.2,34.4
77,5/27/2022,09:09:40,660,21.1,34.4
78,5/27/2022,09:09:45,660,21.1,34.4
79,5/27/2022,09:09:50,660,21.1,34.4
80,5/27/2022,09:09:55,659,21.1,34.5
81,5/27/2022,09:10:00,659,21.1,34.5
82,5/27/2022,09:10:05,658,21.1,34.5
83,5/27/2022,09:10:10,658,21.1,34.5
84,5/27/2022,09:10:15,657,21.1,34.5
85,5/27/2022,09:10:20,657,21.1,34.5
86,5/27/2022,09:10:25,658,21.1,34.5
87,5/27/2022,09:10:30,657,21.1,34.5
88,5/27/2022,09:10:35,657,21.1,34.5
89,5/27/2022,09:10:40,658,21.1,34.5
90,5/27/2022,09:10:45,658,21.1,34.5
91,5/27/2022,09:10:50,658,21.1,34.5
92,5/27/2022,09:10:55,658,21.1,34.5
93,5/27/2022,09:11:00,659,21.1,34.5
94,5/27/2022,09:11:05,659,21.1,34.5
95,5/27/2022,09:11:10,660,21.1,34.5
96,5/27/2022,09:11:15,660,21.1,34.5
97,5/27/2022,09:11:20,658,21.1,34.5
98,5/27/2022,09:11:25,656,21.1,34.5
99,5/27/2022,09:11:30,657,21.1,34.5
100,5/27/2022,09:11:35,657,21.1,34.5
101,5/27/2022,09:11:40,658,21.1,34.5
102,5/27/2022,09:11:45,657,21.1,34.5
103,5/27/2022,09:11:50,657,21.1,34.5
104,5/27/2022,09:11:55,658,21.1,34.5
105,5/27/2022,09:12:00,657,21.1,34.5
106,5/27/2022,09:12:05,657,21.1,34.5
107,5/27/2022,09:12:10,656,21.1,34.6
108,5/27/2022,09:12:15,656,21.1,34.6
109,5/27/2022,09:12:20,655,21.0,34.6
110,5/27/2022,09:12:25,656,21.0,34.6
111,5/27/2022,09:12:30,656,21.0,34.6
112,5/27/2022,09:12:35,657,21.0,34.6
113,5/27/2022,09:12:40,659,21.0,34.6
114,5/27/2022,09:12:45,661,21.0,34.6
115,5/27/2022,09:12:50,692,21.0,34.6
116,5/27/2022,09:12:55,685,21.0,34.6
117,5/27/2022,09:13:00,679,21.0,34.6
118,5/27/2022,09:13:05,675,21.0,34.6
119,5/27/2022,09:13:10,672,21.0,34.6
120,5/27/2022,09:13:15,669,21.0,34.6
121,5/27/2022,09:13:20,666,21.0,34.6
122,5/27/2022,09:13:25,664,21.0,34.6
123,5/27/2022,09:13:30,662,21.0,34.6
124,5/27/2022,09:13:35,661,21.0,34.6
125,5/27/2022,09:13:40,661,21.0,34.6
126,5/27/2022,09:13:45,660,21.0,34.6
127,5/27/2022,09:13:50,662,21.0,34.6
128,5/27/2022,09:13:55,663,21.0,34.6
129,5/27/2022,09:14:00,664,21.0,34.6
130,5/27/2022,09:14:05,665,21.0,34.6
131,5/27/2022,09:14:10,664,21.0,34.7
132,5/27/2022,09:14:15,663,21.0,34.7
133,5/27/2022,09:14:20,663,21.0,34.7
134,5/27/2022,09:14:25,662,21.0,34.7
135,5/27/2022,09:14:30,660,21.0,34.7
136,5/27/2022,09:14:35,659,21.0,34.7
137,5/27/2022,09:14:40,659,21.0,34.7
138,5/27/2022,09:14:45,659,21.0,34.7
139,5/27/2022,09:14:50,659,21.0,34.7
140,5/27/2022,09:14:55,659,21.0,34.7
141,5/27/2022,09:15:00,658,21.0,34.7
142,5/27/2022,09:15:05,658,21.0,34.7
143,5/27/2022,09:15:10,655,20.9,34.7
144,5/27/2022,09:15:15,653,21.0,34.7
145,5/27/2022,09:15:20,650,21.0,34.7
146,5/27/2022,09:15:25,648,21.0,34.7
147,5/27/2022,09:15:30,647,21.0,34.7
148,5/27/2022,09:15:35,646,21.0,34.7
149,5/27/2022,09:15:40,647,21.0,34.8
150,5/27/2022,09:15:45,648,21.0,34.8
151,5/27/2022,09:15:50,649,21.0,34.8
152,5/27/2022,09:15:55,650,20.9,34.8
153,5/27/2022,09:16:00,651,21.0,34.8
154,5/27/2022,09:16:05,652,21.0,34.8
155,5/27/2022,09:16:10,653,21.0,34.8
156,5/27/2022,09:16:15,654,21.0,34.8
157,5/27/2022,09:16:20,653,21.0,34.8
158,5/27/2022,09:16:25,653,21.0,34.8
159,5/27/2022,09:16:30,652,21.0,34.8
160,5/27/2022,09:16:35,651,21.0,34.8
161,5/27/2022,09:16:40,650,21.0,34.8
162,5/27/2022,09:16:45,650,21.0,34.8
163,5/27/2022,09:16:50,650,21.0,34.8
164,5/27/2022,09:16:55,649,21.0,34.9
165,5/27/2022,09:17:00,650,21.0,34.9
166,5/27/2022,09:17:05,650,21.0,34.9
167,5/27/2022,09:17:10,649,21.0,34.9
168,5/27/2022,09:17:15,650,21.0,34.9
169,5/27/2022,09:17:20,650,21.0,34.9
170,5/27/2022,09:17:25,650,21.0,34.9
171,5/27/2022,09:17:30,650,21.0,34.9
172,5/27/2022,09:17:35,650,21.0,34.9
173,5/27/2022,09:17:40,650,21.0,34.9
174,5/27/2022,09:17:45,650,21.0,34.9
175,5/27/2022,09:17:50,651,21.0,34.9
176,5/27/2022,09:17:55,650,21.1,34.9
177,5/27/2022,09:18:00,651,21.1,34.9
178,5/27/2022,09:18:05,652,21.1,34.9
179,5/27/2022,09:18:10,652,21.1,34.9
180,5/27/2022,09:18:15,652,21.1,34.9
181,5/27/2022,09:18:20,653,21.1,34.9
182,5/27/2022,09:18:25,653,21.1,34.9
183,5/27/2022,09:18:30,654,21.1,34.9
184,5/27/2022,09:18:35,654,21.1,34.9
185,5/27/2022,09:18:40,652,21.2,34.9
186,5/27/2022,09:18:45,651,21.2,34.9
187,5/27/2022,09:18:50,650,21.2,34.9
188,5/27/2022,09:18:55,650,21.2,34.9
189,5/27/2022,09:19:00,652,21.2,34.9
190,5/27/2022,09:19:05,654,21.2,34.9
191,5/27/2022,09:19:10,654,21.3,34.9
192,5/27/2022,09:19:15,654,21.3,34.8
193,5/27/2022,09:19:20,653,21.3,34.8
194,5/27/2022,09:19:25,651,21.3,34.8
195,5/27/2022,09:19:30,618,21.3,34.8
196,5/27/2022,09:19:35,617,21.3,34.8
197,5/27/2022,09:19:40,619,21.3,34.8
198,5/27/2022,09:19:45,619,21.3,34.8
199,5/27/2022,09:19:50,621,21.4,34.8
200,5/27/2022,09:19:55,623,21.4,34.8
201,5/27/2022,09:20:00,637,21.4,34.8
202,5/27/2022,09:20:05,632,21.4,34.7
203,5/27/2022,09:20:10,633,21.4,34.7
204,5/27/2022,09:20:15,630,21.5,34.7
205,5/27/2022,09:20:20,629,21.5,34.7
206,5/27/2022,09:20:25,628,21.5,34.7
207,5/27/2022,09:20:30,626,21.5,34.7
208,5/27/2022,09:20:35,624,21.5,34.7
209,5/27/2022,09:20:40,623,21.6,34.6
210,5/27/2022,09:20:45,622,21.6,34.6
211,5/27/2022,09:20:50,622,21.6,34.6
212,5/27/2022,09:20:55,621,21.6,34.6
213,5/27/2022,09:21:00,620,21.6,34.6
214,5/27/2022,09:21:05,623,21.6,34.5
215,5/27/2022,09:21:10,622,21.7,34.5
216,5/27/2022,09:21:15,620,21.7,34.5
217,5/27/2022,09:21:20,620,21.7,34.5
218,5/27/2022,09:21:25,621,21.7,34.5
219,5/27/2022,09:21:30,621,21.7,34.4
220,5/27/2022,09:21:35,622,21.8,34.4
221,5/27/2022,09:21:40,622,21.8,34.4
222,5/27/2022,09:21:45,622,21.8,34.4
223,5/27/2022,09:21:50,620,21.8,34.3
224,5/27/2022,09:21:55,618,21.8,34.3
225,5/27/2022,09:22:00,615,21.9,34.3
