Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,9/23/2022,18:05:15,1375,23.6,69.9
2,9/23/2022,18:05:20,1370,23.6,69.9
3,9/23/2022,18:05:25,1370,23.6,69.9
4,9/23/2022,18:05:30,1370,23.6,69.9
5,9/23/2022,18:05:35,1370,23.6,69.9
6,9/23/2022,18:05:40,1370,23.6,69.9
7,9/23/2022,18:05:45,1375,23.6,69.9
8,9/23/2022,18:05:50,1375,23.6,69.9
9,9/23/2022,18:05:55,1375,23.6,69.9
10,9/23/2022,18:06:00,1380,23.6,69.9
11,9/23/2022,18:06:05,1380,23.6,69.9
12,9/23/2022,18:06:10,1380,23.6,69.9
13,9/23/2022,18:06:15,1375,23.6,69.9
14,9/23/2022,18:06:20,1375,23.6,69.9
15,9/23/2022,18:06:25,1380,23.6,69.9
16,9/23/2022,18:06:30,1380,23.6,69.9
17,9/23/2022,18:06:35,1380,23.6,69.9
18,9/23/2022,18:06:40,1380,23.6,69.9
19,9/23/2022,18:06:45,1380,23.6,69.9
20,9/23/2022,18:06:50,1380,23.6,69.9
21,9/23/2022,18:06:55,1380,23.6,69.9
22,9/23/2022,18:07:00,1380,23.6,69.9
23,9/23/2022,18:07:05,1380,23.6,69.9
24,9/23/2022,18:07:10,1375,23.6,69.9
25,9/23/2022,18:07:15,1375,23.6,69.9
26,9/23/2022,18:07:20,1380,23.6,69.9
27,9/23/2022,18:07:25,1380,23.6,69.9
28,9/23/2022,18:07:30,1380,23.6,69.9
29,9/23/2022,18:07:35,1380,23.6,69.9
30,9/23/2022,18:07:40,1380,23.6,69.9
31,9/23/2022,18:07:45,1380,23.6,69.9
32,9/23/2022,18:07:50,1385,23.6,69.9
33,9/23/2022,18:07:55,1395,23.6,69.9
34,9/23/2022,18:08:00,1390,23.6,69.9
35,9/23/2022,18:08:05,1395,23.6,69.9
36,9/23/2022,18:08:10,1395,23.6,69.9
37,9/23/2022,18:08:15,1395,23.6,69.9
38,9/23/2022,18:08:20,1395,23.6,69.9
39,9/23/2022,18:08:25,1400,23.6,69.9
40,9/23/2022,18:08:30,1400,23.6,69.9
41,9/23/2022,18:08:35,1400,23.6,69.9
42,9/23/2022,18:08:40,1395,23.6,69.9
43,9/23/2022,18:08:45,1395,23.6,69.9
44,9/23/2022,18:08:50,1395,23.6,69.9
45,9/23/2022,18:08:55,1390,23.6,69.9
46,9/23/2022,18:09:00,1375,23.6,69.9
47,9/23/2022,18:09:05,1375,23.6,69.9
48,9/23/2022,18:09:10,1375,23.6,69.9
49,9/23/2022,18:09:15,1380,23.6,69.9
50,9/23/2022,18:09:20,1380,23.6,69.9
51,9/23/2022,18:09:25,1385,23.6,69.9
52,9/23/2022,18:09:30,1385,23.6,69.9
53,9/23/2022,18:09:35,1390,23.6,69.9
54,9/23/2022,18:09:40,1390,23.6,69.9
55,9/23/2022,18:09:45,1395,23.6,69.9
56,9/23/2022,18:09:50,1390,23.6,69.9
57,9/23/2022,18:09:55,1390,23.6,69.9
58,9/23/2022,18:10:00,1390,23.6,69.9
59,9/23/2022,18:10:05,1370,23.6,69.9
60,9/23/2022,18:10:10,1370,23.6,69.9
61,9/23/2022,18:10:15,1370,23.6,69.9
62,9/23/2022,18:10:20,1370,23.6,69.9
63,9/23/2022,18:10:25,1375,23.6,69.9
64,9/23/2022,18:10:30,1375,23.6,69.9
65,9/23/2022,18:10:35,1380,23.6,69.9
66,9/23/2022,18:10:40,1380,23.6,69.9
67,9/23/2022,18:10:45,1385,23.6,69.9
68,9/23/2022,18:10:50,1385,23.6,69.9
69,9/23/2022,18:10:55,1385,23.6,69.9
70,9/23/2022,18:11:00,1385,23.6,69.9
71,9/23/2022,18:11:05,1385,23.6,69.9
