"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2023-12-09 11:20:29";61.77;0
"2023-12-09 11:20:49";60.47;0
"2023-12-09 11:21:09";39.34;0
"2023-12-09 11:21:29";34.13;0
"2023-12-09 11:21:49";32.22;0
"2023-12-09 11:22:09";29.95;0
"2023-12-09 11:22:29";28.21;0
"2023-12-09 11:22:49";27.12;0
"2023-12-09 11:23:09";26.78;0
"2023-12-09 11:23:29";27;0
"2023-12-09 11:23:49";26.21;0
"2023-12-09 11:24:09";25.04;0
"2023-12-09 11:24:29";25;0
"2023-12-09 11:24:49";26.73;0
"2023-12-09 11:25:09";26.12;0
"2023-12-09 11:25:29";25.64;0
"2023-12-09 11:25:49";25.82;0
"2023-12-09 11:26:09";26;0
"2023-12-09 11:26:29";26;0
"2023-12-09 11:26:49";26;0
"2023-12-09 11:27:09";26.04;0
"2023-12-09 11:27:29";25.17;0
"2023-12-09 11:27:49";24.43;0
"2023-12-09 11:28:09";25;0
"2023-12-09 11:28:29";25;0
"2023-12-09 11:28:49";25;0
"2023-12-09 11:29:09";24.61;0
"2023-12-09 11:29:29";23.95;0
"2023-12-09 11:29:49";23.09;0
"2023-12-09 11:30:09";22.70;0
"2023-12-09 11:30:29";22.56;0
"2023-12-09 11:30:49";23;0
