"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2023-12-09 13:37:59";70.37;0
"2023-12-09 13:38:29";76.87;10
"2023-12-09 13:38:59";76.75;9
"2023-12-09 13:39:29";76.75;9
"2023-12-09 13:39:59";77;10
"2023-12-09 13:40:29";77;10
"2023-12-09 13:40:59";77;10
"2023-12-09 13:41:29";77;10
"2023-12-09 13:41:59";77;10
"2023-12-09 13:42:29";76.87;10
"2023-12-09 13:42:59";77;10
"2023-12-09 13:43:29";77;10
"2023-12-09 13:43:59";77;10
"2023-12-09 13:44:29";77;10
"2023-12-09 13:44:59";76.75;9
"2023-12-09 13:45:29";76.87;10
"2023-12-09 13:45:59";77;10
"2023-12-09 13:46:29";77;10
"2023-12-09 13:46:59";77;10
"2023-12-09 13:47:29";77;10
"2023-12-09 13:47:59";77;10
"2023-12-09 13:48:29";77;10
"2023-12-09 13:48:59";77;10
"2023-12-09 13:49:29";77;10
"2023-12-09 13:49:59";77;10
"2023-12-09 13:50:29";76.87;10
"2023-12-09 13:50:59";77;10
"2023-12-09 13:51:29";77;10
"2023-12-09 13:51:59";77;10
"2023-12-09 13:52:29";77;10
"2023-12-09 13:52:59";77;10
"2023-12-09 13:53:29";77;10
"2023-12-09 13:53:59";77;10
"2023-12-09 13:54:29";77;10
"2023-12-09 13354:59";77;10
"2023-12-09 13:55:29";77;10
"2023-12-09 13:55:59";77;10
"2023-12-09 13:56:29";77;10
"2023-12-09 13:56:59";77;10
"2023-12-09 13:57:29";77;10
"2023-12-09 13:57:59";77;10
"2023-12-09 13:58:29";77;10
"2023-12-09 13:58:59";77;10
"2023-12-09 13:59:29";77;10
"2023-12-09 13:59:59";77;10
"2023-12-09 14:00:29";77;10
"2023-12-09 14:00:59";77;10
"2023-12-09 14:01:29";77;10
"2023-12-09 14:01:59";77;10
"2023-12-09 14:02:29";77;10
"2023-12-09 14:02:59";77;10
"2023-12-09 14:03:29";77;10
"2023-12-09 14:03:59";77;10
"2023-12-09 14:04:29";77;10
"2023-12-09 14:04:59";77;10
"2023-12-09 14:05:29";77;10
"2023-12-09 14:05:59";77;10
"2023-12-09 14:06:29";77;10
"2023-12-09 14:06:59";77;10
"2023-12-09 14:07:29";77;10
