"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2023-12-09 12:44:07";6.90;0
"2023-12-09 12:44:37";5.96;0
"2023-12-09 12:45:07";5.69;0
"2023-12-09 12:45:37";5.65;0
"2023-12-09 12:46:07";6;0
"2023-12-09 12:46:37";6;0
"2023-12-09 12:47:07";6;0
"2023-12-09 12:47:37";6;0
"2023-12-09 12:48:07";6;0
"2023-12-09 12:48:37";6;0
"2023-12-09 12:49:07";6;0
"2023-12-09 12:49:37";6;0
"2023-12-09 12:50:07";6;0
"2023-12-09 12:50:37";6;0
"2023-12-09 12:51:07";6;0
"2023-12-09 12:51:37";6;0
"2023-12-09 12:52:07";6;0
"2023-12-09 12:52:37";6;0
"2023-12-09 12:53:07";6;0
"2023-12-09 12:53:37";6;0
"2023-12-09 12:54:07";6;0
"2023-12-09 12:54:37";6;0
"2023-12-09 12:55:07";6;0
"2023-12-09 12:55:37";6;0
"2023-12-09 12:56:07";6;0
"2023-12-09 12:56:37";6;0
"2023-12-09 12:57:07";6;0
"2023-12-09 12:57:37";6;0
"2023-12-09 12:58:07";6;0
"2023-12-09 12:58:37";6;0
"2023-12-09 12:59:07";6;0
"2023-12-09 12:59:37";6;0
"2023-12-09 13:00:07";6;0
"2023-12-09 13:00:37";6;0
"2023-12-09 13:01:07";6;0
"2023-12-09 13:01:37";6;0
"2023-12-09 13:02:07";6;0
"2023-12-09 13:02:37";6;0
"2023-12-09 13:03:07";6;0
"2023-12-09 13:03:37";6;0
"2023-12-09 13:04:08";6;0
"2023-12-09 13:04:38";6;0
"2023-12-09 13:05:08";6;0
"2023-12-09 13:05:38";6;0
"2023-12-09 13:06:08";6;0
"2023-12-09 13:06:38";6;0
"2023-12-09 13:07:08";6;0
"2023-12-09 13:07:38";6;0
"2023-12-09 13:08:08";6;0
"2023-12-09 13:08:38";6;0
"2023-12-09 13:09:08";6;0
"2023-12-09 13:09:38";6;0
"2023-12-09 13:10:08";6;0
"2023-12-09 13:10:38";6;0
"2023-12-09 13:11:08";6;0
"2023-12-09 13:11:38";6;0
"2023-12-09 13:12:08";6;0
"2023-12-09 13:12:38";6;0
"2023-12-09 13:13:08";6;0
"2023-12-09 13:13:38";6;0
