"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2024-02-17 14:50:32";184.75;526
"2024-02-17 14:50:33";213.75;1277
"2024-02-17 14:50:34";241.63;2765
"2024-02-17 14:50:35";268.25;5468
"2024-02-17 14:50:36";293.50;10038
"2024-02-17 14:50:37";317.50;17381
"2024-02-17 14:50:38";340.25;28646
"2024-02-17 14:50:39";361.75;45238
"2024-02-17 14:50:40";382;68797
"2024-02-17 14:50:41";382;68797
"2024-02-17 14:50:42";373.75;58064
"2024-02-17 14:50:43";365.50;48927
"2024-02-17 14:50:44";357.25;41157
"2024-02-17 14:50:45";349.25;34741
"2024-02-17 14:50:46";341.25;29270
"2024-02-17 14:50:47";333.50;24745
"2024-02-17 14:50:48";325.88;20935
"2024-02-17 14:50:49";318.50;17774
"2024-02-17 14:50:50";311.25;15101
"2024-02-17 14:50:51";304.25;12876
"2024-02-17 14:50:52";297.50;11019
"2024-02-17 14:50:53";290.88;9438
"2024-02-17 14:50:54";284.63;8139
"2024-02-17 14:50:55";278.50;7026
"2024-02-17 14:50:56";272.63;6090
"2024-02-17 14:50:57";266.88;5285
"2024-02-17 14:50:58";261.38;4606
"2024-02-17 14:50:59";256.13;4032
"2024-02-17 14:51:00";251.13;3546
"2024-02-17 14:51:02";246.25;3123
"2024-02-17 14:51:03";241.50;2755
"2024-02-17 14:51:04";237.13;2451
"2024-02-17 14:51:05";232.88;2185
"2024-02-17 14:51:06";228.75;1951
"2024-02-17 14:51:07";224.88;1752
"2024-02-17 14:51:08";221.13;1577
"2024-02-17 14:51:09";217.50;1422
"2024-02-17 14:51:10";214;1286
"2024-02-17 14:51:11";210.75;1170
"2024-02-17 14:51:12";207.50;1063
"2024-02-17 14:51:13";204.38;969
"2024-02-17 14:51:14";201.50;888
"2024-02-17 14:51:15";198.63;814
"2024-02-17 14:51:16";195.88;748
"2024-02-17 14:51:17";193.25;689
"2024-02-17 14:51:18";190.88;640
"2024-02-17 14:51:19";188.50;593
"2024-02-17 14:51:20";186.25;552
"2024-02-17 14:51:21";184.13;515
"2024-02-17 14:51:22";182;481
"2024-02-17 14:51:23";180;450
"2024-02-17 14:51:24";178;421
"2024-02-17 14:51:25";176;394
"2024-02-17 14:51:26";174.13;370
"2024-02-17 14:51:27";172.25;347
"2024-02-17 14:51:28";170.50;326
"2024-02-17 14:51:29";168.75;307
"2024-02-17 14:51:30";167;289
"2024-02-17 14:51:31";165.38;273
"2024-02-17 14:51:32";163.88;259
"2024-02-17 14:51:33";162.50;246
"2024-02-17 14:51:34";161;233
"2024-02-17 14:51:35";159.63;222
"2024-02-17 14:51:36";158.13;210
"2024-02-17 14:51:37";156.75;200
"2024-02-17 14:51:38";155.50;191
"2024-02-17 14:51:39";154.25;182
"2024-02-17 14:51:40";153;174
"2024-02-17 14:51:41";151.75;166
