"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2024-02-19 11:33:54";41;0
"2024-02-19 11:33:55";41;0
"2024-02-19 11:33:56";41;0
"2024-02-19 11:33:57";41;0
"2024-02-19 11:33:58";41;0
"2024-02-19 11:33:59";41;0
"2024-02-19 11:34:00";41;0
"2024-02-19 11:34:01";41;0
"2024-02-19 11:34:02";41;0
"2024-02-19 11:34:03";41;0
"2024-02-19 11:34:04";41;0
"2024-02-19 11:34:05";41;0
"2024-02-19 11:34:06";41;0
"2024-02-19 11:34:07";41;0
"2024-02-19 11:34:08";41;0
"2024-02-19 11:34:09";41;0
"2024-02-19 11:34:10";41;0
"2024-02-19 11:34:11";41;0
"2024-02-19 11:34:12";41;0
"2024-02-19 11:34:13";41;0
"2024-02-19 11:34:14";41;0
"2024-02-19 11:34:15";41;0
"2024-02-19 11:34:16";41;0
"2024-02-19 11:34:17";41;0
"2024-02-19 11:34:18";41;0
"2024-02-19 11:34:19";41;0
"2024-02-19 11:34:20";41;0
"2024-02-19 11:34:21";41;0
"2024-02-19 11:34:22";41;0
"2024-02-19 11:34:23";41;0
"2024-02-19 11:34:24";41;0
"2024-02-19 11:34:25";41;0
"2024-02-19 11:34:26";41.13;0
"2024-02-19 11:34:27";41.13;0
"2024-02-19 11:34:28";41.25;0
"2024-02-19 11:34:29";41.38;0
"2024-02-19 11:34:30";41.38;0
"2024-02-19 11:34:31";41.25;0
"2024-02-19 11:34:32";41.13;0
"2024-02-19 11:34:33";41.25;0
"2024-02-19 11:34:34";41.25;0
"2024-02-19 11:34:35";41.25;0
"2024-02-19 11:34:36";41.13;0
"2024-02-19 11:34:37";41.25;0
"2024-02-19 11:34:38";41.13;0
"2024-02-19 11:34:39";41;0
"2024-02-19 11:34:40";40.88;0
"2024-02-19 11:34:41";41;0
"2024-02-19 11:34:42";41;0
"2024-02-19 11:34:43";41;0
"2024-02-19 11:34:44";41;0
"2024-02-19 11:34:45";41;0
"2024-02-19 11:34:46";41;0
"2024-02-19 11:34:47";41;0
"2024-02-19 11:34:48";41;0
"2024-02-19 11:34:49";41;0
"2024-02-19 11:34:50";41;0
"2024-02-19 11:34:51";41;0
"2024-02-19 11:34:52";41;0
"2024-02-19 11:34:53";41;0
"2024-02-19 11:34:54";41;0
"2024-02-19 11:34:55";41;0
"2024-02-19 11:34:56";41;0
"2024-02-19 11:34:57";41;0
"2024-02-19 11:34:58";41;0
"2024-02-19 11:34:59";41;0
"2024-02-19 11:35:00";41;0
"2024-02-19 11:35:01";41;0
"2024-02-19 11:35:02";41;0
"2024-02-19 11:35:03";41;0
"2024-02-19 11:35:04";41;0
"2024-02-19 11:35:05";41;0
"2024-02-19 11:35:06";41;0
"2024-02-19 11:35:07";41;0
"2024-02-19 11:35:08";41;0
"2024-02-19 11:35:09";41;0
"2024-02-19 11:35:10";41;0
"2024-02-19 11:35:11";41;0
"2024-02-19 11:35:12";41;0
"2024-02-19 11:35:13";41;0
"2024-02-19 11:35:14";41;0
"2024-02-19 11:35:15";41;0
"2024-02-19 11:35:16";41;0
"2024-02-19 11:35:17";41;0
"2024-02-19 11:35:18";41;0
"2024-02-19 11:35:19";41;0
"2024-02-19 11:35:20";41;0
"2024-02-19 11:35:21";41;0
"2024-02-19 11:35:22";41;0
"2024-02-19 11:35:23";41;0
"2024-02-19 11:35:24";41;0
"2024-02-19 11:35:25";41;0
"2024-02-19 11:35:26";41;0
"2024-02-19 11:35:27";41;0
"2024-02-19 11:35:28";41;0
"2024-02-19 11:35:29";41;0
"2024-02-19 11:35:30";41;0
"2024-02-19 11:35:31";41;0
"2024-02-19 11:35:32";41;0
"2024-02-19 11:35:33";41;0
"2024-02-19 11:35:34";41;0
"2024-02-19 11:35:35";41;0
"2024-02-19 11:35:36";41;0
"2024-02-19 11:35:37";41;0
"2024-02-19 11:35:38";41;0
"2024-02-19 11:35:39";41;0
"2024-02-19 11:35:40";41;0
"2024-02-19 11:35:41";41;0
"2024-02-19 11:35:42";41;0
"2024-02-19 11:35:43";41;0
"2024-02-19 11:35:44";41;0
"2024-02-19 11:35:45";41;0
"2024-02-19 11:35:46";41;0
"2024-02-19 11:35:47";41;0
"2024-02-19 11:35:48";41;0
"2024-02-19 11:35:49";41;0
"2024-02-19 11:35:50";41;0
"2024-02-19 11:35:51";41;0
"2024-02-19 11:35:52";41;0
"2024-02-19 11:35:53";41;0
"2024-02-19 11:35:54";41;0
"2024-02-19 11:35:55";41;0
"2024-02-19 11:35:56";41;0
"2024-02-19 11:35:57";41;0
"2024-02-19 11:35:58";41;0
"2024-02-19 11:35:59";41;0
"2024-02-19 11:36:00";41;0
"2024-02-19 11:36:01";41;0
"2024-02-19 11:36:02";41;0
"2024-02-19 11:36:03";41;0
"2024-02-19 11:36:04";41;0
"2024-02-19 11:36:05";41;0
"2024-02-19 11:36:06";41;0
"2024-02-19 11:36:07";41;0
"2024-02-19 11:36:08";41;0
"2024-02-19 11:36:09";41;0
"2024-02-19 11:36:10";41;0
"2024-02-19 11:36:11";41;0
"2024-02-19 11:36:12";41;0
"2024-02-19 11:36:13";41;0
"2024-02-19 11:36:14";41;0
"2024-02-19 11:36:15";41;0
"2024-02-19 11:36:16";41;0
"2024-02-19 11:36:17";41;0
"2024-02-19 11:36:18";41;0
"2024-02-19 11:36:19";41;0
"2024-02-19 11:36:20";41;0
"2024-02-19 11:36:21";41;0
"2024-02-19 11:36:22";41;0
"2024-02-19 11:36:23";41;0
"2024-02-19 11:36:24";41;0
"2024-02-19 11:36:25";41;0
"2024-02-19 11:36:26";41;0
"2024-02-19 11:36:27";41;0
"2024-02-19 11:36:28";41;0
"2024-02-19 11:36:29";41;0
"2024-02-19 11:36:30";41;0
"2024-02-19 11:36:31";41;0
"2024-02-19 11:36:32";41;0
"2024-02-19 11:36:33";41;0
"2024-02-19 11:36:34";41;0
"2024-02-19 11:36:35";41;0
"2024-02-19 11:36:36";41;0
"2024-02-19 11:36:37";41;0
"2024-02-19 11:36:38";41;0
"2024-02-19 11:36:39";41;0
"2024-02-19 11:36:40";41;0
"2024-02-19 11:36:41";41;0
"2024-02-19 11:36:42";41;0
"2024-02-19 11:36:43";41;0
"2024-02-19 11:36:44";41;0
"2024-02-19 11:36:45";41;0
"2024-02-19 11:36:46";41;0
"2024-02-19 11:36:47";41;0
"2024-02-19 11:36:48";41;0
"2024-02-19 11:36:49";41;0
"2024-02-19 11:36:50";41;0
"2024-02-19 11:36:51";41;0
"2024-02-19 11:36:52";41;0
"2024-02-19 11:36:53";41;0
"2024-02-19 11:36:54";41;0
"2024-02-19 11:36:55";41;0
"2024-02-19 11:36:56";41;0
"2024-02-19 11:36:57";41;0
"2024-02-19 11:36:58";41;0
"2024-02-19 11:36:59";41;0
"2024-02-19 11:37:00";41;0
"2024-02-19 11:37:01";41;0
"2024-02-19 11:37:02";41;0
"2024-02-19 11:37:03";41;0
"2024-02-19 11:37:04";41;0
"2024-02-19 11:37:05";41;0
"2024-02-19 11:37:06";41;0
"2024-02-19 11:37:07";41;0
"2024-02-19 11:37:08";41;0
"2024-02-19 11:37:09";41;0
"2024-02-19 11:37:10";41;0
"2024-02-19 11:37:11";41;0
"2024-02-19 11:37:12";41;0
"2024-02-19 11:37:13";41;0
"2024-02-19 11:37:14";41;0
"2024-02-19 11:37:15";41;0
"2024-02-19 11:37:16";41;0
"2024-02-19 11:37:17";41;0
"2024-02-19 11:37:18";41;0
"2024-02-19 11:37:19";41;0
"2024-02-19 11:37:20";41;0
"2024-02-19 11:37:21";41;0
"2024-02-19 11:37:22";41;0
"2024-02-19 11:37:23";41;0
"2024-02-19 11:37:24";41;0
"2024-02-19 11:37:25";41;0
"2024-02-19 11:37:26";41;0
"2024-02-19 11:37:27";41;0
"2024-02-19 11:37:28";41;0
"2024-02-19 11:37:29";41;0
"2024-02-19 11:37:30";41;0
"2024-02-19 11:37:31";41;0
"2024-02-19 11:37:32";41;0
"2024-02-19 11:37:33";41;0
"2024-02-19 11:37:34";41;0
"2024-02-19 11:37:35";41;0
"2024-02-19 11:37:36";41;0
"2024-02-19 11:37:37";41;0
"2024-02-19 11:37:38";41;0
"2024-02-19 11:37:39";41;0
"2024-02-19 11:37:40";41;0
"2024-02-19 11:37:41";41;0
"2024-02-19 11:37:42";41;0
"2024-02-19 11:37:43";41;0
"2024-02-19 11:37:44";41;0
"2024-02-19 11:37:45";41;0
"2024-02-19 11:37:46";41;0
"2024-02-19 11:37:47";41;0
"2024-02-19 11:37:48";41;0
"2024-02-19 11:37:49";41;0
"2024-02-19 11:37:50";41;0
"2024-02-19 11:37:51";41;0
"2024-02-19 11:37:52";41;0
"2024-02-19 11:37:53";41;0
"2024-02-19 11:37:54";41;0
"2024-02-19 11:37:55";41;0
"2024-02-19 11:37:56";41;0
"2024-02-19 11:37:57";41;0
"2024-02-19 11:37:58";41;0
"2024-02-19 11:37:59";41;0
"2024-02-19 11:38:00";41;0
"2024-02-19 11:38:01";41;0
"2024-02-19 11:38:02";41;0
"2024-02-19 11:38:03";41;0
"2024-02-19 11:38:04";41;0
"2024-02-19 11:38:05";41;0
"2024-02-19 11:38:06";41;0
"2024-02-19 11:38:07";41;0
"2024-02-19 11:38:08";41;0
"2024-02-19 11:38:09";41;0
"2024-02-19 11:38:10";41;0
"2024-02-19 11:38:11";41;0
"2024-02-19 11:38:12";41;0
"2024-02-19 11:38:13";41;0
"2024-02-19 11:38:14";41;0
"2024-02-19 11:38:15";41;0
"2024-02-19 11:38:16";41;0
"2024-02-19 11:38:17";41;0
"2024-02-19 11:38:18";41;0
"2024-02-19 11:38:19";41;0
"2024-02-19 11:38:20";41;0
"2024-02-19 11:38:21";41;0
"2024-02-19 11:38:22";41;0
"2024-02-19 11:38:23";41;0
"2024-02-19 11:38:24";41;0
"2024-02-19 11:38:25";41;0
