"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2024-02-17 11:54:36";44.13;0
"2024-02-17 11:54:37";44;0
"2024-02-17 11:54:38";44;0
"2024-02-17 11:54:39";44;0
"2024-02-17 11:54:40";43.88;0
"2024-02-17 11:54:41";43.88;0
"2024-02-17 11:54:42";43.88;0
"2024-02-17 11:54:43";43.75;0
"2024-02-17 11:54:44";43.75;0
"2024-02-17 11:54:45";43.75;0
"2024-02-17 11:54:46";57.13;26
"2024-02-17 11:54:47";74.12;102
"2024-02-17 11:54:48";93.25;348
"2024-02-17 11:54:49";114.12;1047
"2024-02-17 11:54:50";136.13;2801
"2024-02-17 11:54:51";159.13;6846
"2024-02-17 11:54:52";183.63;15899
"2024-02-17 11:54:53";208.38;34204
"2024-02-17 11:54:54";218.75;46210
"2024-02-17 11:54:55";224.13;53784
