"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2024-02-21 05:52:33";11.25;0
"2024-02-21 05:52:33";11.13;0
"2024-02-21 05:52:34";11;0
"2024-02-21 05:52:35";11;0
"2024-02-21 05:52:36";11;0
"2024-02-21 05:52:37";11.13;0
"2024-02-21 05:52:38";11.13;0
"2024-02-21 05:52:39";11.13;0
"2024-02-21 05:52:40";11.13;0
"2024-02-21 05:52:41";11.25;0
"2024-02-21 05:52:42";11.13;0
"2024-02-21 05:52:43";11.13;0
"2024-02-21 05:52:44";11.13;0
"2024-02-21 05:52:45";11.13;0
"2024-02-21 05:52:46";11.13;0
"2024-02-21 05:52:47";11.13;0
"2024-02-21 05:52:48";11.25;0
"2024-02-21 05:52:49";11.25;0
"2024-02-21 05:52:50";11.25;0
"2024-02-21 05:52:51";11.13;0
"2024-02-21 05:52:52";11.25;0
"2024-02-21 05:52:53";11.25;0
"2024-02-21 05:52:54";11.25;0
"2024-02-21 05:52:55";11.25;0
"2024-02-21 05:52:56";11.25;0
"2024-02-21 05:52:57";11.13;0
"2024-02-21 05:52:58";11;0
"2024-02-21 05:52:59";11;0
"2024-02-21 05:53:00";11;0
"2024-02-21 05:53:01";11;0
"2024-02-21 05:53:02";11;0
"2024-02-21 05:53:03";11;0
"2024-02-21 05:53:04";11;0
"2024-02-21 05:53:05";11.13;0
"2024-02-21 05:53:06";11.13;0
"2024-02-21 05:53:07";11.13;0
"2024-02-21 05:53:08";11.13;0
"2024-02-21 05:53:09";11.13;0
"2024-02-21 05:53:10";11.25;0
"2024-02-21 05:53:11";11.38;0
"2024-02-21 05:53:12";11.50;0
"2024-02-21 05:53:13";11.50;0
"2024-02-21 05:53:14";11.50;0
"2024-02-21 05:53:15";11.38;0
"2024-02-21 05:53:16";11.50;0
"2024-02-21 05:53:17";11.50;0
"2024-02-21 05:53:18";11.63;0
"2024-02-21 05:53:19";11.75;0
"2024-02-21 05:53:20";11.63;0
"2024-02-21 05:53:21";11.63;0
"2024-02-21 05:53:22";11.50;0
"2024-02-21 05:53:23";11.50;0
"2024-02-21 05:53:24";11.38;0
"2024-02-21 05:53:25";11.50;0
"2024-02-21 05:53:26";11.38;0
"2024-02-21 05:53:27";11.38;0
"2024-02-21 05:53:28";11.25;0
"2024-02-21 05:53:29";11.13;0
"2024-02-21 05:53:30";11.13;0
"2024-02-21 05:53:31";11;0
"2024-02-21 05:53:32";11;0
"2024-02-21 05:53:33";11.13;0
"2024-02-21 05:53:34";11.25;0
"2024-02-21 05:53:35";11.13;0
"2024-02-21 05:53:36";11.13;0
"2024-02-21 05:53:37";11.13;0
"2024-02-21 05:53:38";11.13;0
"2024-02-21 05:53:39";11.25;0
"2024-02-21 05:53:40";11.25;0
"2024-02-21 05:53:41";11.38;0
"2024-02-21 05:53:42";11.38;0
"2024-02-21 05:53:43";11.38;0
"2024-02-21 05:53:44";11.25;0
"2024-02-21 05:53:45";11.25;0
"2024-02-21 05:53:46";11.25;0
"2024-02-21 05:53:47";11.38;0
"2024-02-21 05:53:48";11.38;0
"2024-02-21 05:53:49";11.25;0
"2024-02-21 05:53:50";11.25;0
"2024-02-21 05:53:51";11.25;0
"2024-02-21 05:53:52";11.25;0
"2024-02-21 05:53:53";11.13;0
"2024-02-21 05:53:54";11.25;0
"2024-02-21 05:53:55";11.25;0
"2024-02-21 05:53:56";11.25;0
"2024-02-21 05:53:57";11.13;0
"2024-02-21 05:53:58";11.13;0
"2024-02-21 05:53:59";11.13;0
"2024-02-21 05:54:00";11.25;0
"2024-02-21 05:54:01";11.13;0
"2024-02-21 05:54:02";11.13;0
"2024-02-21 05:54:03";11.13;0
"2024-02-21 05:54:04";11;0
"2024-02-21 05:54:05";11.13;0
"2024-02-21 05:54:06";11.13;0
"2024-02-21 05:54:07";11.13;0
"2024-02-21 05:54:08";11.13;0
"2024-02-21 05:54:09";11.13;0
"2024-02-21 05:54:10";11;0
"2024-02-21 05:54:11";11;0
"2024-02-21 05:54:12";11;0
"2024-02-21 05:54:13";11.13;0
"2024-02-21 05:54:14";11.25;0
"2024-02-21 05:54:15";11.13;0
"2024-02-21 05:54:16";11.25;0
"2024-02-21 05:54:17";11.25;0
"2024-02-21 05:54:18";11.38;0
"2024-02-21 05:54:19";11.50;0
"2024-02-21 05:54:20";11.50;0
"2024-02-21 05:54:21";11.63;0
"2024-02-21 05:54:22";11.63;0
"2024-02-21 05:54:23";11.63;0
"2024-02-21 05:54:24";11.50;0
"2024-02-21 05:54:25";11.50;0
"2024-02-21 05:54:26";11.38;0
"2024-02-21 05:54:27";11.38;0
"2024-02-21 05:54:28";11.25;0
"2024-02-21 05:54:29";11.13;0
"2024-02-21 05:54:30";11.13;0
"2024-02-21 05:54:31";11;0
"2024-02-21 05:54:32";11.13;0
"2024-02-21 05:54:33";11.13;0
"2024-02-21 05:54:34";11.25;0
"2024-02-21 05:54:35";11.25;0
"2024-02-21 05:54:36";11.38;0
"2024-02-21 05:54:37";11.38;0
"2024-02-21 05:54:38";11.38;0
"2024-02-21 05:54:39";11.50;0
"2024-02-21 05:54:40";11.50;0
"2024-02-21 05:54:41";11.50;0
"2024-02-21 05:54:42";11.50;0
"2024-02-21 05:54:43";11.38;0
"2024-02-21 05:54:44";11.38;0
"2024-02-21 05:54:45";11.38;0
"2024-02-21 05:54:46";11.38;0
"2024-02-21 05:54:47";11.38;0
"2024-02-21 05:54:48";11.38;0
"2024-02-21 05:54:49";11.38;0
"2024-02-21 05:54:50";11.50;0
"2024-02-21 05:54:51";11.50;0
"2024-02-21 05:54:52";11.50;0
"2024-02-21 05:54:53";11.50;0
"2024-02-21 05:54:54";11.38;0
