"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2024-02-17 15:09:57";150.75;0
"2024-02-17 15:09:58";150.75;0
"2024-02-17 15:09:59";149.25;0
"2024-02-17 15:10:00";147.63;0
"2024-02-17 15:10:01";146;0
"2024-02-17 15:10:02";144.38;0
"2024-02-17 15:10:03";142.88;0
"2024-02-17 15:10:04";141.25;0
"2024-02-17 15:10:05";139.63;0
"2024-02-17 15:10:06";138;0
"2024-02-17 15:10:07";137.75;0
"2024-02-17 15:10:08";137.63;0
"2024-02-17 15:10:09";137.50;0
"2024-02-17 15:10:10";137.25;0
"2024-02-17 15:10:11";137;0
"2024-02-17 15:10:12";136.75;0
"2024-02-17 15:10:13";136.50;0
"2024-02-17 15:10:14";136.38;0
"2024-02-17 15:10:15";136.13;0
"2024-02-17 15:10:16";135.88;0
"2024-02-17 15:10:17";135.63;0
"2024-02-17 15:10:18";135.50;0
"2024-02-17 15:10:19";135.38;0
"2024-02-17 15:10:20";135.13;0
"2024-02-17 15:10:21";134.88;0
"2024-02-17 15:10:22";134.63;0
"2024-02-17 15:10:23";134.50;0
"2024-02-17 15:10:24";134.38;0
"2024-02-17 15:10:25";134.13;0
"2024-02-17 15:10:26";133.88;0
"2024-02-17 15:10:27";133.63;0
"2024-02-17 15:10:28";133.38;0
"2024-02-17 15:10:29";133.13;0
"2024-02-17 15:10:30";133;0
"2024-02-17 15:10:31";132.75;0
"2024-02-17 15:10:32";132.50;0
"2024-02-17 15:10:33";132.38;0
"2024-02-17 15:10:34";132.25;0
"2024-02-17 15:10:35";132.13;0
"2024-02-17 15:10:36";132;0
"2024-02-17 15:10:37";132;0
"2024-02-17 15:10:38";132;0
"2024-02-17 15:10:39";132;0
"2024-02-17 15:10:40";131.88;0
"2024-02-17 15:10:41";131.75;0
"2024-02-17 15:10:42";131.63;0
"2024-02-17 15:10:43";131.50;0
"2024-02-17 15:10:44";131.38;0
"2024-02-17 15:10:45";131.25;0
"2024-02-17 15:10:46";131;0
"2024-02-17 15:10:47";130.75;0
"2024-02-17 15:10:48";130.50;0
"2024-02-17 15:10:49";130.38;0
"2024-02-17 15:10:50";130.25;0
"2024-02-17 15:10:51";130.13;0
"2024-02-17 15:10:52";130;0
"2024-02-17 15:10:53";130;0
"2024-02-17 15:10:54";129.88;0
"2024-02-17 15:10:55";129.75;0
"2024-02-17 15:10:56";129.75;0
"2024-02-17 15:10:57";129.75;0
"2024-02-17 15:10:58";129.75;0
"2024-02-17 15:10:59";129.75;0
"2024-02-17 15:11:00";129.75;0
"2024-02-17 15:11:01";129.75;0
"2024-02-17 15:11:02";129.88;0
