"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2024-02-20 04:24:24";172;41
"2024-02-20 04:24:25";172.25;42
"2024-02-20 04:24:26";172.50;42
"2024-02-20 04:24:27";172.63;42
"2024-02-20 04:24:28";172.88;42
"2024-02-20 04:24:29";173.25;43
"2024-02-20 04:24:30";173.13;43
"2024-02-20 04:24:31";173.25;43
"2024-02-20 04:24:32";173.25;43
"2024-02-20 04:24:33";173.63;44
"2024-02-20 04:24:34";174.13;44
"2024-02-20 04:24:35";174.13;44
"2024-02-20 04:24:36";174.38;45
"2024-02-20 04:24:37";174.25;45
"2024-02-20 04:24:38";174;44
"2024-02-20 04:24:39";173.88;44
"2024-02-20 04:24:40";174.25;45
"2024-02-20 04:24:41";173.63;44
"2024-02-20 04:24:42";173.63;44
"2024-02-20 04:24:43";173.50;43
"2024-02-20 04:24:44";173.25;43
"2024-02-20 04:24:45";173.50;43
"2024-02-20 04:24:46";173.25;43
"2024-02-20 04:24:47";173.25;43
"2024-02-20 04:24:48";173.63;44
"2024-02-20 04:24:49";174.13;44
"2024-02-20 04:24:50";174.25;45
"2024-02-20 04:24:51";174.75;45
"2024-02-20 04:24:52";174.50;45
"2024-02-20 04:24:53";174.75;45
"2024-02-20 04:24:54";175.38;46
"2024-02-20 04:24:55";174.88;45
"2024-02-20 04:24:56";175.50;46
"2024-02-20 04:24:57";175.75;47
"2024-02-20 04:24:58";176;47
"2024-02-20 04:24:59";175.63;47
"2024-02-20 04:25:00";175.50;46
"2024-02-20 04:25:01";175.50;46
"2024-02-20 04:25:02";175.75;47
"2024-02-20 04:25:03";175.63;47
"2024-02-20 04:25:04";175;46
"2024-02-20 04:25:05";175.25;46
"2024-02-20 04:25:06";174.88;45
"2024-02-20 04:25:07";174.75;45
"2024-02-20 04:25:08";174.75;45
"2024-02-20 04:25:09";174.63;45
"2024-02-20 04:25:10";174.75;45
"2024-02-20 04:25:11";174.75;45
"2024-02-20 04:25:12";174.50;45
"2024-02-20 04:25:13";174.50;45
"2024-02-20 04:25:14";174.50;45
"2024-02-20 04:25:15";174.50;45
"2024-02-20 04:25:16";174.50;45
"2024-02-20 04:25:17";174.63;45
"2024-02-20 04:25:18";174.63;45
"2024-02-20 04:25:19";174.75;45
"2024-02-20 04:25:20";174.50;45
"2024-02-20 04:25:21";174.25;45
"2024-02-20 04:25:22";174.13;44
"2024-02-20 04:25:23";174.13;44
"2024-02-20 04:25:24";174;44
"2024-02-20 04:25:25";173.75;44
"2024-02-20 04:25:26";174;44
"2024-02-20 04:25:27";173.50;43
"2024-02-20 04:25:28";173.13;43
"2024-02-20 04:25:29";172.75;42
"2024-02-20 04:25:30";173.38;43
"2024-02-20 04:25:31";173.38;43
"2024-02-20 04:25:32";173.88;44
"2024-02-20 04:25:33";173.75;44
"2024-02-20 04:25:34";173.88;44
"2024-02-20 04:25:35";174.50;45
"2024-02-20 04:25:36";174;44
"2024-02-20 04:25:37";174.75;45
"2024-02-20 04:25:38";174.75;45
"2024-02-20 04:25:39";174.63;45
"2024-02-20 04:25:40";174;44
"2024-02-20 04:25:41";174;44
"2024-02-20 04:25:42";174;44
"2024-02-20 04:25:43";173.75;44
"2024-02-20 04:25:44";173.50;43
"2024-02-20 04:25:45";172.63;42
"2024-02-20 04:25:46";172.38;42
"2024-02-20 04:25:47";172.38;42
"2024-02-20 04:25:48";172.63;42
"2024-02-20 04:25:49";173.25;43
"2024-02-20 04:25:50";173.75;44
"2024-02-20 04:25:51";174;44
"2024-02-20 04:25:52";173.50;43
"2024-02-20 04:25:53";173.88;44
"2024-02-20 04:25:54";174.38;45
"2024-02-20 04:25:55";174.88;45
"2024-02-20 04:25:56";175.38;46
"2024-02-20 04:25:57";174.75;45
"2024-02-20 04:25:58";174.38;45
"2024-02-20 04:25:59";174.25;45
"2024-02-20 04:26:00";173.75;44
"2024-02-20 04:26:01";173.25;43
"2024-02-20 04:26:02";173.75;44
"2024-02-20 04:26:03";173.38;43
"2024-02-20 04:26:04";173.38;43
"2024-02-20 04:26:05";173.13;43
"2024-02-20 04:26:06";172.88;42
"2024-02-20 04:26:07";172.88;42
"2024-02-20 04:26:08";173;43
"2024-02-20 04:26:09";173.13;43
"2024-02-20 04:26:10";173.63;44
"2024-02-20 04:26:11";173.63;44
"2024-02-20 04:26:12";173.38;43
"2024-02-20 04:26:13";173.75;44
"2024-02-20 04:26:14";173.50;43
"2024-02-20 04:26:15";173.38;43
"2024-02-20 04:26:16";173.38;43
"2024-02-20 04:26:17";173.13;43
"2024-02-20 04:26:18";173;43
"2024-02-20 04:26:19";173;43
"2024-02-20 04:26:20";173;43
"2024-02-20 04:26:21";173.38;43
"2024-02-20 04:26:22";173.63;44
"2024-02-20 04:26:23";173.63;44
"2024-02-20 04:26:24";173.88;44
"2024-02-20 04:26:25";173.75;44
"2024-02-20 04:26:26";174;44
"2024-02-20 04:26:27";174;44
"2024-02-20 04:26:28";174;44
"2024-02-20 04:26:29";174;44
"2024-02-20 04:26:30";173.75;44
"2024-02-20 04:26:31";173.88;44
"2024-02-20 04:26:32";173.38;43
"2024-02-20 04:26:33";172.88;42
"2024-02-20 04:26:34";172.38;42
"2024-02-20 04:26:35";172.38;42
"2024-02-20 04:26:36";172.38;42
"2024-02-20 04:26:37";172.88;42
"2024-02-20 04:26:38";172.75;42
"2024-02-20 04:26:39";172.25;42
"2024-02-20 04:26:40";172.13;41
"2024-02-20 04:26:41";171.88;41
"2024-02-20 04:26:42";172.38;42
"2024-02-20 04:26:43";173.25;43
"2024-02-20 04:26:44";173.75;44
"2024-02-20 04:26:45";173.75;44
"2024-02-20 04:26:46";173.75;44
"2024-02-20 04:26:47";173.75;44
"2024-02-20 04:26:48";174.13;44
"2024-02-20 04:26:49";174.38;45
"2024-02-20 04:26:50";174.25;45
"2024-02-20 04:26:51";174.63;45
"2024-02-20 04:26:52";174;44
"2024-02-20 04:26:53";173.88;44
"2024-02-20 04:26:54";173.88;44
"2024-02-20 04:26:55";174.38;45
"2024-02-20 04:26:56";174.38;45
"2024-02-20 04:26:57";174.13;44
"2024-02-20 04:26:58";173.75;44
"2024-02-20 04:26:59";174;44
"2024-02-20 04:27:00";174;44
"2024-02-20 04:27:01";173.75;44
"2024-02-20 04:27:02";173.88;44
"2024-02-20 04:27:03";173.88;44
"2024-02-20 04:27:04";173.88;44
"2024-02-20 04:27:05";173.88;44
"2024-02-20 04:27:06";173.88;44
"2024-02-20 04:27:07";174;44
"2024-02-20 04:27:08";174.50;45
"2024-02-20 04:27:09";174.38;45
"2024-02-20 04:27:10";175;46
"2024-02-20 04:27:11";175.13;46
"2024-02-20 04:27:12";175.25;46
"2024-02-20 04:27:13";175.38;46
"2024-02-20 04:27:14";175.50;46
"2024-02-20 04:27:15";175.38;46
"2024-02-20 04:27:16";174.88;45
"2024-02-20 04:27:17";175;46
"2024-02-20 04:27:18";174.63;45
"2024-02-20 04:27:19";174.63;45
"2024-02-20 04:27:20";174.38;45
"2024-02-20 04:27:21";174.13;44
"2024-02-20 04:27:22";173.63;44
"2024-02-20 04:27:23";173.38;43
"2024-02-20 04:27:24";173.38;43
"2024-02-20 04:27:25";173.88;44
"2024-02-20 04:27:26";174.13;44
"2024-02-20 04:27:27";173.88;44
"2024-02-20 04:27:28";173.88;44
"2024-02-20 04:27:29";173.75;44
"2024-02-20 04:27:30";173.63;44
"2024-02-20 04:27:31";173.88;44
"2024-02-20 04:27:32";174.13;44
"2024-02-20 04:27:33";174.25;45
"2024-02-20 04:27:34";174;44
"2024-02-20 04:27:35";174.13;44
"2024-02-20 04:27:36";174;44
"2024-02-20 04:27:37";174.13;44
"2024-02-20 04:27:38";174.13;44
"2024-02-20 04:27:39";174.38;45
"2024-02-20 04:27:40";174.63;45
"2024-02-20 04:27:41";174.50;45
"2024-02-20 04:27:42";174.25;45
"2024-02-20 04:27:43";174.13;44
"2024-02-20 04:27:44";174.88;45
"2024-02-20 04:27:45";174.25;45
"2024-02-20 04:27:46";174.25;45
"2024-02-20 04:27:47";174.13;44
"2024-02-20 04:27:48";173.63;44
"2024-02-20 04:27:49";173.50;43
"2024-02-20 04:27:50";173.25;43
"2024-02-20 04:27:51";172.75;42
"2024-02-20 04:27:52";173;43
"2024-02-20 04:27:53";172.88;42
"2024-02-20 04:27:54";172.88;42
"2024-02-20 04:27:55";173.13;43
"2024-02-20 04:27:56";173.50;43
"2024-02-20 04:27:57";173.75;44
"2024-02-20 04:27:58";174.25;45
"2024-02-20 04:27:59";174.38;45
"2024-02-20 04:28:00";175;46
"2024-02-20 04:28:01";175.25;46
"2024-02-20 04:28:02";175;46
"2024-02-20 04:28:03";175;46
"2024-02-20 04:28:04";175.25;46
"2024-02-20 04:28:05";175.25;46
"2024-02-20 04:28:06";175.38;46
"2024-02-20 04:28:07";175.13;46
"2024-02-20 04:28:08";174.50;45
"2024-02-20 04:28:09";174.50;45
"2024-02-20 04:28:10";173.75;44
"2024-02-20 04:28:11";173.75;44
"2024-02-20 04:28:12";174;44
"2024-02-20 04:28:13";174.13;44
"2024-02-20 04:28:14";174;44
"2024-02-20 04:28:15";174;44
"2024-02-20 04:28:16";173.88;44
"2024-02-20 04:28:17";173.63;44
"2024-02-20 04:28:18";173.88;44
"2024-02-20 04:28:19";173.75;44
"2024-02-20 04:28:20";174.25;45
"2024-02-20 04:28:21";174.25;45
"2024-02-20 04:28:22";174.13;44
"2024-02-20 04:28:23";174.25;45
"2024-02-20 04:28:24";174.25;45
"2024-02-20 04:28:25";174.25;45
"2024-02-20 04:28:26";173.88;44
"2024-02-20 04:28:27";174.13;44
"2024-02-20 04:28:28";174.13;44
"2024-02-20 04:28:29";174.25;45
"2024-02-20 04:28:30";174.13;44
"2024-02-20 04:28:31";173.88;44
"2024-02-20 04:28:32";174.25;45
"2024-02-20 04:28:33";174;44
"2024-02-20 04:28:34";173.88;44
"2024-02-20 04:28:35";173.63;44
"2024-02-20 04:28:36";173.63;44
"2024-02-20 04:28:37";174.13;44
"2024-02-20 04:28:38";173.88;44
"2024-02-20 04:28:39";173.63;44
"2024-02-20 04:28:40";173.25;43
"2024-02-20 04:28:41";173;43
"2024-02-20 04:28:42";172.75;42
"2024-02-20 04:28:43";173;43
