"count"	"date Y-m-d m:s"	"VOCIndex "	"VOCRaw " 
1	"2023-09-18 22:13:01"	0	21677
2	"2023-09-18 22:13:21"	0	28656
3	"2023-09-18 22:13:41"	0	29244
4	"2023-09-18 22:14:01"	0	29353
5	"2023-09-18 22:14:21"	0	29577
6	"2023-09-18 22:14:41"	0	29585
7	"2023-09-18 22:15:01"	0	29636
8	"2023-09-18 22:15:21"	0	29696
9	"2023-09-18 22:15:41"	0	29725
10	"2023-09-18 22:16:01"	0	29733
11	"2023-09-18 22:16:21"	0	29757
12	"2023-09-18 22:16:41"	0	29752
13	"2023-09-18 22:17:01"	0	29776
14	"2023-09-18 22:17:21"	0	29781
15	"2023-09-18 22:17:41"	0	29781
16	"2023-09-18 22:18:01"	0	29777
17	"2023-09-18 22:18:21"	0	29792
18	"2023-09-18 22:18:41"	0	29796
19	"2023-09-18 22:19:01"	0	29793
20	"2023-09-18 22:19:21"	0	29809
21	"2023-09-18 22:19:41"	0	29809
22	"2023-09-18 22:20:01"	0	29816
23	"2023-09-18 22:20:21"	0	29828
24	"2023-09-18 22:20:41"	0	29837
25	"2023-09-18 22:21:00"	0	29809
26	"2023-09-18 22:21:20"	0	29817
27	"2023-09-18 22:21:40"	0	29816
28	"2023-09-18 22:22:00"	0	29820
29	"2023-09-18 22:22:20"	0	29845
30	"2023-09-18 22:22:40"	0	29841
31	"2023-09-18 22:23:00"	0	29833
32	"2023-09-18 22:23:20"	0	29840
33	"2023-09-18 22:23:40"	0	29820
34	"2023-09-18 22:24:00"	0	29809
35	"2023-09-18 22:24:20"	0	29805
36	"2023-09-18 22:24:40"	0	29825
37	"2023-09-18 22:25:00"	0	29844
38	"2023-09-18 22:25:20"	0	29844
39	"2023-09-18 22:25:40"	0	29833
40	"2023-09-18 22:26:00"	0	29837
41	"2023-09-18 22:26:20"	0	29825
42	"2023-09-18 22:26:40"	0	29832
43	"2023-09-18 22:27:00"	0	29852
44	"2023-09-18 22:27:20"	0	29833
45	"2023-09-18 22:27:40"	0	29825
46	"2023-09-18 22:28:00"	0	29837
47	"2023-09-18 22:28:20"	1	29820
48	"2023-09-18 22:28:40"	1	29844
49	"2023-09-18 22:29:00"	1	29821
50	"2023-09-18 22:29:20"	3	29837
51	"2023-09-18 22:29:40"	6	29845
52	"2023-09-18 22:30:00"	9	29820
53	"2023-09-18 22:30:20"	13	29836
