"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-07 09:17:23";59;0
"2025-06-07 09:17:53";58.13;0
"2025-06-07 09:18:23";57.66;0
"2025-06-07 09:18:53";57.70;0
"2025-06-07 09:19:23";57.81;0
"2025-06-07 09:19:53";57.93;0
"2025-06-07 09:20:23";58;0
"2025-06-07 09:20:53";58.13;0
"2025-06-07 09:21:23";59.43;0
"2025-06-07 09:21:53";60.68;0
"2025-06-07 09:22:23";61;0
"2025-06-07 09:22:53";61.93;0
"2025-06-07 09:23:23";61.99;0
"2025-06-07 09:23:53";62.15;0
"2025-06-07 09:24:23";62;0
"2025-06-07 09:24:53";62.54;0
"2025-06-07 09:25:23";63;0
"2025-06-07 09:25:53";63.36;0
"2025-06-07 09:26:24";63.97;0
"2025-06-07 09:26:54";64;0
"2025-06-07 09:27:24";64;0
"2025-06-07 09:27:54";64.90;0
"2025-06-07 09:28:24";65.98;0
"2025-06-07 09:28:54";66;0
"2025-06-07 09:29:24";66.33;0
"2025-06-07 09:29:54";66.98;0
"2025-06-07 09:30:24";67.48;0
"2025-06-07 09:30:54";68.01;0
"2025-06-07 09:31:24";68.98;0
"2025-06-07 09:31:54";69.33;0
"2025-06-07 09:32:24";69.80;0
"2025-06-07 09:32:54";69.98;0
"2025-06-07 09:33:24";70;0
"2025-06-07 09:33:54";70.33;0
"2025-06-07 09:34:24";71.54;0
"2025-06-07 09:34:54";72.20;0
"2025-06-07 09:35:24";71.30;0
"2025-06-07 09:35:54";71.95;0
"2025-06-07 09:36:24";71.98;0
"2025-06-07 09:36:54";72.66;0
"2025-06-07 09:37:24";73.97;0
"2025-06-07 09:37:54";74.33;0
"2025-06-07 09:38:24";73.62;0
"2025-06-07 09:38:54";73.23;0
"2025-06-07 09:39:24";74.08;0
"2025-06-07 09:39:54";74;0
"2025-06-07 09:40:24";74;0
"2025-06-07 09:40:55";74;0
"2025-06-07 09:41:25";74.05;0
"2025-06-07 09:41:55";74;0
"2025-06-07 09:42:25";74.01;0
"2025-06-07 09:42:55";73.61;0
"2025-06-07 09:43:25";72.73;0
"2025-06-07 09:43:55";72.68;0
"2025-06-07 09:44:25";72.15;0
"2025-06-07 09:44:55";72.15;0
"2025-06-07 09:45:25";72.98;0
"2025-06-07 09:45:55";73.58;0
"2025-06-07 09:46:25";74.86;0
"2025-06-07 09:46:55";75.63;0
"2025-06-07 09:47:25";76.23;0
"2025-06-07 09:47:55";76.91;0
"2025-06-07 09:48:25";76.58;0
"2025-06-07 09:48:55";76.09;0
"2025-06-07 09:49:25";76.62;0
"2025-06-07 09:49:55";77.01;0
"2025-06-07 09:50:25";77.59;0
"2025-06-07 09:50:55";77.94;0
"2025-06-07 09:51:25";79.97;0
"2025-06-07 09:51:55";81.26;0
"2025-06-07 09:52:25";81.94;0
"2025-06-07 09:52:55";82.87;0
"2025-06-07 09:53:25";83.76;0
"2025-06-07 09:53:55";84.01;0
"2025-06-07 09:54:25";84.30;0
"2025-06-07 09:54:55";84.76;0
"2025-06-07 09:55:25";85.58;0
"2025-06-07 09:55:56";87.45;0
"2025-06-07 09:56:26";88.06;0
"2025-06-07 09:56:56";88.06;0
"2025-06-07 09:57:26";88.83;0
"2025-06-07 09:57:56";89.79;4.40
"2025-06-07 09:58:26";90.94;4.53
"2025-06-07 09:58:56";91.83;4.63
"2025-06-07 09:59:26";91.94;4.65
"2025-06-07 09:59:56";92.80;4.76
"2025-06-07 10:00:26";93.31;4.82
"2025-06-07 10:00:56";90.97;4.53
"2025-06-07 10:01:26";68.34;0
"2025-06-07 10:01:56";59.50;0
"2025-06-07 10:02:26";58.99;0
"2025-06-07 10:02:56";58.43;0
"2025-06-07 10:03:26";58;0
"2025-06-07 10:03:56";58;0
"2025-06-07 10:04:26";58;0
"2025-06-07 10:04:56";58;0
"2025-06-07 10:05:26";58;0
"2025-06-07 10:05:56";58;0
"2025-06-07 10:06:26";58;0
"2025-06-07 10:06:56";58;0
"2025-06-07 10:07:26";57.74;0
"2025-06-07 10:07:56";57.08;0
"2025-06-07 10:08:26";57;0
"2025-06-07 10:08:56";57;0
"2025-06-07 10:09:26";57;0
"2025-06-07 10:09:56";57;0
"2025-06-07 10:10:27";56.81;0
"2025-06-07 10:10:57";57;0
"2025-06-07 10:11:27";57;0
"2025-06-07 10:11:57";57.22;0
"2025-06-07 10:12:27";57.74;0
"2025-06-07 10:12:57";57.97;0
"2025-06-07 10:13:27";58.61;0
"2025-06-07 10:13:57";59;0
"2025-06-07 10:14:27";59;0
"2025-06-07 10:14:57";59;0
"2025-06-07 10:15:27";59;0
"2025-06-07 10:15:57";59;0
"2025-06-07 10:16:27";59;0
"2025-06-07 10:16:57";59.02;0
"2025-06-07 10:17:27";59;0
"2025-06-07 10:17:57";59.22;0
"2025-06-07 10:18:27";59.97;0
"2025-06-07 10:18:57";60;0
"2025-06-07 10:19:27";60;0
"2025-06-07 10:19:57";60;0
"2025-06-07 10:20:27";59.47;0
"2025-06-07 10:20:57";59;0
"2025-06-07 10:21:27";58.86;0
"2025-06-07 10:21:57";58.34;0
"2025-06-07 10:22:27";58.08;0
"2025-06-07 10:22:57";58;0
"2025-06-07 10:23:27";58;0
"2025-06-07 10:23:57";58.02;0
"2025-06-07 10:24:27";58.31;0
"2025-06-07 10:24:58";58.95;0
"2025-06-07 10:25:28";58.75;0
"2025-06-07 10:25:58";58.50;0
"2025-06-07 10:26:28";58.93;0
"2025-06-07 10:26:58";58.83;0
"2025-06-07 10:27:28";59;0
"2025-06-07 10:27:58";59;0
"2025-06-07 10:28:28";59;0
"2025-06-07 10:28:58";59;0
"2025-06-07 10:29:28";59;0
"2025-06-07 10:29:58";58.97;0
"2025-06-07 10:30:28";59;0
"2025-06-07 10:30:58";59;0
"2025-06-07 10:31:28";59.66;0
"2025-06-07 10:31:58";59.97;0
"2025-06-07 10:32:28";59.88;0
"2025-06-07 10:32:58";59.79;0
"2025-06-07 10:33:28";59.93;0
"2025-06-07 10:33:58";59.75;0
"2025-06-07 10:34:28";59.88;0
"2025-06-07 10:34:58";59.79;0
"2025-06-07 10:35:28";59.90;0
"2025-06-07 10:35:58";59.74;0
"2025-06-07 10:36:28";59.68;0
"2025-06-07 10:36:58";59.27;0
"2025-06-07 10:37:28";58.59;0
"2025-06-07 10:37:58";58.22;0
"2025-06-07 10:38:28";58.88;0
"2025-06-07 10:38:58";57.75;0
"2025-06-07 10:39:28";57.04;0
"2025-06-07 10:39:59";55.18;0
"2025-06-07 10:40:29";55.38;0
"2025-06-07 10:40:59";55.40;0
"2025-06-07 10:41:29";55.90;0
"2025-06-07 10:41:59";56;0
"2025-06-07 10:42:29";56;0
"2025-06-07 10:42:59";56.02;0
"2025-06-07 10:43:29";56.29;0
"2025-06-07 10:43:59";56.90;0
"2025-06-07 10:44:29";56.68;0
"2025-06-07 10:44:59";56;0
"2025-06-07 10:45:29";56.08;0
"2025-06-07 10:45:59";56.81;0
"2025-06-07 10:46:29";56.93;0
"2025-06-07 10:46:59";56.90;0
"2025-06-07 10:47:29";56.08;0
"2025-06-07 10:47:59";56.29;0
"2025-06-07 10:48:29";56.93;0
"2025-06-07 10:48:59";56.72;0
"2025-06-07 10:49:29";57.43;0
"2025-06-07 10:49:59";58;0
"2025-06-07 10:50:29";58;0
"2025-06-07 10:50:59";57.34;0
"2025-06-07 10:51:29";58.04;0
"2025-06-07 10:51:59";58.27;0
"2025-06-07 10:52:29";59;0
"2025-06-07 10:52:59";59;0
"2025-06-07 10:53:29";59;0
"2025-06-07 10:53:59";59;0
"2025-06-07 10:54:30";59;0
"2025-06-07 10:55:00";59;0
"2025-06-07 10:55:30";59;0
"2025-06-07 10:56:00";59;0
"2025-06-07 10:56:30";59;0
"2025-06-07 10:57:00";58.99;0
"2025-06-07 10:57:30";58.52;0
"2025-06-07 10:58:00";58.11;0
"2025-06-07 10:58:30";57.95;0
"2025-06-07 10:59:00";58;0
"2025-06-07 10:59:30";58;0
"2025-06-07 11:00:00";57.88;0
"2025-06-07 11:00:30";57.93;0
"2025-06-07 11:01:00";58;0
"2025-06-07 11:01:30";58;0
"2025-06-07 11:02:00";58;0
"2025-06-07 11:02:30";57.97;0
"2025-06-07 11:03:00";57.97;0
"2025-06-07 11:03:30";57.99;0
"2025-06-07 11:04:00";57.97;0
"2025-06-07 11:04:30";57.41;0
"2025-06-07 11:05:00";56.20;0
"2025-06-07 11:05:30";56;0
"2025-06-07 11:06:00";56;0
"2025-06-07 11:06:30";56;0
"2025-06-07 11:07:00";56;0
"2025-06-07 11:07:30";56;0
"2025-06-07 11:08:00";56.13;0
"2025-06-07 11:08:30";57;0
"2025-06-07 11:09:00";56.95;0
"2025-06-07 11:09:31";54.75;0
