latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.495605,12.57353,445.0,7200,Europe/Rome,GMT+2

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°)
2025-05-07T00:00,9.8,4.7,113
2025-05-07T01:00,9.8,4.9,114
2025-05-07T02:00,9.7,5.2,112
2025-05-07T03:00,10.6,3.4,106
2025-05-07T04:00,9.8,2.5,86
2025-05-07T05:00,9.1,3.3,77
2025-05-07T06:00,8.6,3.8,87
2025-05-07T07:00,9.5,6.1,93
2025-05-07T08:00,12.2,5.4,105
2025-05-07T09:00,14.4,4.9,176
2025-05-07T10:00,15.5,12.9,189
2025-05-07T11:00,15.0,13.2,187
2025-05-07T12:00,14.6,14.8,183
2025-05-07T13:00,15.0,11.7,179
2025-05-07T14:00,15.1,17.6,204
2025-05-07T15:00,15.6,11.2,176
2025-05-07T16:00,15.2,15.6,211
2025-05-07T17:00,15.9,9.2,206
2025-05-07T18:00,16.2,12.2,216
2025-05-07T19:00,14.9,10.0,201
2025-05-07T20:00,12.8,8.1,185
2025-05-07T21:00,11.0,5.9,168
2025-05-07T22:00,10.4,6.2,165
2025-05-07T23:00,9.5,4.3,152
2025-05-08T00:00,9.4,3.1,103
2025-05-08T01:00,9.4,2.5,60
2025-05-08T02:00,9.4,1.0,68
2025-05-08T03:00,8.5,4.1,77
2025-05-08T04:00,8.3,4.3,92
2025-05-08T05:00,7.5,3.6,110
2025-05-08T06:00,7.7,4.6,121
2025-05-08T07:00,8.7,6.3,125
2025-05-08T08:00,10.6,4.5,143
2025-05-08T09:00,12.5,8.5,186
2025-05-08T10:00,13.6,7.3,200
2025-05-08T11:00,14.7,6.1,208
2025-05-08T12:00,15.5,6.8,233
2025-05-08T13:00,15.8,6.8,228
2025-05-08T14:00,15.9,6.1,203
2025-05-08T15:00,16.5,9.2,215
2025-05-08T16:00,16.4,7.9,223
2025-05-08T17:00,16.3,6.3,233
2025-05-08T18:00,15.8,4.8,241
2025-05-08T19:00,15.1,3.4,223
2025-05-08T20:00,13.2,3.9,164
2025-05-08T21:00,12.1,4.7,130
2025-05-08T22:00,11.1,5.5,131
2025-05-08T23:00,10.3,4.8,138
2025-05-09T00:00,9.6,4.5,143
2025-05-09T01:00,8.8,3.9,127
2025-05-09T02:00,8.3,3.5,102
2025-05-09T03:00,8.8,3.5,118
2025-05-09T04:00,7.9,3.1,103
2025-05-09T05:00,7.2,2.9,90
2025-05-09T06:00,6.6,3.2,74
2025-05-09T07:00,8.1,4.9,82
2025-05-09T08:00,11.2,3.2,71
2025-05-09T09:00,13.6,1.8,24
2025-05-09T10:00,15.1,1.8,307
2025-05-09T11:00,16.0,2.5,278
2025-05-09T12:00,16.6,4.6,257
2025-05-09T13:00,17.2,6.7,268
2025-05-09T14:00,17.5,6.3,277
2025-05-09T15:00,16.9,9.0,255
2025-05-09T16:00,17.0,7.8,248
2025-05-09T17:00,16.9,4.7,261
2025-05-09T18:00,16.7,4.3,285
2025-05-09T19:00,16.2,3.1,257
2025-05-09T20:00,14.5,0.9,180
2025-05-09T21:00,13.2,0.0,270
2025-05-09T22:00,12.0,1.6,84
2025-05-09T23:00,11.1,1.6,96
2025-05-10T00:00,10.3,1.4,90
2025-05-10T01:00,9.4,1.3,82
2025-05-10T02:00,8.7,1.7,77
2025-05-10T03:00,8.9,3.1,66
2025-05-10T04:00,8.3,3.1,59
2025-05-10T05:00,7.8,3.5,62
2025-05-10T06:00,6.9,2.8,63
2025-05-10T07:00,8.0,4.8,59
2025-05-10T08:00,11.1,3.2,27
2025-05-10T09:00,13.6,3.0,346
2025-05-10T10:00,15.8,3.6,333
2025-05-10T11:00,17.5,4.4,322
2025-05-10T12:00,18.6,6.2,306
2025-05-10T13:00,19.1,7.3,295
2025-05-10T14:00,19.5,7.8,283
2025-05-10T15:00,20.0,7.8,299
2025-05-10T16:00,19.5,7.6,298
2025-05-10T17:00,17.0,10.4,291
2025-05-10T18:00,16.5,1.5,14
2025-05-10T19:00,16.1,1.3,135
2025-05-10T20:00,14.2,3.0,123
2025-05-10T21:00,13.0,3.4,108
2025-05-10T22:00,12.4,3.1,97
2025-05-10T23:00,11.4,2.5,86
